player_name,raw_american,implied_prob,devigged_prob,devigged_american,simulated_win_prob,model_fair_american,edge_vs_devig,my_pred,sample
"koepka, brooks",2500,0.038461538461538464,0.030923325500133533,3134,0.01479,6661,-1.6133325500133535,1.1817113984015428,29.0
"lee, min woo",1400,0.06666666666666667,0.05360043086689812,1766,0.04136,2318,-1.224043086689812,1.440788481734876,51.0
"fitzpatrick, matt",3300,0.029411764705882353,0.023647248911866817,4129,0.01464,6731,-0.9007248911866818,1.7289041353246204,45.0
"lowry, shane",3500,0.027777777777777776,0.02233351286120755,4378,0.01456,6768,-0.777351286120755,1.0778169348154985,45.0
"hisatsune, ryo",4500,0.021739130434782608,0.01747840136964069,5621,0.01,9900,-0.747840136964069,0.6429412068240581,61.0
"young, cameron",2800,0.034482758620689655,0.027724360793223168,3507,0.02036,4812,-0.7364360793223168,2.0533150747263305,45.0
"aberg, ludvig",7000,0.014084507042253521,0.011324034690189744,8731,0.0055,18082,-0.5824034690189744,1.7420804507092345,41.0
"smalley, alex",3500,0.027777777777777776,0.02233351286120755,4378,0.01693,5807,-0.5403512861207549,0.8758338198154982,55.0
"fleetwood, tommy",10000,0.009900990099009901,0.007960460029737345,12462,0.00289,34502,-0.5070460029737345,1.6334577853246204,49.0
"mcilroy, rory",6500,0.015151515151515152,0.01218191610611321,8109,0.00761,13041,-0.45719161061132096,2.324543567204976,39.0
"spaun, j.j.",8000,0.012345679012345678,0.009926005716092244,9975,0.00589,16878,-0.4036005716092244,1.4009778766066725,43.0
"kaymer, martin",20000,0.004975124378109453,0.004000032154246129,24900,0.00084,118948,-0.31600321542461285,-1.0885262577366874,25.0
"smith, cameron",15000,0.006622516556291391,0.005324546112605774,18681,0.00229,43568,-0.3034546112605774,-0.0525751713888913,37.0
"rai, aaron",13500,0.007352941176470588,0.005911812227966704,16815,0.00323,30860,-0.26818122279667045,0.6906433131915666,37.0
"kim, si woo",15000,0.006622516556291391,0.005324546112605774,18681,0.00278,35871,-0.2544546112605774,1.2458755925895764,61.0
"gotterup, chris",13500,0.007352941176470588,0.005911812227966704,16815,0.00348,28636,-0.24318122279667043,1.2086737845553897,51.0
"stevens, samuel",17500,0.005681818181818182,0.0045682185397924535,21790,0.00275,36264,-0.18182185397924538,0.6734496839180621,57.0
"putnam, andrew",25000,0.00398406374501992,0.003203213000013832,31119,0.00167,59780,-0.15332130000138322,0.5252207286111101,49.0
"schauffele, xander",1000,0.09090909090909091,0.07309149663667926,1268,0.07161,1296,-0.14814966366792637,2.181711398401542,39.0
"harman, brian",30000,0.0033222591362126247,0.002671117817287282,37338,0.00133,75088,-0.13411178172872817,0.5375639281488307,52.0
"scheffler, scottie",175,0.36363636363636365,0.292365986546717,242,0.29105,244,-0.13159865467170517,3.151255109940005,41.0
"greyserman, max",12500,0.007936507936507936,0.0063810036746307286,15572,0.00549,18115,-0.08910036746307284,0.397407513055553,35.0
"scott, adam",25000,0.00398406374501992,0.003203213000013832,31119,0.00232,43003,-0.08832130000138322,1.0517302616494073,49.0
"brown, dan",25000,0.00398406374501992,0.003203213000013832,31119,0.0024,41567,-0.08032130000138324,-0.1943671180555582,35.0
"burns, sam",6500,0.015151515151515152,0.01218191610611321,8109,0.01138,8687,-0.08019161061132099,1.190674921905816,43.0
"conners, corey",8000,0.012345679012345678,0.009926005716092244,9975,0.00913,10853,-0.07960057160922451,0.8391611666531056,47.0
"potgieter, aldrich",8000,0.012345679012345678,0.009926005716092244,9975,0.00924,10723,-0.06860057160922445,-0.0511966180555574,45.0
"hatton, tyrrell",25000,0.00398406374501992,0.003203213000013832,31119,0.00253,39426,-0.0673213000013832,1.158847789170773,41.0
"taylor, nick",15000,0.006622516556291391,0.005324546112605774,18681,0.00472,21086,-0.06045461126057737,0.8056595737898578,55.0
"day, jason",8000,0.012345679012345678,0.009926005716092244,9975,0.00945,10482,-0.047600571609224436,0.8240068980633604,41.0
"henley, russell",20000,0.004975124378109453,0.004000032154246129,24900,0.00386,25807,-0.014003215424612846,1.4260591473759032,37.0
"reitan, kristoffer",25000,0.00398406374501992,0.003203213000013832,31119,0.00326,30575,0.005678699998616773,0.8486459414394287,47.0
"jaeger, stephan",12500,0.007936507936507936,0.0063810036746307286,15572,0.0066,15052,0.02189963253692714,-0.0312010269444467,38.0
"novak, andrew",20000,0.004975124378109453,0.004000032154246129,24900,0.00424,23485,0.023996784575387124,0.6844254619444421,54.0
"griffin, ben",30000,0.0033222591362126247,0.002671117817287282,37338,0.0031,32158,0.0428882182712718,1.0207102253246203,47.0
"english, harris",25000,0.00398406374501992,0.003203213000013832,31119,0.00364,27373,0.04367869999861679,1.0321237499400036,55.0
"bhatia, akshay",15000,0.006622516556291391,0.005324546112605774,18681,0.00592,16792,0.0595453887394226,1.0552500598154986,46.0
"rose, justin",8000,0.012345679012345678,0.009926005716092244,9975,0.01062,9316,0.06939942839077548,1.176243011478467,40.0
"puig, david",20000,0.004975124378109453,0.004000032154246129,24900,0.00473,21042,0.07299678457538712,1.030851243016928,49.0
"morikawa, collin",3000,0.03225806451612903,0.025935692354950704,3756,0.02672,3643,0.07843076450492967,1.730410922504108,31.0
"fitzpatrick, alex",30000,0.0033222591362126247,0.002671117817287282,37338,0.00346,28802,0.0788882182712718,0.6698576553283182,47.0
"fowler, rickie",8000,0.012345679012345678,0.009926005716092244,9975,0.01079,9168,0.08639942839077548,1.3936075114784652,41.0
"matsuyama, hideki",12500,0.007936507936507936,0.0063810036746307286,15572,0.00788,12590,0.14989963253692712,1.1683114342989798,49.0
"cantlay, patrick",6000,0.01639344262295082,0.013180433819729047,7487,0.01586,6205,0.26795661802709525,1.5718411763502609,37.0
"theegala, sahith",8000,0.012345679012345678,0.009926005716092244,9975,0.01287,7670,0.2943994283907755,0.6903579871231895,57.0
"cauley, bud",20000,0.004975124378109453,0.004000032154246129,24900,0.00695,14288,0.2949967845753871,0.5885579191744714,48.0
"kitayama, kurt",10000,0.009900990099009901,0.007960460029737345,12462,0.01097,9016,0.3009539970262655,1.1955252699400056,46.0
"mcnealy, maverick",8000,0.012345679012345678,0.009926005716092244,9975,0.0131,7534,0.3173994283907756,1.24008857558103,47.0
"reed, patrick",3500,0.027777777777777776,0.02233351286120755,4378,0.0258,3776,0.34664871387924506,1.3272192870340225,33.0
"gerard, ryan",20000,0.004975124378109453,0.004000032154246129,24900,0.0079,12558,0.3899967845753872,0.7482806448154977,55.0
"thomas, justin",4500,0.021739130434782608,0.01747840136964069,5621,0.02171,4506,0.42315986303593095,1.257803260110946,27.0
"hojgaard, nicolai",4500,0.021739130434782608,0.01747840136964069,5621,0.02234,4376,0.48615986303593084,1.3128542588288934,55.0
"spieth, jordan",3500,0.027777777777777776,0.02233351286120755,4378,0.02954,3285,0.7206487138792451,1.3103964995126671,51.0
"niemann, joaquin",7000,0.014084507042253521,0.011324034690189744,8731,0.01941,5052,0.8085965309810256,1.3328825653246197,35.0
"macintyre, robert",8000,0.012345679012345678,0.009926005716092244,9975,0.01804,5443,0.8113994283907756,1.4529831868630816,47.0
"rahm, jon",1300,0.07142857142857142,0.05742903307167656,1641,0.06601,1415,0.8580966928323441,2.433972297974206,33.0
