Player,Pred,67.5,68.5,69.5,70.5,71.5,72.5,73.5
"mcilroy, rory",2.49,126,-135,-230,-397,-714,-1330,-2634
"schauffele, xander",2.12,171,-110,-205,-388,-773,-1621,-3724
"fitzpatrick, matt",1.74,212,115,-159,-294,-554,-1094,-2343
"young, cameron",1.72,215,115,-158,-292,-551,-1103,-2347
"fleetwood, tommy",1.72,214,116,-158,-289,-545,-1084,-2267
"aberg, ludvig",1.65,212,119,-149,-267,-492,-929,-1858
"straka, sepp",1.55,213,123,-139,-237,-416,-752,-1442
"cantlay, patrick",1.55,231,130,-136,-243,-444,-849,-1726
"kim, si woo",1.48,257,136,-137,-257,-497,-1013,-2195
"macintyre, robert",1.46,231,133,-130,-223,-393,-714,-1372
"hovland, viktor",1.45,216,130,-128,-212,-360,-625,-1116
"thomas, justin",1.36,228,135,-123,-204,-346,-601,-1083
"spaun, j.j.",1.35,302,151,-129,-254,-516,-1098,-2569
"english, harris",1.33,264,146,-123,-220,-404,-773,-1583
"scott, adam",1.32,249,140,-125,-217,-384,-708,-1361
"mcnealy, maverick",1.3,267,145,-123,-217,-396,-739,-1421
"gotterup, chris",1.28,261,147,-120,-212,-380,-703,-1378
"burns, sam",1.26,277,151,-119,-212,-384,-722,-1446
"spieth, jordan",1.22,246,146,-114,-188,-318,-550,-983
"griffin, ben",1.2,287,155,-116,-209,-382,-713,-1420
"bhatia, akshay",1.18,251,148,-113,-187,-315,-540,-962
"bradley, keegan",1.18,254,148,-114,-192,-324,-566,-1009
"lee, min woo",1.17,294,158,-115,-209,-381,-738,-1479
"matsuyama, hideki",1.16,309,161,-115,-211,-393,-771,-1598
"hojgaard, nicolai",1.12,267,154,-111,-189,-326,-577,-1054
"rose, justin",1.07,264,155,-107,-177,-297,-503,-890
"day, jason",1.06,285,160,-108,-185,-320,-565,-1037
"fowler, rickie",1.04,330,174,-106,-194,-360,-702,-1457
"kitayama, kurt",0.93,277,164,-101,-165,-273,-459,-787
"conners, corey",0.9,342,185,102,-175,-317,-590,-1144
"woodland, gary",0.87,316,179,104,-165,-283,-496,-894
"noren, alex",0.87,375,195,105,-174,-326,-634,-1304
"bridgeman, jacob",0.8,324,186,109,-157,-268,-471,-855
"taylor, nick",0.8,382,204,111,-162,-292,-552,-1110
"gerard, ryan",0.76,361,199,113,-157,-276,-507,-960
"theegala, sahith",0.74,347,194,112,-154,-267,-472,-866
"hall, harry",0.71,407,213,114,-160,-293,-557,-1090
"wallace, matt",0.7,360,200,116,-148,-256,-455,-849
"hisatsune, ryo",0.59,462,235,125,-146,-272,-519,-1038
"pendrith, taylor",0.58,356,207,122,-137,-230,-392,-697
"castillo, ricky",0.57,403,220,124,-141,-245,-440,-824
"mccarty, matt",0.54,473,240,127,-143,-265,-509,-1029
"stevens, samuel",0.52,470,239,128,-142,-259,-483,-949
"cauley, bud",0.49,392,220,128,-134,-230,-397,-710
"berger, daniel",0.48,416,228,130,-134,-236,-427,-790
"rodgers, patrick",0.47,436,236,131,-134,-236,-422,-782
"yellamaraju, sudarshan",0.47,534,259,134,-141,-267,-506,-1026
"smalley, alex",0.46,459,243,133,-134,-244,-439,-836
"coody, pierceson",0.45,422,229,130,-133,-231,-404,-730
"novak, andrew",0.44,440,240,135,-128,-225,-401,-742
"kim, michael",0.43,356,210,128,-128,-209,-345,-573
"fitzpatrick, alex",0.42,382,219,129,-128,-212,-355,-607
"fox, ryan",0.41,527,268,142,-131,-243,-468,-935
"reitan, kristoffer",0.41,440,240,136,-128,-223,-396,-731
"poston, j.t.",0.35,436,243,139,-123,-211,-368,-666
"potgieter, aldrich",0.32,415,236,138,-122,-205,-349,-601
"putnam, andrew",0.27,570,288,154,-120,-221,-422,-847
"harman, brian",0.26,503,267,149,-118,-210,-375,-690
"homa, max",0.17,546,287,157,-114,-203,-368,-693
"glover, lucas",0.17,557,289,158,-113,-202,-371,-691
"im, sungjae",0.13,456,261,154,-109,-181,-304,-525
"finau, tony",0.02,457,264,158,-104,-169,-279,-467
"vegas, jhonattan",-0.07,632,328,180,101,-173,-306,-559
"blanchet, chandler",-0.11,671,344,188,104,-173,-312,-581
"smotherman, austin",-0.15,672,347,189,106,-167,-296,-543
"mccarthy, denny",-0.19,873,415,209,110,-171,-324,-645
"hoge, tom",-0.45,825,414,223,124,-142,-251,-450
