player_name,bookmaker,decimal_odds,simulated_win_prob,implied_prob,american_odds,edge,stake,eg,market_type,my_pred,sample,my_fair,top_5,top_10,top_20
"schauffele, xander",fanduel,2.85,,0.3508771929824561,185,4.7950903337890765,184.6757763689036,0.17710740603030456,top_5,1.9796051538760333,27.0,151,0.3988280963203469,,
"pavon, matthieu",fanduel,8.5,,0.11764705882352941,750,4.155105765721235,117.72799669543495,0.09783445557120245,top_20,0.0086980648677905,39.0,528,,,0.15919811648074175
"svensson, jesper",fanduel,4.4,,0.22727272727272727,340,4.100012627650138,132.64746736515158,0.10877125824458621,top_20,0.2124832754776557,38.0,273,,,0.26827285354922864
"ventura, kristoffer",fanduel,9.5,,0.10526315789473684,850,3.7818902045322984,105.67046159722597,0.07992681672459105,top_20,0.1949580642174779,32.0,599,,,0.14308205994005982
"bauchou, zach",fanduel,4.8,,0.20833333333333334,380,3.0673571761572482,96.86391082601838,0.05942324239656865,top_20,0.0690024248960701,39.0,318,,,0.23900690509490582
"schauffele, xander",betonline,2.7,,0.37037037037037035,170,2.845772594997653,112.99391186020101,0.06431099555466807,top_5,1.9796051538760333,27.0,151,0.3988280963203469,,
"svensson, jesper",fanduel,9.5,,0.10526315789473684,850,2.815470465937539,78.66755713649006,0.04429723674904833,top_10,0.2124832754776557,38.0,650,,0.13341786255411223,
"ewart, a.j.",fanduel,8.5,,0.11764705882352941,750,2.7759013160042674,78.65053728678761,0.04366522599176729,top_20,0.2972912524003426,25.0,588,,,0.14540607198357208
"bradley, keegan",fanduel,9.5,,0.10526315789473684,850,2.629309180001332,73.46599179415485,0.03863296132845478,top_20,0.6251846780197872,23.0,660,,,0.13155624969475016
"schauffele, xander",fanduel,1.8333333333333333,,0.5454545454545455,-120,2.6214758408256045,144.18117124540848,0.07559349142435554,top_10,1.9796051538760333,27.0,-133,,0.5716693038628016,
"schauffele, xander",bovada,9.0,0.13477,0.1111111111111111,800,2.3658888888888896,66.54062500000002,0.03148554506944446,win,1.9796051538760333,27.0,642,,,
"schauffele, xander",pinnacle,9.0,0.13477,0.1111111111111111,800,2.3658888888888896,66.54062500000002,0.03148554506944446,win,1.9796051538760333,27.0,642,,,
"schauffele, xander",draftkings,2.66,,0.37593984962406013,166,2.288824669628675,91.69086778934158,0.04197286403518126,top_5,1.9796051538760333,27.0,151,0.3988280963203469,,
"vilips, karl",fanduel,7.0,,0.14285714285714285,600,2.215520815295824,64.61935711279486,0.028633106150886253,top_20,-0.73906572535917,29.0,506,,,0.1650123510101011
"olesen, thorbjorn",fanduel,14.0,,0.07142857142857142,1300,2.167672655122674,58.36041763791813,0.025301256291050823,top_20,0.3407048553693834,45.0,974,,,0.09310529797979816
"schauffele, xander",caesars,2.65,,0.37735849056603776,165,2.146960575430912,86.20372007412004,0.0370151976909236,top_5,1.9796051538760333,27.0,151,0.3988280963203469,,
