player_name,bookmaker,decimal_odds,top_10,implied_prob,american_odds,edge,stake,eg,market_type,my_pred,sample,my_fair,top_20,side,pricing,sim_prob,yes_bid,yes_ask,target,filled,depth_at_best
"duncan, tyler",fanduel,5.7,,0.17543859649122806,470,3.930505038966883,119.16956767080445,0.09367931724432038,top_20,-0.3676889144881169,55.0,366,0.2147436468808969,,,,,,,,
"conners, corey",fanduel,7.0,,0.14285714285714285,600,3.0362060303258858,88.5560092178383,0.053774857841759074,top_20,0.7960147688613181,59.0,477,0.1732192031604017,,,,,,,,
"martin, ben",fanduel,7.5,,0.13333333333333333,650,2.7739292659954424,80.01719036525313,0.04439240522738084,top_20,-0.7192643411945273,45.0,521,0.16107262599328775,,,,,,,,
"duncan, tyler",fanduel,18.0,0.07566784523809524,0.05555555555555555,1700,2.011228968253968,53.23841386554621,0.02141492803805605,top_10,-0.3676889144881169,55.0,1222,,,,,,,,,
"shipley, neal",kalshi,,,0.7437969999999999,-290,2.3,,,winner,-0.5843762741179367,41.0,-329,,no,taker,0.7667381904761904,,,1000.0,1000.0,27877.0
"castillo, ricky",kalshi,,,0.20077299999999995,398,1.8,,,top_20,-0.1535168994206349,51.0,358,,no,taker,0.21840000000000004,,,1000.0,1000.0,7532.0
"bridgeman, jacob",kalshi,,,0.05406905100000005,1749,1.0,,,winner,0.9063036942324968,63.0,1472,,yes,taker,0.06359958333333333,,,1000.0,1000.0,300.0
"penge, marco",kalshi,,,0.02137200000000002,4579,0.6,,,winner,0.4393253819722153,47.0,3490,,yes,taker,0.027857309523809527,,,1000.0,1000.0,9867.0
"hughes, mackenzie",kalshi,,,0.792012,-381,0.5,,,top_10,0.148077817154562,45.0,-392,,no,taker,0.7966,,,1000.0,1000.0,3828.0
"ghim, doug",kalshi,,,0.19894582499999994,403,0.4,,,top_20,0.8877272210566537,43.0,392,,yes,taker,0.20338,,,1000.0,1000.0,175.0
"dunlap, nick",kalshi,,,0.943788353,-1679,0.4,,,top_20,-1.3825703832221308,37.0,-1797,,no,taker,0.94729,,,1000.0,1000.0,17.0
"greyserman, max",kalshi,,,0.6609545750000001,-195,0.3,,,top_5,-0.1644567090297496,49.0,-198,,no,taker,0.66406,,,1000.0,1000.0,239.0
"greyserman, max",kalshi,,,0.456571805,119,0.2,,,top_10,-0.1644567090297496,49.0,118,,no,taker,0.45882,,,1000.0,1000.0,7.0
"sargent, gordon",kalshi,,,0.9624913769999999,-2566,-0.4,,,top_5,-0.7750509114868877,31.0,-2320,,no,taker,0.95868,,,1000.0,1000.0,21.0
"koivun, jackson",kalshi,,,0.6656996690000001,-199,-0.5,,,top_20,1.1374984768874807,27.0,-195,,yes,taker,0.66086,,,1000.0,1000.0,23.0
"hughes, mackenzie",kalshi,,,0.923475418,-1207,-0.7,,,top_5,0.148077817154562,45.0,-1103,,no,taker,0.91684,,,1000.0,1000.0,178.0
"malnati, peter",kalshi,,,0.9624913769999999,-2566,-0.8,,,top_10,-1.3496302742609203,41.0,-2108,,no,taker,0.95471,,,1000.0,1000.0,21.0
"sargent, gordon",kalshi,,,0.8959822940000001,-861,-0.9,,,top_10,-0.7750509114868877,31.0,-782,,no,taker,0.8866499999999999,,,1000.0,1000.0,21.0
