player_name,simulated_win_prob,top_5,top_10,top_20,simulated_win_prob_a,top_5_a,top_10_a,top_20_a
"aberg, ludvig",0.04296,0.1751448690476198,0.3031563417415924,0.4993546225163736,2228,471,230,100
"berger, daniel",0.00512,0.038771523809523825,0.08995126082251069,0.2146746375846371,19431,2479,1012,366
"bhatia, akshay",0.01919,0.08864604761904757,0.16825397763347727,0.3148322067377071,5111,1028,494,218
"blanchet, chandler",0.0024,0.017529714285714294,0.045468371572871556,0.12259943448218436,41567,5605,2099,716
"bradley, keegan",0.01207,0.06501335714285708,0.13013479978354997,0.25486417596292615,8185,1438,668,292
"brennan, michael",0.00201,0.020351714285714296,0.05674115728715731,0.15624369416694436,49651,4814,1662,540
"bridgeman, jacob",0.02016,0.09662751984126983,0.18351569888444896,0.34313220368520414,4860,935,445,191
"burns, sam",0.0213,0.10044029761904757,0.19181441630591664,0.3580110621600634,4595,896,421,179
"campbell, brian",0.00063,0.006020527777777783,0.01652491378066379,0.05019573168498169,158630,16510,5951,1892
"cantlay, patrick",0.02636,0.12452013888888909,0.23563329401154456,0.4264822645132665,3694,703,324,134
"castillo, ricky",0.00113,0.012825916666666678,0.03744498470973471,0.11149133535908536,88396,7697,2571,797
"cauley, bud",0.00222,0.01894039285714287,0.0517407359307358,0.13840553271728254,44945,5180,1833,623
"clark, wyndham",0.00387,0.03424507539682537,0.08362549780774788,0.20053679134754177,25740,2820,1096,399
"conners, corey",0.00631,0.048215281746031735,0.11131634523809542,0.24876372874347857,15748,1974,798,302
"coody, pierceson",0.00318,0.024051813492063496,0.06068411580086595,0.14906863369963363,31347,4058,1548,571
"day, jason",0.01053,0.06486483333333315,0.14267794300144263,0.30116876956376915,9397,1442,601,232
"echavarria, nicolas",0.00252,0.020077666666666688,0.04952413528138525,0.12322310275835273,39583,4881,1919,712
"english, harris",0.01383,0.0862532777777774,0.1785689675324678,0.35408688949938905,7131,1059,460,182
"finau, tony",0.00269,0.022378785714285702,0.0548671594516594,0.13691232237207238,37075,4369,1723,630
"fisk, steven",0.0005,0.0074916071428571445,0.02445283116883118,0.08283864027639022,199900,13248,3990,1107
"fitzpatrick, matt",0.04318,0.19413746428571488,0.34406216375291465,0.5643126516261527,2216,415,191,-130
"fleetwood, tommy",0.036,0.17647205952380965,0.32143593470418663,0.5416199965589954,2678,467,211,-118
"fowler, rickie",0.01027,0.06393076190476182,0.13978523520923525,0.2961338682706188,9637,1464,615,238
"fox, ryan",0.00134,0.013768345238095248,0.04093298845598846,0.12090089690864661,74527,7163,2343,727
"gerard, ryan",0.008,0.05669202777777774,0.12423725036075017,0.26782065992341025,12400,1664,705,273
"glover, lucas",0.00031,0.006111690476190473,0.02035181060606061,0.06738479426129439,322481,16262,4814,1384
"gotterup, chris",0.0117,0.07202365873015835,0.1514457240259742,0.30830256906981907,8447,1288,560,224
"griffin, ben",0.00821,0.057469325396825297,0.13081188997114007,0.28618892557442627,12080,1640,664,249
"hall, harry",0.00415,0.034257884920634904,0.08894166641691642,0.21874565681540756,23996,2819,1024,357
"harman, brian",0.00405,0.03193452380952381,0.0809381168831168,0.20175179059829046,24591,3031,1136,396
"henley, russell",0.03309,0.15442431349206337,0.28416301995227133,0.49077311352536424,2922,548,252,104
"higgo, garrick",0.00076,0.007560047619047621,0.02179880144855147,0.06452119544344553,131479,13127,4487,1450
"highsmith, joe",0.00012,0.001871785714285714,0.0068411529581529585,0.027705853035853028,833233,53325,14517,3509
