player_name,accuracy,course_x,dg_id,distance,gir,great_shots,poor_shots,position,prox_fw,prox_rgh,round,scrambling,sg_app,sg_arg,sg_bs,sg_ott,sg_putt,sg_t2g,sg_total,thru,total,course_name,event_name,last_updated,r1_teetime,course_y,wind_adj1,dew_adj1,pred,teetime_numeric,pos_6_10,sg_total_adj,player_wind_benefit,player_dew_benefit,residual,residual2,weather_signal,residual_w_adj,residual_adj,residual2_adj,ott_adj,putt_adj,tot_resid_adj,sg_adj_r1,total_adjustment,updated_pred,pin_high_adj,gravity_adj,base_pred
"lee, min woo",0.79,EL,16841,301.7,0.89,8.0,2.0,1,32.28,44.63,-8.0,1.0,1.18,-0.02,2.3,1.12,2.52,2.28,4.8,18.0,-8.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:48:00,,0.5362799666666661,0.0034222499999998,0.7443857801014857,1787831280000000000,0.0,6.056269374650832,-0.028493672413793303,0.003540258620689414,5.286812172135552,27.950382943440637,0.6951084084915259,4.591703763644026,0.2558817091313607,-0.005590076588688128,0.0,0.0,0.25029163254267256,0.0,0.25029163254267256,0.9946774126441582,0.0,0.0,0.7443857801014857
"hovland, viktor",0.79,EL,18841,296.4,0.72,6.0,4.0,2,23.08,,-6.0,1.0,0.71,-0.64,0.37,-0.34,3.06,-0.26,2.8,18.0,-6.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:24:00,,0.5263117666666662,0.0092542500000001,1.4452425474852033,1787829840000000000,0.0,4.056269374650832,-0.038461872413793174,0.009372258620689713,2.5818192047518354,6.665790406025399,1.103090459541826,1.4787287452100093,0.11489095461145667,0.1133184369024318,-0.0,0.0,0.22820939151388847,0.0,0.22820939151388847,1.6734519389990918,0.0,0.0,1.4452425474852033
"morikawa, collin",0.71,EL,22085,295.4,0.72,4.0,2.0,2,29.98,50.41,-6.0,0.86,-0.19,-0.72,0.09,0.29,3.43,-0.62,2.8,18.0,-6.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 13:24:00,,0.594736433333333,-0.00616005,1.626158772458804,1787837040000000000,0.0,4.056269374650832,0.029962794252873626,-0.006042041379310386,2.4539133464449012,6.021690711860414,0.14194242111259756,2.3119709253323038,0.1091991439167981,0.10236874210162704,0.0,0.0,0.21156788601842513,0.0,0.21156788601842513,1.8377266584772292,0.0,0.0,1.626158772458804
"gotterup, chris",0.64,EL,27774,307.7,0.83,5.0,0.0,2,29.76,49.81,-6.0,1.0,0.46,0.69,1.37,0.91,0.74,2.06,2.8,18.0,-6.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 13:36:00,,0.6014409999999998,-0.0052042499999997,1.4095034342509716,1787837760000000000,0.0,4.056269374650832,0.03666736091954037,-0.005086241379310085,2.6782290513194007,7.172910851331217,0.19694509231057677,2.481283959008824,0.11918119278371332,0.1219394844726307,0.0,0.0,0.241120677256344,0.0,0.241120677256344,1.6506241115073155,0.0,0.0,1.4095034342509716
"gerard, ryan",0.71,EL,29767,306.6,0.67,3.0,3.0,5,29.43,41.71,-5.0,0.71,0.03,0.86,0.95,0.91,-0.01,1.81,1.8,18.0,-5.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:18:00,,0.5550442166666663,-0.0032481000000001,1.023040290517604,1787833080000000000,0.0,3.0562693746508316,-0.009729422413793154,-0.003130091379310486,2.020251561719435,4.081416372629816,-0.2753963540954827,2.295647915814918,0.08990119449651485,0.06938407833470688,0.0,-0.0,0.15928527283122174,0.0,0.15928527283122174,1.1823255633488257,0.0,0.0,1.023040290517604
"bhatia, akshay",0.43,EL,26096,292.4,0.61,5.0,2.0,5,25.94,86.42,-5.0,0.75,0.57,1.08,-0.46,-1.02,1.17,0.63,1.8,18.0,-5.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:30:00,,0.5626155833333328,-0.005022,0.5095908845381911,1787833800000000000,0.0,3.0562693746508316,-0.002158055747126575,-0.004903991379310386,2.539498434365514,6.4490522981448954,-0.49877144032956,3.038269874695074,0.12291172422329086,-0.0012898104596289791,-0.0,0.0,0.12162191376366188,0.0,0.12162191376366188,0.631212798301853,0.0,0.0,0.5095908845381911
"aberg, ludvig",0.57,EL,23950,304.8,0.72,3.0,1.0,5,20.67,70.05,-5.0,1.0,1.16,0.57,0.52,-0.64,0.71,1.09,1.8,18.0,-5.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 13:12:00,,0.5878742666666662,-0.0067270500000002,1.586908203607004,1787836320000000000,0.0,3.0562693746508316,0.02310062758620679,-0.006609041379310586,1.4857347486300343,2.207407743286751,-0.03933704242882909,1.5250717910588634,0.06611519631403652,0.037525931635874775,-0.0,0.0,0.10364112794991129,0.0,0.10364112794991129,1.6905493315569151,0.0,0.0,1.586908203607004
"scheffler, scottie",0.71,EL,18417,304.6,0.89,0.0,2.0,5,22.64,61.72,-5.0,1.0,1.35,-0.36,1.69,0.34,0.47,1.33,1.8,18.0,-5.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 14:00:00,,0.614377333333335,-0.0021262499999987,2.7935417227025026,1787839200000000000,0.0,3.0562693746508316,0.049603694252875585,-0.002008241379309086,0.3102050962012059,0.0962272017091994,-0.3958899064308643,0.7060950026320703,0.013804126780953661,0.00163586242905639,0.0,0.0,0.01543998921001005,0.0,0.01543998921001005,2.8089817119125127,0.0,0.0,2.7935417227025026
"fox, ryan",0.5,EL,11889,294.5,0.67,3.0,5.0,9,24.24,56.01,-4.0,0.8,3.25,0.24,1.54,-1.71,-0.98,1.78,0.8,18.0,-4.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:00:00,,0.5220171666666661,0.0150862499999999,0.2804303162488175,1787828400000000000,1.0,2.0562693746508316,-0.04275647241379332,0.015204258620689514,1.7481688359882206,3.05609427912041,0.3513111124436302,1.3968577235445903,0.09090477947138746,-0.003972922562856533,-0.21375,0.0294,0.08693185690853093,-0.18434999999999999,-0.09741814309146905,0.1830121731573484,0.0,0.0,0.2804303162488175
"scott, adam",0.57,EL,6430,297.3,0.83,2.0,1.0,9,30.15,64.46,-4.0,0.6,-0.95,0.67,-0.63,0.32,0.76,0.05,0.8,18.0,-4.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:12:00,,0.5234552666666662,0.0121702499999998,0.9564179519836832,1787829120000000000,1.0,2.0562693746508316,-0.041318372413793214,0.012288258620689413,1.0707033002533553,1.1464055571734266,0.9201868486534824,0.1505164515998728,0.05182203973226239,-0.00022928111143468533,0.0,0.0,0.051592758620827704,0.0,0.051592758620827704,1.0080107106045109,0.0,0.0,0.9564179519836832
"woodland, gary",0.86,EL,12577,306.0,0.78,2.0,3.0,9,27.28,49.37,-4.0,0.5,0.67,-0.77,2.31,1.65,-0.74,1.54,0.8,18.0,-4.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:18:00,,0.5550442166666663,-0.0032481000000001,0.7496544551493988,1787833080000000000,1.0,2.0562693746508316,-0.009729422413793154,-0.003130091379310486,1.2936373970876396,1.6734977151436834,-0.2753963540954827,1.5690337511831223,0.06261205001904176,-0.0003346995430287367,0.0,-0.0,0.06227735047601302,0.0,0.06227735047601302,0.8119318056254118,0.0,0.0,0.7496544551493988
"fleetwood, tommy",0.5,EL,12294,293.3,0.72,5.0,2.0,9,23.06,55.93,-4.0,1.0,0.62,0.2,-0.2,-0.82,0.8,0.0,0.8,18.0,-4.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 13:12:00,,0.5878742666666662,-0.0067270500000002,1.637699956722754,1787836320000000000,1.0,2.0562693746508316,0.02310062758620679,-0.006609041379310586,0.4349429955142843,0.18917540934693872,-0.03933704242882909,0.47428003794311335,0.01935496330038565,0.0032159819588979586,-0.0,0.0,0.022570945259283607,0.0,0.022570945259283607,1.6602709019820376,0.0,0.0,1.637699956722754
"burns, sam",0.57,EL,19483,301.2,0.89,3.0,1.0,9,24.1,85.41,-4.0,1.0,1.04,-0.56,1.24,0.2,0.12,0.68,0.8,18.0,-4.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 13:24:00,,0.594736433333333,-0.00616005,1.5515009437350344,1787837040000000000,1.0,2.0562693746508316,0.029962794252873626,-0.006042041379310386,0.5285711751686708,0.27938748721918966,0.14194242111259756,0.3866287540560732,0.02352141729500585,0.004749587282726225,0.0,0.0,0.028271004577732073,0.0,0.028271004577732073,1.5797719483127666,0.0,0.0,1.5515009437350344
"fitzpatrick, matt",0.64,EL,17646,291.6,0.61,2.0,3.0,9,24.91,152.11,-4.0,1.0,-1.09,1.82,-1.38,-0.29,0.37,0.44,0.8,18.0,-4.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 14:00:00,,0.614377333333335,-0.0021262499999987,1.4929420254626988,1787839200000000000,1.0,2.0562693746508316,0.049603694252875585,-0.002008241379309086,0.6108047934410097,0.3730824956905145,-0.3958899064308643,1.006694699871874,0.02718081330812493,0.006342402426738747,-0.0,0.0,0.03352321573486368,0.0,0.03352321573486368,1.5264652411975626,0.0,0.0,1.4929420254626988
"kim, tom",0.93,EL,24766,287.3,0.72,2.0,1.0,15,25.09,,-3.0,0.75,-0.24,-0.33,0.29,0.52,-0.16,-0.04,-0.2,18.0,-3.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:00:00,,0.5220171666666661,0.0150862499999999,0.9969258098213994,1787828400000000000,0.0,1.0562693746508316,-0.04275647241379332,0.015204258620689514,0.031673342415638725,0.001003200619778299,0.3513111124436302,-0.3196377700279915,0.0015329897729169143,-2.0064012395565984e-07,0.0,-0.0,0.0015327891327929586,0.0,0.0015327891327929586,0.9984585989541924,0.0,0.0,0.9969258098213994
"macintyre, robert",0.43,EL,23323,301.2,0.78,2.0,4.0,15,30.51,64.25,-3.0,1.0,-0.35,0.47,-2.34,-1.99,1.67,-1.87,-0.2,18.0,-3.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:24:00,,0.5263117666666662,0.0092542500000001,1.115665820518552,1787829840000000000,0.0,1.0562693746508316,-0.038461872413793174,0.009372258620689713,-0.08860406828151338,0.007850680916035085,1.103090459541826,-1.1916945278233395,-0.003942881038527345,0.00013346157557259645,-0.0,0.0,-0.0038094194629547484,0.0,-0.0038094194629547484,1.1118564010555971,0.0,0.0,1.115665820518552
"smalley, alex",0.64,EL,18474,305.6,0.67,3.0,1.0,15,24.28,50.96,-3.0,1.0,0.26,-0.22,0.28,0.02,-0.25,0.06,-0.2,18.0,-3.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:36:00,,0.5305866666666661,0.0063382499999999,0.7830836075541604,1787830560000000000,0.0,1.0562693746508316,-0.034186972413793315,0.006456258620689515,0.2453370446828778,0.06019026549372837,0.9960537208930456,-0.7507166762101678,0.011874312962651285,-1.2038053098745675e-05,0.0,-0.0,0.01186227490955254,0.0,0.01186227490955254,0.7949458824637129,0.0,0.0,0.7830836075541604
"schauffele, xander",0.64,EL,19895,307.7,0.78,3.0,1.0,15,33.35,68.82,-3.0,0.6,-1.75,-0.04,-0.61,1.14,0.46,-0.66,-0.2,18.0,-3.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:54:00,,0.5772855166666663,-0.0068201999999999,1.998544472190991,1787835240000000000,0.0,1.0562693746508316,0.012511877586206865,-0.006702191379310285,-0.9365834199539526,0.8771885025326418,-0.37083227426388565,-0.5657511456900669,-0.04167796218795089,0.014912204543054912,0.0,0.0,-0.026765757644895978,0.0,-0.026765757644895978,1.971778714546095,0.0,0.0,1.998544472190991
"clark, wyndham",0.64,EL,23604,301.2,0.72,2.0,3.0,15,23.02,107.06,-3.0,1.0,-0.31,0.79,0.26,0.56,-1.25,1.05,-0.2,18.0,-3.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 13:48:00,,0.6079879666666664,-0.0038596500000005,1.319862426775351,1787838480000000000,0.0,1.0562693746508316,0.043214327586207024,-0.003741641379310886,-0.2242383745383128,0.05028284861558465,0.04466848013834432,-0.2689068546766571,-0.009978607666954919,0.0008548084264649391,0.0,-0.0,-0.00912379924048998,0.0,-0.00912379924048998,1.310738627534861,0.0,0.0,1.319862426775351
"rose, justin",0.29,EL,6093,291.5,0.67,2.0,5.0,20,25.73,54.93,-2.0,0.86,-0.42,1.29,-2.05,-1.63,-0.44,-0.76,-1.2,18.0,-2.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:12:00,,0.5234552666666662,0.0121702499999998,0.9729200233164051,1787829120000000000,0.0,0.056269374650831594,-0.041318372413793214,0.012288258620689413,-0.9457987710793669,0.8945353153752408,0.9201868486534824,-1.8659856197328493,-0.04577666052024136,-0.00017890706307504815,-0.0,-0.0,-0.04595556758331641,-0.0,-0.04595556758331641,0.9269644557330887,0.0,0.0,0.9729200233164051
"fitzpatrick, alex",0.71,EL,25362,298.0,0.72,1.0,3.0,20,27.53,228.38,-2.0,0.6,-0.72,1.06,-0.2,0.52,-2.06,0.86,-1.2,18.0,-2.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 11:36:00,,0.5305866666666661,0.0063382499999999,0.4407461611679073,1787830560000000000,0.0,0.056269374650831594,-0.034186972413793315,0.006456258620689515,-0.41232550893086917,0.17001232531510027,0.9960537208930456,-1.4083792298239146,-0.021440926464405197,-0.00022101602290963034,0.065,0.0618,-0.021661942487314827,0.1268,0.10513805751268517,0.5458842186805924,0.0,0.0,0.4407461611679073
"cantlay, patrick",0.21,EL,15466,303.3,0.67,3.0,4.0,20,30.16,41.08,-2.0,0.86,0.12,0.39,-1.82,-1.94,0.24,-1.44,-1.2,18.0,-2.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:06:00,,0.5473152499999995,-0.0008909999999999,1.6771302210050836,1787832360000000000,0.0,0.056269374650831594,-0.017458389080459935,-0.000772991379310286,-1.6392102354347118,2.687010195953923,0.09018137363120193,-1.7293916090659138,-0.07294485547684468,0.045679173331216696,-0.0,0.0,-0.02726568214562798,0.0,-0.02726568214562798,1.6498645388594555,0.0,0.0,1.6771302210050836
"bridgeman, jacob",0.64,EL,29433,306.0,0.67,2.0,3.0,20,34.55,52.48,-2.0,0.57,-1.02,-0.71,-0.86,0.16,0.38,-1.57,-1.2,18.0,-2.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:42:00,,0.5700293499999995,-0.0062127,0.8358886936952374,1787834520000000000,0.0,0.056269374650831594,0.005255710919540135,-0.006094691379310385,-0.7805763081248657,0.6092993728058452,-0.5134178204218368,-0.26715848770302886,-0.037779893313243496,-0.00012185987456116905,0.0,0.0,-0.037901753187804664,0.0,-0.037901753187804664,0.7979869405074328,0.0,0.0,0.8358886936952374
"mcilroy, rory",0.64,EL,10091,312.6,0.78,4.0,7.0,20,22.1,30.12,-2.0,0.5,1.23,-2.35,2.82,1.59,-1.67,0.47,-1.2,18.0,-2.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:54:00,,0.5772855166666663,-0.0068201999999999,2.0548783301345828,1787835240000000000,0.0,0.056269374650831594,0.012511877586206865,-0.006702191379310285,-1.9929172778975444,3.971719276542558,-0.37083227426388565,-1.6220850036336587,-0.08868481886644072,0.0675192277012235,0.0,-0.0,-0.021165591165217226,0.0,-0.021165591165217226,2.0337127389693657,0.0,0.0,2.0548783301345828
"matsuyama, hideki",0.43,EL,13562,290.7,0.67,3.0,4.0,25,25.22,157.05,-1.0,0.57,0.29,-0.31,-0.69,-0.98,-1.2,-0.99,-2.2,18.0,-1.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:30:00,,0.5626155833333328,-0.005022,1.479409701038206,1787833800000000000,0.0,-0.9437306253491686,-0.002158055747126575,-0.004903991379310386,-2.430320382134501,5.906457159818387,-0.49877144032956,-1.931548941804941,-0.10814925700498529,0.10040977171691258,-0.0,-0.0,-0.007739485288072709,-0.0,-0.007739485288072709,1.4716702157501331,0.0,0.0,1.479409701038206
"kim, si woo",0.71,EL,14609,300.8,0.78,2.0,5.0,25,35.22,52.24,-1.0,0.8,-0.52,-0.09,0.03,0.55,-2.13,-0.07,-2.2,18.0,-1.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 13:36:00,,0.6014409999999998,-0.0052042499999997,1.42752581365122,1787837760000000000,0.0,-0.9437306253491686,0.03666736091954037,-0.005086241379310085,-2.339793328080848,5.474632818131651,0.19694509231057677,-2.536738420391425,-0.10412080309959773,0.09306875790823807,0.0,-0.0,-0.01105204519135966,0.0,-0.01105204519135966,1.4164737684598605,0.0,0.0,1.42752581365122
"reitan, kristoffer",0.57,EL,21407,296.0,0.67,2.0,4.0,27,28.45,107.04,0.0,0.86,-0.71,-0.27,-1.73,-1.02,-1.19,-2.0,-3.2,18.0,0.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:06:00,,0.5473152499999995,-0.0008909999999999,0.6037384534837,1787832360000000000,0.0,-1.9437306253491686,-0.017458389080459935,-0.000772991379310286,-2.5658184679133282,6.583424410285099,0.09018137363120193,-2.65599984154453,-0.12418561384700508,-0.00131668488205702,-0.0,-0.0,-0.1255022987290621,-0.0,-0.1255022987290621,0.47823615475463793,0.0,0.0,0.6037384534837
"henley, russell",0.71,EL,14578,289.3,0.72,0.0,0.0,27,27.11,53.97,0.0,0.83,-0.52,0.13,-0.17,0.36,-3.16,-0.04,-3.2,18.0,0.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 12:42:00,,0.5700293499999995,-0.0062127,1.406315843422051,1787834520000000000,0.0,-1.9437306253491686,0.005255710919540135,-0.006094691379310385,-3.3510034578516796,11.229224174533913,-0.5134178204218368,-2.837585637429843,-0.14911965387439974,0.19089681096707653,0.0,-0.0,0.04177715709267679,0.0,0.04177715709267679,1.448093000514728,0.0,0.0,1.406315843422051
"young, cameron",0.64,EL,26651,309.4,0.61,3.0,5.0,27,37.94,36.26,0.0,0.64,-2.3,-1.21,-1.44,0.86,-0.55,-2.65,-3.2,18.0,0.0,East Lake Golf Club,TOUR Championship,2026-08-27 23:58:29 UTC,2026-08-27 13:48:00,,0.6079879666666664,-0.0038596500000005,1.5121592021351096,1787838480000000000,0.0,-1.9437306253491686,0.043214327586207024,-0.003741641379310886,-3.416535149898072,11.67271243048904,0.04466848013834432,-3.461203630036416,-0.1520358141704642,0.1984361113183137,0.0,-0.0,0.04640029714784952,0.0,0.04640029714784952,1.558559499282959,0.0,0.0,1.5121592021351096
