player_name,accuracy,course_x,dg_id,distance,gir,great_shots,poor_shots,position,prox_fw,prox_rgh,round,scrambling,sg_app,sg_arg,sg_bs,sg_ott,sg_putt,sg_t2g,sg_total,thru,total,course_name,event_name,last_updated,img_event_key,img_round_no,img_player_id,img_team_id,img_source_player_name,img_raw_model_id,img_round_strokes,img_total_strokes,img_valid_sg_strokes,img_complete,img_sg_ott_raw,img_sg_app_raw,img_sg_arg_raw,img_sg_putt_raw,img_sg_total_raw,img_sg_ott,img_sg_app,img_sg_arg,img_sg_putt,img_sg_bs,img_sg_t2g,img_sg_total,img_adjustment_method,img_course_id,img_signal_model_id,img_sg_ott_signal,img_sg_app_signal,img_sg_arg_signal,img_sg_putt_signal,img_sg_bs_signal,img_sg_t2g_signal,img_sg_total_signal,img_signal_status,r2_teetime_x,course_y,great_shots_r1,poor_shots_r1,sg_app_r1,sg_arg_r1,sg_ott_r1,sg_putt_r1,sg_adj_r1,r1_tot_resid_adj,base_pred,sg_app_avg,sg_arg_avg,sg_ott_avg,sg_putt_avg,sg_app_delta,great_shots_avg,r2_teetime_y,wind_adj2,dew_adj2,updated_pred,pos_6_10,sg_total_adj,player_wind_benefit,player_dew_benefit,residual,residual_capped,residual2,residual3,weather_signal,residual_w_adj,residual_adj,residual2_adj,residual3_adj,avg_ott_adj,avg_putt_adj,avg_app_adj,avg_arg_adj,delta_app_adj,tot_resid_adj,tot_sg_adj,updated_pred_r3,prior_reset_adj,total_adjustment,Score
"shipley, neal",0.92,TC,32055,307.2,0.61,5.0,1.0,1,26.74,,-9.0,1.0,1.32,-0.1,2.56,1.25,5.46,2.46,7.92,18.0,-15.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,63807,,Neal Shipley,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,62.0,62.0,62.0,1.0,2.845,0.51777,0.163717,5.497012,9.023499,1.089935,1.238264,0.034741,5.552444,2.328199,2.36294,7.915383,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,0.9306926923076921,1.1999449769230766,0.19703168759585302,4.61838476527395,2.1306376692307687,2.327669356826622,6.946054122100572,validated_pga_2020_2024_plus_2026,2026-09-18 08:48,,2.0,1.0,0.73,1.21,1.28,1.41,0.1177,0.199086529289608,-0.2810122741179373,1.025,0.5549999999999999,1.2650000000000001,3.435,0.5900000000000001,3.5,2026-09-18 08:48,0.8097208333333331,-0.0298573805000004,0.0357742551716707,0.0,7.402376001693954,0.09270355297157584,-0.030086383217054515,7.429218916276805,6.0,36.0,216.0,0.0,7.429218916276805,0.8388,-3.1319999999999997,2.0304,0.13915000000000002,-0.10305,-0.01312,-0.08324999999999999,0.019706,-0.2627999999999995,-0.04056399999999997,-0.5843762741179367,-0.316786529289608,-0.6201505292896073,62.0
"kohles, ben",1.0,TC,16395,303.2,0.72,7.0,1.0,2,31.09,,-8.0,0.88,1.17,-1.33,2.34,1.17,5.91,1.01,6.92,18.0,-14.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,36884,,Ben Kohles,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,63.0,63.0,63.0,1.0,2.749,0.624655,-1.253364,5.90321,8.023501,0.993935,1.345149,-1.38234,5.958642,2.339084,0.956744,6.915385,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,0.834692692307692,1.306829976923077,-1.1660680865805046,4.8009389238930344,2.1415226692307687,0.9754545826502641,5.7763935065432985,validated_pga_2020_2024_plus_2026,2026-09-18 12:32,,5.0,2.0,3.13,1.58,0.41,-0.48,0.06565,0.1843738348969531,0.337883641446267,2.15,0.125,0.7899999999999999,2.715,-1.96,6.0,2026-09-18 12:32,0.6911888888888896,0.0217021650555553,0.5879074763432202,0.0,6.402376001693954,-0.02582839147286764,0.021473162338501186,5.810113296216367,5.810113296216367,33.75741651487022,196.13441453896147,0.0,5.810113296216367,0.8122538388110482,-2.9368952367937093,1.8436634966662377,0.08689999999999999,-0.08145,-0.02752,-0.01875,-0.065464,-0.2809779013164233,-0.106284,-0.04937825987015633,-0.2500238348969532,-0.6372857362133765,63.0
"castillo, ricky",0.85,TC,27819,315.7,0.61,6.0,1.0,3,31.73,83.18,-9.0,0.9,1.94,1.74,3.47,1.53,2.71,5.21,7.92,18.0,-11.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,59440,,Ricky Castillo,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,62.0,62.0,62.0,1.0,3.1785,1.188485,1.995881,2.660632,9.023498,1.423435,1.908979,1.866905,2.716064,3.332414,5.199319,7.915382,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,1.2641926923076925,0.8706599769230772,1.6261183131395611,2.578888453905178,2.13485266923077,3.7609709823703312,6.339859436275509,validated_pga_2020_2024_plus_2026,2026-09-18 08:04,,4.0,3.0,0.38,-0.95,-0.6,1.81,-0.1293,-0.0055715115503581,0.1479271005793645,1.16,0.395,0.465,2.26,1.56,5.0,2026-09-18 08:04,0.7745666666666663,-0.0247603838333334,0.0130555890290063,0.0,7.402376001693954,0.05754938630490902,-0.024989386550387512,7.421880412419468,6.0,36.0,216.0,0.0,7.421880412419468,0.8388,-3.1319999999999997,2.0304,0.05115,-0.06779999999999999,-0.014848,-0.05925,0.052104,-0.2627999999999995,-0.038644,-0.15351689942063496,0.1348715115503582,-0.16657248844964126,62.0
"greyserman, max",0.54,TC,23465,306.7,0.61,5.0,1.0,3,30.51,60.77,-4.0,0.78,0.73,0.22,0.67,-0.06,2.04,0.88,2.92,18.0,-11.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,51977,,Max Greyserman,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,67.0,67.0,67.0,1.0,1.487,0.047554,0.562977,1.925971,4.023502,-0.268065,0.768048,0.434001,1.981403,0.499983,0.933984,2.915386,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,-0.42730730769230774,0.7297289769230769,0.6234103288807942,1.4553988804665416,0.3024216692307692,0.9258319981115634,2.381230878578105,validated_pga_2020_2024_plus_2026,2026-09-18 13:27,,7.0,3.0,2.06,1.21,0.74,1.63,0.0436,0.2329993482231523,0.0199122512511224,1.395,0.715,0.33999999999999997,1.835,-1.33,6.0,2026-09-18 13:27,0.6250437500000003,0.0276320861666665,0.2965115994742748,0.0,2.4023760016939537,-0.09197353036175693,0.027403083449612387,2.041293955307534,2.041293955307534,4.166881011975077,8.505829022230463,0.0,2.041293955307534,0.28537289495199325,-0.36251864804183165,0.07995479280896636,0.037399999999999996,-0.055049999999999995,-0.017856,-0.10725,-0.044422,0.002809039719127965,-0.187178,-0.16445670902974965,-0.2765993482231524,-0.4609683085040245,67.0
"cole, eric",0.92,TC,21756,287.6,0.72,3.0,1.0,5,34.01,56.14,-3.0,0.75,0.25,-0.5,0.46,0.2,1.96,-0.04,1.92,18.0,-10.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,47591,,Eric Cole,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,68.0,68.0,68.0,1.0,1.709,-0.360259,-0.304044,1.978802,3.023499,-0.046065,0.360235,-0.43302,2.034234,0.31417,-0.11885,1.915383,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,-0.20530730769230754,0.3979159769230767,-0.22475539249187035,1.7958909427022225,0.19260866923076914,-0.03214672326110121,1.7637442194411213,validated_pga_2020_2024_plus_2026,2026-09-18 07:31,,7.0,2.0,2.43,0.22,-0.6,3.59,-0.1826999999999999,0.2099938594509362,0.4985116989036124,1.34,-0.14,-0.19999999999999998,2.775,-2.18,5.0,2026-09-18 07:31,0.7414687499999997,-0.0151380438333332,0.5258055583545487,0.0,1.4023760016939535,0.024451469638242407,-0.015367046550387311,0.8856548664272599,0.8856548664272599,0.7843845424262875,0.6946939871501611,0.0,0.8856548664272599,0.12381455032653094,-0.06824145519108701,0.006530123479211514,-0.022,-0.08324999999999999,-0.017152,0.021,-0.072812,0.06210321861465544,-0.17421399999999998,0.3864009175182679,-0.027293859450936264,-0.1394046408362808,68.0
"power, seamus",0.77,TC,10104,300.5,0.61,2.0,2.0,6,36.84,28.9,-4.0,0.89,0.17,0.81,-0.47,-0.64,2.58,0.35,2.92,18.0,-9.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,28252,,Seamus Power,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,67.0,67.0,67.0,1.0,0.852,-0.239604,0.818709,2.592392,4.023497,-0.903065,0.48089,0.689733,2.647824,-0.422175,0.267558,2.915381,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,-1.0623073076923075,0.44257097692307695,0.836724037346993,2.3216056339282707,-0.6197363307692305,0.21698770657776245,2.5385933405060332,validated_pga_2020_2024_plus_2026,2026-09-18 07:20,,2.0,1.0,2.78,0.6,-0.22,0.48,-0.0419,0.1584422756286511,-0.2598633061348444,1.4749999999999999,0.7050000000000001,-0.43,1.53,-2.61,2.0,2026-09-18 07:20,0.7295902777777772,-0.0111539049444442,-0.1433210305061932,1.0,2.4023760016939537,0.012572997416019915,-0.01138290766149831,2.546887121954669,2.546887121954669,6.486634011978537,16.520724629941284,0.0,2.546887121954669,-0.07844412335620381,-0.09081287616769952,0.061126681130782755,-0.030100000000000002,-0.015300000000000001,-0.04425,-0.021150000000000002,-0.0,-0.10813031839312057,-0.1108,-0.4787936245279649,-0.11654227562865119,-0.33547259402177176,67.0
"suber, jackson",0.92,TC,29279,303.1,0.83,2.0,4.0,6,27.82,16.36,-3.0,0.8,2.59,0.13,3.81,1.22,-2.02,3.94,1.92,18.0,-9.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,60019,,Jackson Suber,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,68.0,68.0,68.0,1.0,2.7395,2.212221,0.111967,-2.040186,3.023502,0.984435,2.932715,-0.017009,-1.984754,3.91715,3.900141,1.915386,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,0.8251926923076929,2.894395976923077,0.1378245264447864,-1.7797158126905361,3.71958866923077,3.8574131956755564,2.0776973829850203,validated_pga_2020_2024_plus_2026,2026-09-18 07:42,,8.0,3.0,0.89,1.02,0.69,2.03,0.02535,0.1737778331824338,0.3695988082760779,1.74,0.575,0.955,0.004999999999999893,1.6999999999999997,5.0,2026-09-18 07:42,0.752927083333333,-0.0187359238333335,0.5687266414585117,1.0,1.4023760016939535,0.035909802971575755,-0.018964926550387614,0.8505942366566299,0.8505942366566299,0.723510555433475,0.615413908611951,0.0,0.8505942366566299,-0.026198302489024203,-0.01012914777606865,0.002277031461864219,0.06685,-4.999999999999894e-05,-0.052199999999999996,-0.017249999999999998,0.0,-0.034050418803228635,-0.0026499999999999857,0.3328983894728493,-0.19912783318243382,-0.23582825198566243,68.0
"bridgeman, jacob",0.85,TC,29433,299.1,0.61,3.0,3.0,6,26.82,46.07,-4.0,0.64,0.88,-1.7,1.77,0.89,2.86,0.06,2.92,18.0,-9.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,60004,,Jacob Bridgeman,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,67.0,67.0,67.0,1.0,2.4685,0.306177,-1.507441,2.756263,4.023499,0.713435,1.026671,-1.636417,2.811695,1.740106,0.103689,2.915383,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,0.5541926923076925,0.9883519769230771,-1.5336587742815015,2.3621006205092363,1.5425446692307696,0.008885894949268058,2.3709865154585046,validated_pga_2020_2024_plus_2026,2026-09-18 07:53,,3.0,1.0,1.57,0.93,0.78,0.36,0.0,0.1005966886821945,0.9485012137985552,1.225,-0.38499999999999995,0.835,1.6099999999999999,-0.6900000000000001,3.0,2026-09-18 07:53,0.7639652777777773,-0.0219475449444446,1.04909790248075,1.0,2.4023760016939537,0.04694799741602007,-0.02217654766149871,1.378049548967725,1.378049548967725,1.8990205594101501,2.616944425375594,0.0,1.378049548967725,-0.04244392610820593,-0.026586287831742102,0.009682694373889699,0.05845,-0.0161,-0.03675,0.011549999999999998,-0.0,-0.05934751956605833,0.017150000000000006,0.9063036942324969,-0.10059668868219485,-0.14279420824825317,67.0
"nyholm, pontus",0.62,TC,25475,308.6,0.61,4.0,2.0,6,40.24,41.87,-4.0,0.88,0.2,0.04,1.03,0.83,1.85,1.07,2.92,18.0,-9.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,55851,,Pontus Nyholm,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,67.0,67.0,67.0,1.0,2.624,-0.233542,-0.165133,1.798174,4.023499,0.868935,0.486952,-0.294109,1.853606,1.355887,1.061778,2.915383,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,0.7096926923076925,0.4486329769230771,-0.09194621326234517,1.3012007529006542,1.1583256692307695,1.0663794559684243,2.3675802088690787,validated_pga_2020_2024_plus_2026,2026-09-18 08:59,,2.0,1.0,1.31,0.3,-0.45,2.48,-0.2231,0.1842632292634085,-0.612124918224998,0.755,0.16999999999999998,0.18999999999999997,2.165,-1.11,3.0,2026-09-18 08:59,0.81661875,-0.0295345977222225,-0.6509616889615896,1.0,2.4023760016939537,0.09960146963824268,-0.029763600439276613,3.1231755598545097,3.1231755598545097,9.75422557767253,30.46415892949458,0.0,3.1231755598545097,-0.0961938072435189,-0.13655915808741542,0.11271738803912995,0.0133,-0.02165,-0.02265,-0.0050999999999999995,-0.0,-0.12003557729180436,-0.0361,-0.7682604955168024,0.03883677073659153,-0.11729880655521285,67.0
"fisk, steven",0.77,TC,26657,303.0,0.72,2.0,0.0,10,30.43,78.93,-5.0,0.88,2.07,0.94,2.36,0.29,0.62,3.3,3.92,18.0,-8.0,The Cliffs at Walnut Cove,Biltmore Championship Asheville,2026-09-18 23:13:44 UTC,pga:R2026557,2.0,57123,,Steven Fisk,dc2bb8ffe52a7d0357a48c317a33fdf20f3524210d6c42d167103bb84e9c0394,66.0,66.0,66.0,1.0,1.799,1.572653,1.034088,0.61776,5.023501,0.043935,2.293147,0.905112,0.673192,2.337082,3.242194,3.915385,field_mean_by_category_hole_v1,layout:f0fb76dca9e1149dc925e91f,d27e3d718b40485e77e89e9f66e604b30712dc377772a22c061fea8fdecf476f,-0.1153073076923079,2.254827976923077,0.9551661983877813,0.9111795927097911,2.1395206692307687,3.0946868676185497,4.005866460328341,validated_pga_2020_2024_plus_2026,2026-09-18 07:53,,2.0,1.0,0.38,-0.31,0.6,0.97,0.0458999999999999,0.0580966331847729,-0.105214564537219,1.2249999999999999,0.31499999999999995,0.44499999999999995,0.7949999999999999,1.69,2.0,2026-09-18 07:53,0.7639652777777773,-0.0219475449444446,-0.001217931352446,1.0,3.4023760016939537,0.04694799741602007,-0.02217654766149871,3.4283653828009206,3.4283653828009206,11.753689197987702,40.29594116658216,0.0,3.4283653828009206,-0.10559365379026836,-0.16455164877182785,0.149094982316354,0.03115,-0.007949999999999999,-0.03675,-0.009449999999999998,0.0,-0.12105032024574222,-0.022999999999999996,-0.24926488478296122,-0.10399663318477301,-0.24804695343051522,66.0
