player_name,accuracy,course_x,dg_id,distance,gir,great_shots,poor_shots,position,prox_fw,prox_rgh,round,scrambling,sg_app,sg_arg,sg_bs,sg_ott,sg_putt,sg_t2g,sg_total,thru,total,course_name,event_name,last_updated,course_y,updated_pred_r3,sg_app_avg,sg_ott_avg,sg_arg_avg,sg_putt_avg,great_shots_avg,tot_resid_adj,tot_sg_adj,r1_resid_undo,wind_adj3,dew_adj3,r3_teetime,teetime_numeric,pos_6_10,sg_total_adj,player_wind_benefit,player_dew_benefit,residual,residual2,weather_signal,residual_w_adj,sg_ott_avg_adj,sg_putt_avg_adj,sg_app_avg_adj,sg_arg_avg_adj,pos_6_10_adj,r1_resid_removed,total_adjustment,updated_pred_r4,Score
"brennan, michael",0.86,SF,29197,306.1,0.89,8.0,2.0,1,25.06,14.67,-7.0,0.67,0.62,0.15,2.64,2.02,3.3,2.79,6.09,18.0,-16.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.1874645754266631,0.8311999999999999,1.5646,-0.40110000000000007,2.3232,6.5,-0.1896149818326594,0.15503,-0.1000826783612633,0.7048117222222225,0.0781748240740742,2026-08-08 13:05:00,1786194300000000000,0.0,6.1205176783650215,-0.053593591906721416,0.07817482407407403,5.957634335105711,35.49340687083046,-0.07242007279162002,6.030054407897331,0.20965640000000002,-0.278784,0.0,0.10428600000000002,0.0,0.0,0.06974338183265946,0.25720795725932255,63.0
"hossler, beau",0.5,SF,15470,293.2,0.72,6.0,2.0,1,29.88,67.96,-4.0,0.86,0.05,0.49,-0.06,-0.11,2.66,0.43,3.09,18.0,-16.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,-0.2813193377267357,1.1092999999999997,0.2629,0.41079999999999994,2.4983,5.5,0.0270601489566887,-0.2737659999999999,-0.3067184510161335,0.6741199166666674,0.1068071990740739,2026-08-08 13:55:00,1786197300000000000,0.0,3.1205176783650215,-0.08428539746227659,0.10680719907407374,3.4243588177035544,11.726233312384085,-1.7460611971094733,5.170420014813027,0.035228600000000006,-0.299796,0.0,-0.10680799999999999,0.0,0.0,-0.12466954895668883,-0.4059888866834245,66.0
"kim, tom",0.93,SF,24766,278.3,0.89,5.0,0.0,3,27.32,,-7.0,1.0,2.56,0.62,3.34,0.78,2.12,3.96,6.09,18.0,-15.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.9258809179304052,1.6294,0.5985,-0.23470000000000008,1.988,2.5,-0.0428226132418826,0.0019,-0.1117812576374847,0.724166777777778,0.0503135740740741,2026-08-08 12:20:00,1786191600000000000,0.0,6.1205176783650215,-0.034238536351165916,0.050313574074073934,5.210711798157525,27.151517443458026,0.3249876616337218,4.885724136523803,0.080199,-0.23856,0.0,0.06102200000000002,0.0,0.0,-0.05641638675811735,0.8694645311722878,63.0
"smalley, alex",0.5,SF,18474,293.8,0.78,4.0,2.0,4,20.76,64.54,-5.0,0.75,2.22,1.08,2.58,0.36,0.42,3.66,4.09,18.0,-14.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.2609327934302453,2.2794000000000003,0.4689,0.47939999999999994,0.4002,3.0,-0.2713029207756255,0.0484299999999999,-0.0508026310557585,0.6997389166666672,0.0841802990740743,2026-08-08 13:15:00,1786194900000000000,0.0,4.1205176783650215,-0.058666397462276754,0.08418029907407414,3.8850987865465734,15.093992581225656,-0.2862030505899273,4.1713018371365,0.0628326,-0.048024,0.0,-0.12464399999999999,0.0,0.0,0.11303752077562562,0.3739703142058709,65.0
"noren, alex",0.57,SF,10419,280.6,0.78,5.0,2.0,4,23.45,100.85,-5.0,1.0,0.51,1.81,0.29,-0.23,2.0,2.09,4.09,18.0,-14.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.3691422308945796,0.11069999999999999,0.331,1.1103999999999998,2.0825,3.0,-0.1352913891164484,-0.170628,-0.0935805888037552,0.6941333333333339,0.0900462740740741,2026-08-08 13:25:00,1786195500000000000,0.0,4.1205176783650215,-0.06427198079561003,0.09004627407407394,3.7771497407489054,14.266860164039523,-0.5557700892274235,4.332919829976329,0.044354000000000005,-0.24989999999999998,0.0,-0.28870399999999996,0.0,0.0,-0.18833061088355157,0.18081162001102802,65.0
"thompson, davis",0.71,SF,27364,290.9,0.83,5.0,5.0,6,15.85,63.97,-5.0,0.33,5.36,-0.46,5.53,0.17,-0.99,5.08,4.09,18.0,-13.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.7302767276479679,3.6539,0.3119,-0.09369999999999998,-0.5774999999999999,2.5,-0.0054956624695903,-0.0554999999999999,-0.1654789117377774,0.7201405000000004,0.056561624074074,2026-08-08 12:30:00,1786192200000000000,1.0,4.1205176783650215,-0.03826481412894356,0.056561624074073835,3.408537760662184,11.618129665859975,0.30421199428041534,3.1043257663817685,0.046785,-0.0,0.0,0.010306999999999998,-0.05,0.0,0.0680876624695902,0.7983643901175581,65.0
"yu, kevin",0.71,SF,17881,294.8,0.72,9.0,2.0,7,25.41,47.36,-5.0,0.75,-0.39,0.07,0.01,0.39,4.01,0.08,4.09,18.0,-12.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.3180404871296914,0.022499999999999992,0.7365000000000002,0.202,2.0069,4.5,-0.0181614437062315,0.03915,-0.1428345489358192,0.7280408333333336,0.044034524074074,2026-08-08 12:10:00,1786191000000000000,1.0,4.1205176783650215,-0.030364480795610382,0.044034524074073836,3.8161472345137932,14.562979715487272,0.3157663629617727,3.5003808715520206,0.11047500000000002,0.0,0.0,-0.02222,-0.05,0.0,0.017266443706231514,0.33530693083592295,65.0
"echavarria, nicolas",0.64,SF,22833,290.7,0.78,3.0,0.0,8,23.96,49.29,-8.0,1.0,1.04,1.06,1.38,0.34,4.65,2.43,7.09,18.0,-11.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.2074506856658223,-0.21400000000000002,0.1123,1.159,1.6139999999999999,2.0,-0.005104025957141,-0.0672695,-0.010592480898111,0.8043270000000002,-0.0555870759259256,2026-08-08 08:05:00,1786176300000000000,1.0,7.1205176783650215,0.04592168587105627,-0.055587075925925766,6.90340160264433,47.6569536873923,0.5317953682426135,6.371606234401716,0.016845,0.0,-0.0,-0.12749,-0.05,0.0,-0.08827147404285898,0.11917921162296333,62.0
"hall, harry",0.57,SF,27194,294.3,0.78,4.0,2.0,8,22.39,47.02,-6.0,0.83,1.85,-0.6,2.21,0.35,3.48,1.61,5.09,18.0,-11.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.1454178300048687,1.0646,0.2708,-0.5175,1.8333,5.0,0.0812376342444137,0.048185,0.0243528311666428,0.7634781666666669,-0.0210561759259257,2026-08-08 10:25:00,1786184700000000000,1.0,5.1205176783650215,0.005072852537722938,-0.021056175925925867,4.95911652497195,24.59283670824987,-0.4126575442993563,5.371774069271306,0.040619999999999996,0.0,0.0,0.056924999999999996,-0.05,0.0,-0.08187763424441372,0.06354019576045497,64.0
"smith, jordan",0.57,SF,18586,288.3,0.61,3.0,2.0,8,31.93,60.91,0.0,0.56,-1.03,-0.35,-0.99,0.04,0.43,-1.34,-0.91,18.0,-11.0,Sedgefield Country Club,Wyndham Championship,2026-08-09 00:58:37 UTC,,0.3470136924504158,-0.03339999999999993,0.6834999999999999,-0.05960000000000004,1.9975,7.5,-0.2685922003805403,0.020548,-0.1250135765821159,0.6813238333333339,0.1013597240740744,2026-08-08 13:45:00,1786196700000000000,1.0,-0.8794823216349783,-0.07708148079561006,0.10135972407407423,-1.2022177708069302,1.4453275684439844,-1.2810105997937542,0.07879282898682405,0.10252499999999998,0.0,-0.0,0.0065560000000000045,-0.05,0.0,0.3071252003805403,0.6541388928309562,70.0
