player_name,r1_ott_mean,r2_ott_mean,r3_ott_mean,r4_ott_mean,tourn_ott_per_round_mean,r1_app_mean,r2_app_mean,r3_app_mean,r4_app_mean,tourn_app_per_round_mean,r1_arg_mean,r2_arg_mean,r3_arg_mean,r4_arg_mean,tourn_arg_per_round_mean,r1_putt_mean,r2_putt_mean,r3_putt_mean,r4_putt_mean,tourn_putt_per_round_mean,r1_total_mean,r2_total_mean,r3_total_mean,r4_total_mean,tourn_total_sg_per_round_mean
"bauchou, zach",-0.00398043,0.042454985,-0.030712337,-0.023199292,-0.003859268,-0.006010816,0.046788002,-0.022791027,-0.016489296,0.000374216,0.024547878,0.035338423,0.001233322,0.008452646,0.017393067,0.012001646,0.025541517,-0.020047533,-0.010534961,0.001740167,0.026558279,0.150122927,-0.072317575,-0.041770903,0.015648182
"bezuidenhout, christiaan",-0.406187045,-0.36443541,-0.440641059,-0.430148515,-0.410353007,0.175492769,0.220226647,0.135909648,0.147479317,0.169777095,0.365994199,0.377318517,0.319083784,0.33044421,0.348210178,0.386104827,0.392855981,0.329659043,0.348961384,0.364395309,0.52140475,0.625965736,0.344011417,0.396736396,0.472029575
"ryder, sam",-0.112814693,-0.190395981,-0.162768799,-0.14836332,-0.153585698,-0.11596876,-0.184205573,-0.153201871,-0.148549474,-0.15048142,-0.091983831,-0.131030824,-0.130035356,-0.124512451,-0.119390616,-0.120764995,-0.15348189,-0.14688412,-0.138393615,-0.139881155,-0.441532279,-0.659114268,-0.592890146,-0.559818861,-0.563338888
"blair, zac",-0.258608099,-0.224475951,-0.305924226,-0.283974974,-0.268245813,0.720519824,0.777232951,0.688625825,0.711463823,0.724460606,-0.02540352,-0.018172407,-0.067627364,-0.045489109,-0.0391731,-0.283919847,-0.270924683,-0.319695827,-0.298849447,-0.293347451,0.152588358,0.263659911,-0.004621592,0.083150293,0.123694242
"blanchet, chandler",0.046655265,-0.00588348,0.003404369,0.021986452,0.016540652,0.090311483,0.037803165,0.057151001,0.075459878,0.065181382,0.07099584,0.049592623,0.039589412,0.054665985,0.053710965,-0.00827305,-0.034532055,-0.031973682,-0.02677071,-0.025387374,0.199689538,0.046980253,0.068171101,0.125341605,0.110045624
"bradley, keegan",0.18495191,0.219817234,0.136489876,0.158704952,0.174990993,-0.065827772,-0.020862802,-0.108527756,-0.074795482,-0.067503453,0.450490031,0.439859472,0.392535625,0.412656297,0.423885356,0.133267202,0.146563031,0.0945763,0.108829406,0.120808985,0.702881371,0.785376935,0.515074045,0.605395174,0.652181881
"brennan, michael",0.813490026,0.773946133,0.808457185,0.831657816,0.80688779,0.39601438,0.349857203,0.383291113,0.396931256,0.381523488,-0.287843798,-0.307363869,-0.298951213,-0.278023768,-0.293045662,-0.659666022,-0.663126616,-0.660446388,-0.654629753,-0.659467195,0.261994587,0.153312851,0.232350697,0.295935552,0.235898422
"bridgeman, jacob",0.084206833,0.050188377,0.059312624,0.074671692,0.067094881,0.125582654,0.091776902,0.129870381,0.123503504,0.11768336,-0.044084817,-0.03421282,-0.056383082,-0.045963041,-0.04516094,0.979530442,0.98518352,0.963353274,0.980237172,0.977076102,1.145235112,1.092935978,1.096153197,1.132449327,1.116693404
"brown, blades",0.063133119,0.019205493,0.035946236,0.038997309,0.039320539,-0.307768836,-0.355356685,-0.350200688,-0.340387859,-0.338428517,-0.195289858,-0.227671498,-0.23520522,-0.223555513,-0.220430522,0.187886406,0.15498531,0.150983767,0.171290582,0.166286516,-0.252039169,-0.408837381,-0.398475906,-0.353655481,-0.353251984
"brown, dan",-0.016394288,-0.064732283,-0.046614121,-0.038710469,-0.04161279,-0.015746109,-0.062021491,-0.053682363,-0.033389492,-0.041209864,0.013985905,-0.005411387,-0.012303362,-0.006874561,-0.002650851,0.000450986,-0.03302957,-0.048526475,-0.036115293,-0.029305088,-0.017703506,-0.165194731,-0.161126321,-0.115089814,-0.114778593
"campbell, brian",-0.799851272,-0.799486933,-0.864082698,-0.851521663,-0.828735641,-0.337207914,-0.29214081,-0.38309834,-0.372212644,-0.346164927,-0.075559683,-0.10388307,-0.153522378,-0.14175725,-0.118680595,0.344183498,0.314301089,0.258270532,0.280899806,0.299413731,-0.868435371,-0.881209724,-1.142432884,-1.084591751,-0.994167432
"campos, rafael",-0.195796273,-0.288492062,-0.244159344,-0.243953758,-0.243100359,-0.43531988,-0.525530952,-0.478759224,-0.475515225,-0.47878132,-0.432479527,-0.485765913,-0.473209779,-0.474538163,-0.466498346,-0.128721871,-0.193228626,-0.174339783,-0.162577258,-0.164716884,-1.19231755,-1.493017554,-1.37046813,-1.356584404,-1.353096909
"cantlay, patrick",0.48270356,0.553522949,0.493120865,0.503186072,0.508133361,0.407799122,0.489002718,0.419657755,0.440122881,0.439145619,0.215733663,0.267052375,0.224396428,0.245408553,0.238147755,0.099607422,0.153337272,0.108550858,0.113193042,0.118672149,1.205843767,1.462915314,1.245725906,1.301910548,1.304098884
"castillo, ricky",0.30594362,0.354875078,0.285964764,0.29932694,0.3115276,-0.006341549,0.033041533,-0.04346389,-0.020679717,-0.009360905,0.092859885,0.105206728,0.068831256,0.081682338,0.087145052,0.17177435,0.182640255,0.146846096,0.161547422,0.165702031,0.564236307,0.675763594,0.458178226,0.521876984,0.555013778
"cauley, bud",0.115565222,0.037447663,0.068753675,0.077283807,0.074762592,0.388029509,0.323010785,0.348322896,0.372587581,0.357987693,0.284923197,0.242463577,0.245828433,0.258328629,0.257885959,-0.121932965,-0.161421713,-0.158927238,-0.153479937,-0.148940463,0.666584964,0.441500312,0.503977766,0.55472008,0.541695781
"chatfield, davis",-0.109299619,-0.163822904,-0.15421319,-0.143554084,-0.142722449,-0.112006054,-0.170762629,-0.156345481,-0.132320249,-0.142858603,-0.08610407,-0.110679163,-0.121305595,-0.109541479,-0.106907577,-0.110861143,-0.134341979,-0.140923592,-0.122271519,-0.127099558,-0.418270885,-0.579606676,-0.572787858,-0.50768733,-0.519588187
"clanton, luke",0.321440899,0.304746777,0.313861145,0.324616372,0.316166298,0.224904424,0.20047608,0.199215681,0.220440218,0.211259101,-0.24224661,-0.251262101,-0.257714195,-0.240654591,-0.247969374,-0.417329064,-0.429764477,-0.417176271,-0.423566398,-0.421959053,-0.113230352,-0.175803721,-0.16181364,-0.119164398,-0.142503028
"clark, wyndham",-0.018305781,-0.086277815,-0.07748767,-0.05666154,-0.059683202,0.385894482,0.324831755,0.340243406,0.350989255,0.350489724,0.425915981,0.396900731,0.385964346,0.39222765,0.400252177,-0.152543241,-0.186229762,-0.205982653,-0.192327333,-0.184270747,0.64096144,0.449224909,0.44273743,0.494228031,0.506787952
"cole, eric",-0.773084061,-0.762986119,-0.842193,-0.825813973,-0.801019288,0.215519591,0.237674491,0.15401159,0.166533952,0.193434906,0.274872357,0.263191971,0.215261046,0.224680402,0.244501444,0.469390837,0.460654418,0.398689273,0.434403382,0.440784478,0.186698724,0.198534762,-0.074231091,-0.000196237,0.07770154
"conners, corey",0.433960823,0.502718244,0.444917615,0.462776813,0.461093374,0.75562862,0.829773861,0.769421477,0.794130825,0.787238696,-0.082553153,-0.04381651,-0.072754736,-0.054538855,-0.063415813,-0.114802965,-0.088017923,-0.107418009,-0.082810667,-0.098262391,0.992233326,1.200657672,1.034166347,1.119558116,1.086653865
"coody, pierceson",0.589721167,0.64131031,0.577255978,0.591172053,0.599864877,0.355467754,0.404386095,0.339131276,0.357527842,0.364128242,-0.365314706,-0.342400406,-0.377589575,-0.365019272,-0.36258099,-0.103987199,-0.08371996,-0.129437755,-0.122761645,-0.10997664,0.475887017,0.619576039,0.409359924,0.460918977,0.491435489
"dahmen, joel",0.100279417,0.027553205,0.063060787,0.075613786,0.066626799,0.097836251,0.026190841,0.05658218,0.077381477,0.064497687,0.123609813,0.082483248,0.083160442,0.107407973,0.099165369,0.11175853,0.067398858,0.069809132,0.085414862,0.083595345,0.433484012,0.203626152,0.272612541,0.345818098,0.313885201
"davis, cameron",-0.395833514,-0.380706311,-0.453129035,-0.442869798,-0.418134665,-0.486439841,-0.465411309,-0.54020985,-0.524362362,-0.504105841,-0.042414635,-0.045613446,-0.103800229,-0.097477421,-0.072326432,-0.214098786,-0.215893465,-0.261345623,-0.257264795,-0.237150667,-1.138786776,-1.10762453,-1.358484737,-1.321974376,-1.231717605
"dou, zecheng",-0.302481488,-0.361489485,-0.357465082,-0.34213814,-0.340893549,0.239310654,0.185646097,0.189450162,0.204820655,0.204806892,0.151500569,0.127738924,0.108933655,0.123651628,0.127956194,-0.176189968,-0.200653068,-0.223294808,-0.208949209,-0.202271763,-0.087860233,-0.248757532,-0.282376072,-0.222615065,-0.210402226
"dumont de chassart, adrien",0.007606264,-0.03261994,-0.031608181,-0.023931794,-0.020138413,-0.117035949,-0.150917828,-0.15209235,-0.14115867,-0.140301199,0.143498774,0.123871044,0.10454716,0.113864625,0.121445401,-0.081834675,-0.100250575,-0.117023094,-0.105848189,-0.101239133,-0.047765586,-0.159917299,-0.196176464,-0.157074029,-0.140233344
"dunlap, nick",-1.321346578,-1.417641551,-1.435656336,-1.414977977,-1.39740561,0.130756733,0.039804869,0.029743113,0.033086487,0.058347801,-0.059881535,-0.142495463,-0.166299977,-0.15049215,-0.129792281,0.079180262,0.011583362,-0.027746147,-0.010258318,0.01318979,-1.171291118,-1.508748783,-1.599959347,-1.542641958,-1.455660301
"eckroat, austin",0.125157635,0.04177525,0.098217052,0.110728158,0.093969524,0.531070077,0.452031546,0.507725995,0.525693162,0.504130195,-0.398799458,-0.428439045,-0.41784668,-0.406698817,-0.412946,-0.128811504,-0.166879012,-0.164187639,-0.139317613,-0.149798942,0.128616749,-0.101511261,0.023908728,0.09040489,0.035354776
"ewart, a.j.",-0.067259887,-0.029756967,-0.095155562,-0.088713358,-0.070221443,-0.119509517,-0.080650904,-0.157919137,-0.138302361,-0.12409548,-0.202456137,-0.190902944,-0.226499709,-0.221209388,-0.210267045,0.048296812,0.054927684,0.015861759,0.028640743,0.036931749,-0.340928729,-0.246383131,-0.46371265,-0.419584365,-0.367652219
"finau, tony",-0.260511996,-0.318492428,-0.309794568,-0.296528958,-0.296331988,-0.022616025,-0.093638353,-0.086281684,-0.061451854,-0.065996979,0.248098161,0.20617389,0.198829086,0.216026904,0.21728201,0.169232986,0.130910788,0.116216458,0.132997908,0.137339535,0.134203126,-0.075046104,-0.081030709,-0.008956001,-0.007707422
"fishburn, patrick",-0.163116534,-0.207090004,-0.192657434,-0.19387813,-0.189185525,-0.312606386,-0.344956004,-0.335137459,-0.324676816,-0.329344166,-0.334796638,-0.366442963,-0.364642627,-0.353881847,-0.354941019,0.088912968,0.060438375,0.059211979,0.058946425,0.066877437,-0.72160659,-0.858050596,-0.833225541,-0.813490367,-0.806593274
"fisk, steven",-0.00157651,0.043542825,-0.026678909,-0.010952656,0.001083688,-0.11485967,-0.076511264,-0.131714029,-0.120987888,-0.111018213,0.257563568,0.270039497,0.223000016,0.240857631,0.247865178,-0.144091119,-0.131066006,-0.168624129,-0.170128052,-0.153477327,-0.002963731,0.106005051,-0.104017051,-0.061210965,-0.015546674
"fitzpatrick, matt",0.348250333,0.320962249,0.338434745,0.348322413,0.338992435,0.594734788,0.562880345,0.57770675,0.584028276,0.57983754,0.325197278,0.32300205,0.302465872,0.316527983,0.316798296,0.304767887,0.297048937,0.279642755,0.296965519,0.294606274,1.572950285,1.50389358,1.498250122,1.54584419,1.530234544
"ford, david",0.466779574,0.434072678,0.446777739,0.465511893,0.453285471,0.244768755,0.217641133,0.233097533,0.250441466,0.236487222,-0.262692108,-0.265846056,-0.275730531,-0.264121719,-0.267097604,-0.307368844,-0.308872371,-0.314051296,-0.309434405,-0.309931729,0.141487376,0.076995383,0.090093445,0.142397236,0.11274336
"garnett, brice",-0.295223708,-0.362883281,-0.339438401,-0.332988274,-0.332633416,-0.290230326,-0.352746154,-0.326564683,-0.31715464,-0.321673951,0.008633401,-0.026029944,-0.029452162,-0.0223497,-0.017299601,0.118851619,0.082856245,0.070876148,0.090646832,0.090807711,-0.457969014,-0.658803135,-0.624579099,-0.581845782,-0.580799258
"ghim, doug",0.386388725,0.315165826,0.351651584,0.373911101,0.356779309,0.163765112,0.098301128,0.138963326,0.158982675,0.14000306,0.142842847,0.114593809,0.123150155,0.131934141,0.128130238,-0.398807104,-0.416021604,-0.432075078,-0.428886236,-0.418947505,0.29418958,0.112039159,0.181689987,0.235941681,0.205965102
"glover, lucas",0.106923983,0.04187668,0.059418108,0.078729879,0.071737163,0.424618849,0.366510343,0.380152763,0.405401436,0.394170848,0.191343369,0.161389047,0.151582987,0.17103097,0.168836593,-0.218460936,-0.246392248,-0.249424945,-0.245898552,-0.24004417,0.504425266,0.323383821,0.341728913,0.409263733,0.394700433
"griffin, ben",-0.224943406,-0.285116772,-0.284301576,-0.264648478,-0.264752558,0.22482994,0.172444851,0.17547722,0.190476,0.190807003,0.332757165,0.302403305,0.277604754,0.294558188,0.301830853,0.656503165,0.624515982,0.594033412,0.612271711,0.621831067,0.989146863,0.814247366,0.76281381,0.832657421,0.849716365
"grillo, emiliano",-0.162391355,-0.121932131,-0.193206692,-0.171931347,-0.162365381,0.037255474,0.076491365,0.012275298,0.030836288,0.039214606,-0.10820886,-0.110170133,-0.154128178,-0.132961952,-0.126367281,-0.072055532,-0.064984562,-0.107231885,-0.097436569,-0.085427137,-0.305400274,-0.220595461,-0.442291457,-0.37149358,-0.334945193
"guthrie, luke",-0.527892574,-0.491615384,-0.568503663,-0.571175011,-0.539796658,-0.52781447,-0.499164465,-0.562363571,-0.572049033,-0.540347885,-0.500410185,-0.497174653,-0.5329359,-0.53862618,-0.517286729,-0.519770225,-0.514556252,-0.559235855,-0.55987631,-0.538359661,-2.075887453,-2.002510754,-2.223038989,-2.241726533,-2.135790932
"hadwin, adam",0.172663074,0.083631882,0.127281961,0.150437241,0.13350354,-0.264420776,-0.342226032,-0.295682824,-0.290154681,-0.298121078,-0.16645105,-0.203803882,-0.197802763,-0.185408894,-0.188366647,0.266965387,0.237376274,0.234178169,0.252943432,0.247865816,0.008756635,-0.225021757,-0.132025456,-0.072182901,-0.10511837
"higgo, garrick",0.220137512,0.162060604,0.189025134,0.195072999,0.191574062,-0.296667204,-0.348975681,-0.327724209,-0.329353502,-0.325680149,0.010542849,-0.024676734,-0.021348852,-0.010792174,-0.011568727,0.091922948,0.056404912,0.059910951,0.079005404,0.071811054,0.025936105,-0.155186899,-0.100136976,-0.066067273,-0.073863761
"highsmith, joe",-0.278521971,-0.252734495,-0.326549457,-0.31439786,-0.293050946,-0.124685433,-0.107094008,-0.176500026,-0.148332471,-0.139152985,-0.185454266,-0.190275603,-0.232351846,-0.218818183,-0.206724975,-0.221660575,-0.230219417,-0.262818829,-0.263079965,-0.244444697,-0.810322246,-0.780323524,-0.998220159,-0.94462848,-0.883373602
"hirata, kensei",0.18032724,0.223414375,0.157652407,0.161155234,0.180637314,-0.370284125,-0.326069305,-0.388341638,-0.38363217,-0.36708181,-0.233229481,-0.216956415,-0.254695046,-0.249172437,-0.238513345,-0.184570477,-0.170077928,-0.196929552,-0.200771735,-0.188087423,-0.607756843,-0.489689273,-0.68231383,-0.672421107,-0.613045263
"hisatsune, ryo",0.478122214,0.418811118,0.446103005,0.462444545,0.451370221,0.463459544,0.400957868,0.436560858,0.451865211,0.43821087,0.234204251,0.199729135,0.207068479,0.224708151,0.216427504,-0.285636625,-0.32066923,-0.315386698,-0.29993622,-0.305407193,0.890149384,0.698828891,0.774345645,0.839081687,0.800601402
"hodges, lee",0.131814847,0.171095796,0.104270051,0.122375171,0.132388966,0.134741403,0.174388656,0.099090916,0.117811593,0.131508142,-0.170907409,-0.157530249,-0.195238639,-0.187298177,-0.177743619,0.127478163,0.140865486,0.106168293,0.118176672,0.123172154,0.223127005,0.328819688,0.114290622,0.171065259,0.209325644
"hoey, rico",0.621158322,0.590353398,0.601893687,0.616298297,0.607425926,0.455823097,0.429390003,0.440570663,0.468366582,0.448537586,-0.326806356,-0.333856554,-0.339759505,-0.323783556,-0.331051493,-0.362541683,-0.354033126,-0.370615045,-0.349281941,-0.359117949,0.38763338,0.331853721,0.332089799,0.411599383,0.365794071
"hoffman, charley",0.030498272,0.077660312,0.018800607,0.022872762,0.037457988,-0.22225931,-0.175426878,-0.230977551,-0.222274947,-0.212734671,-0.095785219,-0.075224472,-0.118922104,-0.118112494,-0.102011072,-0.922166975,-0.906734142,-0.945853779,-0.937857602,-0.928153124,-1.209713232,-1.07972518,-1.276952828,-1.25537228,-1.20544088
"hojgaard, nicolai",0.142839936,0.068944724,0.098692644,0.118276871,0.107188544,0.540388747,0.477438188,0.506087346,0.522598193,0.511628119,-0.078069883,-0.122136834,-0.122372245,-0.099555921,-0.105533721,0.326309685,0.278168467,0.270634653,0.286902509,0.290503828,0.931468485,0.702414546,0.753042397,0.828221651,0.80378677
"hojgaard, rasmus",0.152184554,0.064920435,0.110542834,0.124947669,0.113148873,0.240025759,0.166127964,0.205696108,0.216926876,0.207194176,-0.125223419,-0.161668192,-0.1604314,-0.142621475,-0.147486121,0.33016876,0.289442428,0.298385412,0.314230208,0.308056702,0.597155654,0.358822635,0.454192954,0.513483278,0.48091363
"homa, max",0.066678002,0.010494787,0.040481557,0.049080088,0.041683608,0.284087525,0.227032136,0.255342094,0.254890783,0.255338135,-0.160269957,-0.189642574,-0.191125456,-0.177646075,-0.179671015,0.286984167,0.260915091,0.254594562,0.266792659,0.26732162,0.477479737,0.308799439,0.359292758,0.393117455,0.384672347
"horschel, billy",-0.360136214,-0.33185064,-0.403382481,-0.394180814,-0.372387537,-0.032560352,-0.0075672,-0.074668247,-0.058712147,-0.043376986,-0.028146773,-0.025622762,-0.066783247,-0.058122604,-0.044668846,0.293638597,0.298423056,0.270326731,0.278962012,0.285337599,-0.127204742,-0.066617546,-0.274507244,-0.232053552,-0.175095771
"hossler, beau",-0.111054965,-0.189816887,-0.159243693,-0.15037667,-0.152623054,-0.580206449,-0.665566725,-0.630928489,-0.615724474,-0.623106534,0.420595677,0.374761974,0.37784545,0.38031912,0.388380555,0.310493037,0.266353177,0.261860902,0.267680086,0.276596801,0.0398273,-0.21426846,-0.150465831,-0.118101939,-0.110752232
"hovland, viktor",-0.110074801,-0.041022886,-0.121268238,-0.107326343,-0.094923067,0.894382968,0.968092464,0.89175833,0.895677331,0.912477773,0.244099689,0.2849859,0.230717063,0.244184276,0.250996732,0.302315561,0.348922202,0.288018701,0.297909102,0.309291392,1.330723416,1.560977681,1.289225856,1.330444367,1.37784283
"hubbard, mark",-0.12809798,-0.08954743,-0.163586243,-0.149489954,-0.132680402,-0.073665066,-0.030316033,-0.102191467,-0.09410773,-0.075070074,0.034551425,0.03101508,-0.010259145,0.000901324,0.014052171,0.052482545,0.067576553,0.01464442,0.030770438,0.041368489,-0.114729076,-0.02127183,-0.261392435,-0.211925923,-0.152329816
"hughes, mackenzie",-0.255831688,-0.213892217,-0.285324399,-0.270846838,-0.256473786,-0.042960802,-0.011756244,-0.080311022,-0.067735348,-0.050690854,0.285813438,0.291871478,0.247891359,0.254493593,0.270017467,0.155326114,0.164542338,0.12162414,0.122431774,0.140981092,0.142347062,0.230765355,0.003880077,0.038343182,0.103833919
"im, sungjae",0.315861535,0.363620155,0.276998325,0.284217848,0.310174466,-0.776395999,-0.71799143,-0.798805447,-0.79191967,-0.771278136,0.621785351,0.647376342,0.589212029,0.588561689,0.611733853,0.248001111,0.264806462,0.215608171,0.218112944,0.236632172,0.409251998,0.557811529,0.283013079,0.298972811,0.387262354
"jaeger, stephan",-0.380559692,-0.460250815,-0.441316146,-0.421823594,-0.425987562,-0.063265239,-0.163482674,-0.14315076,-0.12768762,-0.124396573,0.313413746,0.258122199,0.246885314,0.264578744,0.270750001,0.316635734,0.269962173,0.260520665,0.281409071,0.282131911,0.186224549,-0.095649117,-0.077060926,-0.003523399,0.002497777
"kanaya, takumi",0.235189285,0.282515284,0.228433193,0.237073406,0.245802792,-0.72098294,-0.672346946,-0.729011966,-0.719804388,-0.71053656,0.172442784,0.186354961,0.148674884,0.158922599,0.166598807,0.362234466,0.387213635,0.35735165,0.364299941,0.367774923,0.048883595,0.183736934,0.005447762,0.040491558,0.069639962
