source_player_id,source_player_name,datagolf_player_name,canonical_name,event_key,first_seen_at,last_seen_at
23108,Matt Kuchar,"kuchar, matt","kuchar, matt",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
25493,Nick Taylor,"taylor, nick","taylor, nick",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
25900,Lucas Glover,"glover, lucas","glover, lucas",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
26420,"johnson, richard","Johnson, Richard S.","Johnson, Richard S.",,2026-07-30T20:57:42.572014+00:00,2026-07-30T20:57:42.572014+00:00
27214,Kevin Streelman,"streelman, kevin","streelman, kevin",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
27644,Brian Harman,"harman, brian","harman, brian",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
27649,Brandt Snedeker,"snedeker, brandt","snedeker, brandt",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
27770,Camilo Villegas,"villegas, camilo","villegas, camilo",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
28252,Seamus Power,"power, seamus","power, seamus",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
28679,Fabián Gómez,"gomez, fabian","gomez, fabian",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
28723,John Parry,"parry, john","parry, john",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
29221,Webb Simpson,"simpson, webb","simpson, webb",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
29289,"noh, s.y.","Noh, Seung-Yul","Noh, Seung-Yul",,2026-07-30T20:57:42.572014+00:00,2026-07-30T20:57:42.572014+00:00
29420,Billy Horschel,"horschel, billy","horschel, billy",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
