tab,sheet_row,event,event_id,run_ts,player,market,book,imp,p_fair,edge,my_pred,kelly_stake,cur_result,actual_finish,cur_units_won,side,confidence,basis,corrected_market,corrected_result,units_wagered,corrected_units_won,units_delta,side_r1,src,bid,ask,gt_side,d_yes,d_no,final_side,dec,corr_result,corr_units,delta
finish_positions,3718,cjcup,19,2026-05-22 21:57:44,"finau, tony",top_20,novig,0.3704,0.4065,3.6,0.06,,win,T6,1.7,yes,CONFIRMED,mixed dual-side run (stake+odds null),,,,,,yes,snap,0.61,0.74,no,0.305,0.045,no,2.699784017278618,loss,-1.0,-2.7
finish_positions,3721,cjcup,19,2026-05-22 22:00:57,"finau, tony",top_20,kalshi,0.3401,0.4065,6.6,0.06,,win,T6,1.94,yes,CONFIRMED,mixed dual-side run (stake+odds null),,,,,,yes,snap,0.61,0.74,no,0.39,0.04,no,2.9403116730373418,loss,-1.0,-2.94
finish_positions,3722,cjcup,19,2026-05-22 22:00:57,"hirata, kensei",top_5,kalshi,0.859,0.9025,4.4,-0.72,,loss,T19,-1.0,no,CONFIRMED,mixed dual-side run (stake+odds null),top_5_no,win,1.0,0.1642,1.1642,no,snap,0.14,0.22,no,0.639,0.001,no,1.1641443538998837,win,0.1641443538998837,1.1641443538998837
finish_positions,3723,cjcup,19,2026-05-22 22:00:57,"villegas, camilo",top_20,kalshi,0.7917,0.8355,4.4,-1.25,,loss,T40,-1.0,no,CONFIRMED,mixed dual-side run (stake+odds null),top_20_no,win,1.0,0.2632,1.2632,no,snap,0.17,0.28,no,0.512,0.028,no,1.2631047113805736,win,0.26310471138057356,1.2631047113805736
finish_positions,3724,cjcup,19,2026-05-22 22:00:57,"hirata, kensei",top_10,kalshi,0.7135,0.7396,2.6,-0.72,,loss,T19,-1.0,no,CONFIRMED,mixed dual-side run (stake+odds null),top_10_no,win,1.0,0.4016,1.4016,no,snap,0.37,0.39,no,0.324,0.084,no,1.4015416958654519,win,0.40154169586545185,1.4015416958654519
finish_positions,3725,cjcup,19,2026-05-22 22:00:57,"kim, chan",top_10,kalshi,0.8113,0.8347,2.3,-0.72,,loss,T38,-1.0,no,CONFIRMED,mixed dual-side run (stake+odds null),top_10_no,win,1.0,0.2326,1.2326,no,snap,0.13,0.28,no,0.531,0.049,no,1.2325896708985578,win,0.23258967089855775,1.2325896708985578
finish_positions,3726,cjcup,19,2026-05-22 22:00:57,"list, luke",top_20,kalshi,0.8113,0.8336,2.2,-1.08,,loss,T40,-1.0,no,CONFIRMED,mixed dual-side run (stake+odds null),top_20_no,win,1.0,0.2326,1.2326,no,snap,0.15,0.27,no,0.541,0.029,no,1.2325896708985578,win,0.23258967089855775,1.2325896708985578
finish_positions,3728,cjcup,19,2026-05-22 22:00:57,"kim, tom",top_20,kalshi,0.7727,0.7886,1.6,0.55,,loss,T54,-1.0,no,CONFIRMED,mixed dual-side run (stake+odds null),top_20_no,win,1.0,0.2941,1.2941,no,snap,0.17,0.29,no,0.483,0.047,no,1.2941633234114145,win,0.2941633234114145,1.2941633234114145
finish_positions,3729,cjcup,19,2026-05-22 22:00:57,"kim, chan",top_20,kalshi,0.5968,0.6124,1.6,-0.72,,loss,T38,-1.0,yes,PLAUSIBLE,mixed dual-side run (stake+odds null),,,,,,no,snap,0.38,0.44,no,0.157,0.013,no,1.675603217158177,win,0.675603217158177,1.675603217158177
finish_positions,3731,cjcup,19,2026-05-22 22:00:57,"moore, taylor",top_5,kalshi,0.8779,0.8886,1.1,0.12,,loss,T14,-1.0,no,CONFIRMED,mixed dual-side run (stake+odds null),top_5_no,win,1.0,0.1391,1.1391,no,snap,0.11,0.14,no,0.738,0.002,no,1.1390818999886092,win,0.1390818999886092,1.1390818999886092
