course_name,current_round,date_end,date_start,event_id,event_name,last_updated,multi_course,tour_x,tz_offset,am,country,dg_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,tour_rank,r1_course,r2_course,r3_teetime,r3_course,r4_teetime,r4_course,Birthday,c_exp,player_age,std_dev,skill_est,ema_8_great_shots,max_skill,sma_50_max_skill,tour_y,Date,age_squared,adj_skill_est,delta_adj_skill_est,delta_sg_putt,delta_sg_ott,dsle,consecutive_weeks_played,sample,relative_consecutive_weeks,relative_dsle,course_adjustment,putt_adj,app_adj,dd_adj,acc_adj,arg_adj,course_history_raw,comp_adj_skill_est,comp_max_skill,comp_ema_sg_adj,comp_putt,comp_ott,comp_max_skill_50,comp_6m_sg,comp_sma20_sg,pred_step2,comp_sma50_sg,comp_sma6m_sg,majors_history_raw,links_adj,comp_age,comp_relative_dsle,comp_c_exp,comp_c_adj,comp_c_hist,comp_major,comp_links,pred,r1_teetime,r2_teetime
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,SWE,23950,7.0,14.0,"aberg, ludvig",52955,411,6,0.0,0.0,0.0,0.0,0.0,0.0,1999-10-31,-6.5,26,2.9895315861535776,1.7218000147049466,0.2638888888888893,1.94196489416066,1.7412,pga,2026-06-07,676,1.7218000147049466,-0.53,0.0499999999999999,-0.1099999999999999,7.0,3.0,49.0,0.96875,0.921875,0.259906440862753,0.0109890340576408,0.0616213804389218,0.1693152395108505,0.0064528169822824,0.0115279698730573,0.0,0.9363473381468512,,0.0838739440308157,-0.0146963911862013,0.1107078090599991,0.3623063356164361,0.1648541370304465,,1.6376508714645015,-0.0256886407434187,-0.0363728830081335,10.28043250792824,0.02644430542833,0.0563192225177067,-0.011984375,-0.0416,0.1364508814529453,0.0,0.0226169515174421,0.0,1.7431343294348889,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,1,ISL,30036877,0.0,0.0,"arni sveinsson, gunnlaugur",70694,33,0,0.0,0.0,0.0,0.0,0.0,0.0,1995-01-01,-6.5,31,3.0,-2.5,4.440892098500626e-16,0.0,0.0,0,2026-06-07,961,-2.5,0.0,0.0,0.0,6.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,-0.0,-0.03575,0.0,0.0,0.0,0.0,-2.40000406505535,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,USA,17606,69.0,46.0,"berger, daniel",40026,154,48,0.0,0.0,0.0,0.0,0.0,0.0,1993-04-07,-2.5,33,2.9626864050543515,0.6149863498135145,-0.2361111111111107,1.7234642606912147,1.5714,pga,2026-06-05,1089,0.6149863498135145,-0.0499999999999999,-0.1,0.15,9.0,0.0,51.0,-2.03125,2.921875,0.0058744535274431,0.0002398149782111,0.0510351791507451,-0.0360533922913297,0.002002471806073,-0.0113496201162564,0.0,0.3313654276060001,,0.0079572077241231,-0.0027067009618684,0.0067390586273649,0.326974601302359,0.0619132445605505,,0.7017016885167808,-0.0099821441184716,-0.0137621784860878,-19.46928952830364,0.0507485080581219,-0.0067968277371889,-0.037984375,-0.016,0.0030840881019076,0.0,-0.042832436962268,0.0,0.6079689646564205,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,USA,26096,43.0,28.0,"bhatia, akshay",56630,171,12,0.0,0.0,0.0,0.0,0.0,0.0,2002-01-31,-6.5,24,3.0901460628303394,0.9549712854648936,-0.9861111111111108,1.4612419125796994,1.0296,pga,2026-06-05,576,0.9549712854648936,-0.29,-0.07,-0.04,9.0,0.0,50.0,-2.03125,2.921875,-0.1083912026452855,0.0216681995732849,0.0426321408109052,-0.0265494383151678,-0.1492478575901534,0.0031057528758456,0.0,0.5280765217648449,,-0.0223614754815998,-0.0237572560845466,-0.083936968185405,0.2142792697092843,0.1065372461894036,,0.7543563296230964,-0.0140847068206975,-0.0221608741006066,-7.9675123720743075,-0.0270077774573037,0.0717645726324194,-0.037984375,-0.0416,-0.0569053813887748,0.0,-0.0175285272185634,-0.0,0.6003380460157581,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,USA,17639,169.0,206.0,"blair, zac",40058,41,169,0.0,0.0,0.0,0.0,0.0,0.0,1990-08-20,-6.5,35,2.3591745265682467,-0.2465254841022193,-1.2361111111111107,0.0421997069847846,-0.0438,kft,2026-06-07,1225,-0.2465254841022193,-0.51,0.06,-0.06,7.0,6.0,49.0,3.96875,0.921875,-0.0022524291055901,-0.0093342341737807,0.0351483132742843,-0.2004275129247177,0.1786050258691581,-0.0062440211505341,0.0,-0.0966522106526353,0.001183328733922,-0.0730780853810734,0.0160841513771185,-0.0658267366928068,,,-0.0134425354436418,-0.2743019463382545,-0.0043231214281923,-0.0052860295136395,5.790705830907841,0.0,-0.0329607073373056,-0.0107859375,-0.03575,-0.0010699038251552,0.0,0.0127395528279972,0.0,-0.3091682348354125,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,USA,13872,40.0,38.0,"bradley, keegan",33141,156,79,0.0,0.0,0.0,0.0,0.0,0.0,1986-06-07,-4.5,40,2.9538120897001665,0.9832690067564538,-0.1111111111111107,1.4832308145433144,1.2553999999999998,pga,2026-06-07,1600,0.9832690067564538,0.13,-0.25,-0.15,7.0,3.0,49.0,0.96875,0.921875,0.0117996182250222,0.0096855983322999,0.018673724354715,0.047990548792742,-0.073425864356865,0.0088756111021302,0.0,0.5101702265973759,,0.0968269131305866,-0.0071552187699745,-0.0007230351759758,0.2612217859710968,0.0982061247810505,,0.8283659812272819,-0.0087409064145401,-0.0134057998440824,15.942699321781994,-0.2165228170439684,-0.108034109048255,-0.011984375,-0.0288,0.0061947995681366,0.0,0.0350739385079203,-0.0,0.8288503443033388,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,USA,29197,88.0,55.0,"brennan, michael",61522,100,105,0.0,0.0,0.0,0.0,0.0,0.0,2002-06-01,-6.5,24,2.609671001562181,0.2549953565652834,0.7638888888888893,0.4625787639125214,0.1636,pga,2026-06-08,576,0.2549953565652834,0.46,0.0499999999999999,0.0699999999999999,2.0,1.0,50.0,-1.03125,-4.078125,0.1751874831616769,-0.007320291294225,4.470517151559991e-06,0.2312296381167754,-0.0354026790175565,-0.0133236551604684,0.0,0.0926314848728237,0.012970697119119,-0.0159603322171439,0.0014516343474798,0.1331736101472763,,,0.0564766925350322,0.3481842029237832,-0.0076098975418678,0.0094560527962496,-0.6596069955950874,0.0,0.0655942608648142,0.0477140625,-0.03575,0.0832140545017965,0.0,-0.0014511353903091,0.0,0.4419111845352705,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,USA,29433,49.0,27.0,"bridgeman, jacob",60004,222,8,0.0,0.0,0.0,0.0,0.0,0.0,1999-12-06,-6.5,26,3.1069977218558864,0.5577636928959882,0.5138888888888893,1.3061276476055252,0.9322,pga,2026-06-08,676,0.5577636928959882,0.01,0.0,0.12,0.0,3.0,59.0,0.96875,-6.078125,0.0534767183022766,0.0173325328088555,0.0171146206879156,-0.0286498920014969,0.0469358278416317,0.0007436289653706,0.0,0.329616721696892,,0.1007602269985579,-0.0030256487667574,-0.0054691122285355,0.1939708052272236,0.0878784708121994,,0.7204046221410658,-0.016486405472745,-0.0246546332055334,-11.445323117635546,0.0,0.057814197079764,0.0790156249999999,-0.0416,0.0280752771086952,0.0,-0.0251797108587982,0.0,0.7607158133909628,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,USA,19483,11.0,29.0,"burns, sam",47504,647,22,0.0,0.0,0.0,0.0,0.0,0.0,1996-07-23,-2.5,29,3.019574682579232,1.546276748626393,0.8888888888888893,1.795282189499898,1.426,pga,2026-06-08,841,1.546276748626393,0.4599999999999999,-0.0999999999999999,0.01,0.0,3.0,51.0,0.96875,-6.078125,0.1312491399212384,0.0256707818133207,0.0304311489565974,0.1020328149978886,-0.0221585129763642,-0.0047270928702042,0.0,0.826615895426364,,0.1519502429659462,-0.0228154889841861,0.0498616180971058,0.2967199831087972,0.1359536097572847,,1.4199736917316033,-0.0189917215819795,-0.0277851266950323,-2.430161302755745,-0.2154297005019057,0.0284646796373033,0.0790156249999999,-0.016,0.0689057984586501,0.0,-0.0053463548660626,-0.0,1.5465487603241908,2026-06-15 10:00,2026-06-15 10:00
Shinnecock Hills Golf Club,1,2026-06-21,2026-06-18,26,U.S. Open,2026-06-15 17:20:45 UTC,no,pga,-14400,0,ENG,14795,241.0,148.0,"canter, laurie",34362,38,0,0.0,0.0,0.0,0.0,0.0,0.0,1989-11-03,-6.5,36,2.8191671369740576,-0.3548430692410029,4.440892098500626e-16,0.6375448902173069,0.3411999999999999,liv,2026-06-07,1296,-0.3548430692410029,0.31,0.13,-0.0799999999999999,7.0,3.0,45.0,0.96875,0.921875,0.0481070448319453,-0.0037906373512455,-0.0033432366312586,0.0452044961495399,0.015979370041508,-0.0059429473765983,0.0,-0.1736049528289422,0.0176766862029137,-0.0161529072223619,0.0200812588960025,0.0445860927108437,,,-0.0621604491320083,-0.2444643630143649,0.0154331026475046,-0.047408991972706,1.422796931254581,0.1845050305982505,-0.0429142023156109,-0.0107859375,-0.03575,0.022850846295174,0.0,0.00313015324876,0.0,-0.2650193009704307,2026-06-15 10:00,2026-06-15 10:00
