course_name,current_round,date_end,date_start,event_id,event_name,last_updated,multi_course,tour,tz_offset,am,country,dg_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,tour_rank,r1_course,r2_course,r3_teetime,r3_course,r4_teetime,r4_course,Birthday,c_exp,player_age,std_dev,skill_est,ema_8_great_shots,max_skill,sma_50_max_skill,tour_history,Date,age_squared,adj_skill_est,delta_adj_skill_est,delta_sg_putt,delta_sg_ott,dsle,consecutive_weeks_played,sample,relative_consecutive_weeks,relative_dsle,course_history_raw,course_history_weighted_rounds,course_history_rounds,course_history_events,course_history_sg_ott_raw,course_history_sg_ott_weighted_rounds,course_history_sg_ott_rounds,course_history_sg_app_raw,course_history_sg_app_weighted_rounds,course_history_sg_app_rounds,course_history_sg_arg_raw,course_history_sg_arg_weighted_rounds,course_history_sg_arg_rounds,course_history_sg_putt_raw,course_history_sg_putt_weighted_rounds,course_history_sg_putt_rounds,course_history_sg_ott_adjustment,course_history_sg_app_adjustment,course_history_sg_arg_adjustment,course_history_sg_putt_adjustment,course_history_as_of,course_adjustment,putt_adj,app_adj,dd_adj,acc_adj,arg_adj,comp_adj_skill_est,comp_max_skill,comp_ema_sg_adj,comp_putt,comp_ott,comp_max_skill_50,comp_6m_sg,comp_sma20_sg,pred_step2,comp_sma50_sg,comp_sma6m_sg,prior_rounds,neutral_skill_est,skill_source,tour_low_data_prior,tour_low_data_prior_n,cold_start_skill,observed_low_data_mean,low_data_weight,majors_history_raw,links_adj,comp_age,comp_skill_v2_delta,skill_model_source,uses_neutral_skill,comp_relative_dsle,comp_c_exp,comp_c_adj,comp_c_hist,comp_major,comp_links,pred,r1_teetime,r2_teetime
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,1,USA,32652,342.0,0.0,"akina, kihei",67118,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-01-01,-6.5,31,2.7,-1.1083333333333334,0.0,-1.1,-1.1,kft,2026-07-10,961,-1.1083333333333334,0.0,0.0,0.0,23.0,0.0,2.0,-3.563380281690141,20.2887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-06,-0.0643687186448011,0.0,0.0,-0.0,-0.0643687186448011,-0.0,-0.5283287633643142,0.0214607818043243,-0.0810774907134661,-0.0,0.0,,,-0.3010101922506979,-0.9151852535953362,0.0008054369084121,-0.0097839836785223,16,-1.4748444305019586,tour_prior_shrunk_partial,-2.950153167083164,698,-2.950153167083164,-1.1060172463566575,0.8,0.0,0.0,-0.017251042301072,-0.5596591769066224,tour_prior_shrunk_partial,True,0.0,0.0,0.0,0.0,0.0,0.0,-1.4748444305019586,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,USA,19846,110.0,159.0,"bauchou, zach",48001,101,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-01-01,-6.5,30,2.3,0.2094700500747266,-0.5315476190476187,0.3970854062637493,0.1458,pga,2026-07-31,900,0.2094700500747266,0.05,0.28,0.11,2.0,5.0,55.0,1.436619718309859,-0.7112676056338025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-06,0.0383495848209811,-3.4985685403695605e-06,0.0012167331716877,-0.0024657825501573,0.0399063260452074,-0.0003041932772163,0.1053603114488649,-0.0077470575104616,0.0037575157447912,-0.0007634712520012,0.0021800203240325,,,0.0686850529590228,0.1556455027033903,-0.0005848652572587,0.0061771238240141,266,-0.110465163219817,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,0.0805171550950249,1.0,-2.843317953108014,0.0,-0.0214191275776139,0.0,weekly_pga_core,False,0.0080566302553038,-0.0232082615142579,0.0130672333052667,0.0,-0.0,0.0,0.1535611047497029,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,USA,17606,105.0,56.0,"berger, daniel",40026,217,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1993-04-07,3.5,33,3.062893109599797,0.391908612453559,-0.5315476190476187,1.7678813535059816,1.6376000000000002,pga,2026-07-17,1089,0.391908612453559,0.01,-0.38,0.13,16.0,0.0,53.0,-3.563380281690141,13.288732394366198,0.092836682196906,2.420703354284138,4.0,1.0,-0.250371790186398,2.420703354284138,4.0,-2.9051576937008994,2.420703354284138,4.0,1.3051479598702906,2.420703354284138,4.0,2.873606262724404,2.420703354284138,4.0,-0.0062592947546599,-0.0,0.0,0.0,2026-08-06,0.074355130701644,-0.0003140816990009,0.0030318245304067,0.0568921467568565,0.0112055480928628,0.0035396930205188,0.1989831821226309,-0.0344910145304777,-0.0735054357788202,0.0185436378712356,0.0181392753571107,,,0.1442112466510161,0.2327553108613095,-0.000363144145527,0.0073562703189569,609,-0.0771240463468231,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,-0.1312972890083175,1.0,-33.99741873912008,0.0493950527383551,-0.0461187070048159,0.0,weekly_pga_core,False,-0.1505233791263198,0.012496756199985,0.0253357590403538,0.000928366821969,-0.0,0.0,0.1209928137972975,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,RSA,18103,71.0,98.0,"bezuidenhout, christiaan",45522,193,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-05-18,13.5,32,2.3,0.5450021405631317,0.0934523809523812,1.2534735352630575,1.075,pga,2026-08-02,1024,0.5450021405631317,0.33,0.3,0.13,0.0,6.0,63.0,2.436619718309859,-2.7112676056338025,-7.1523945335364285,9.863588782416556,20.0,1.0,-4.26006349369608,9.863588782416556,20.0,-1.5891555965284248,9.863588782416556,20.0,3.562617683682843,9.863588782416556,20.0,-3.760204575084407,9.863588782416556,20.0,-0.1,-0.0,0.0,-0.0,2026-08-06,0.251763511546919,0.0008879552724812,0.0021426138308934,0.2182970825544555,0.0333335012582204,-0.0028976413691317,0.2551036724915583,,0.0372603376861761,-0.0100020063071959,-0.0743914550788079,0.1509460424718343,0.14711230197785,,0.4370493983636258,-0.0417517404398028,-0.0170419957060254,764,0.1720101577503265,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,0.5368156852470862,1.0,-0.714505555506602,0.039352071567879,-0.0101857587319608,0.0,weekly_pga_core,False,0.0247547013827484,0.1120015935146334,0.1548921903793603,-0.0357619726676821,-0.0,0.0,0.6929359109726859,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,USA,17639,86.0,143.0,"blair, zac",40058,274,117.0,0.0,0.0,0.0,0.0,0.0,0.0,1990-08-20,8.5,35,2.477023047090928,0.4839868683397128,-0.4065476190476187,0.4905410904091863,0.1406,pga,2026-08-02,1225,0.4839868683397128,-0.0499999999999999,0.35,-0.01,0.0,3.0,65.0,-0.563380281690141,-2.7112676056338025,-4.931992425119723,5.390411770989625,10.0,1.0,3.053902679624985,5.390411770989625,10.0,-4.091819503709338,5.390411770989625,10.0,-3.97068870804094,5.390411770989625,10.0,1.9948073138631253,5.390411770989625,10.0,0.0763475669906246,-0.0,-0.0,0.0,2026-08-06,0.486491949091648,0.0005936892742395,0.0024617842856426,0.2996195840132072,0.1851195398719687,-0.0013026483534102,0.234762521938062,-0.0095703593702971,0.1068408805676053,-0.0358116596407232,-0.0554639118551436,,,0.1053535672877442,0.2777062612404941,-0.0008692670931987,0.0069816390393789,627,0.0909412964359319,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,1.1303043759731208,1.0,9.974331340281685,0.0,-0.0745171496329337,0.0,weekly_pga_core,False,0.0307109173098214,0.0303492650571065,0.1657672131156048,-0.0493199242511972,0.0,0.0,0.4552137324718297,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,USA,24956,201.0,119.0,"blanchet, chandler",54788,144,106.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-02-01,-6.5,31,3.1863441038430205,-0.3063285592136444,0.4684523809523813,0.4397645096997001,0.1546,pga,2026-08-02,961,-0.3063285592136444,1.31,0.4,0.45,0.0,6.0,57.0,2.436619718309859,-2.7112676056338025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-06,0.327513643112029,-0.001473641780843,0.0001521445651732,0.1057713116427984,0.2110362166418563,0.0120276120430441,-0.1967276679166558,-0.0085797183526826,0.1168398957226093,0.0111940685941042,0.008737435639994,,,-0.1102791886154829,-0.2146481963429676,0.0007547495581344,-0.006451931360715,365,-0.4391299259578418,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,-0.7196059713486069,1.0,2.726817598802498,0.0,-0.0301358396122732,0.0,weekly_pga_core,False,0.0307109173098214,-0.0232082615142579,0.1115969626576332,0.0,0.0,0.0,-0.0955485778897708,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,USA,13872,34.0,45.0,"bradley, keegan",33141,412,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1986-06-07,3.5,40,2.82750645759174,0.9921684267103444,0.4684523809523813,1.5256855683534836,1.283,pga,2026-08-02,1600,0.9921684267103444,-0.2099999999999999,-0.16,0.0299999999999999,0.0,2.0,63.0,-1.563380281690141,-2.7112676056338025,-1.977944478406525,3.9631010467583314,6.0,1.0,-0.1278821473655855,3.9631010467583314,6.0,-3.044597628022932,3.9631010467583314,6.0,1.4341955798447468,3.9631010467583314,6.0,-0.2304401403460608,3.9631010467583314,6.0,-0.0031970536841396,-0.0,0.0,-0.0,2026-08-06,-0.1679939540782221,0.0001654417871283,0.0026383679062685,-0.0856886510570234,-0.0791671090835325,-0.0059420036310629,0.4870413941494096,,0.0847092245814356,0.0069049067332109,0.05758465230123,0.1801523465035939,0.2263831576776308,,0.8286974972988495,-0.0719173580912148,-0.0292588194297468,797,0.6170495544568131,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,1.0555411651754063,1.0,4.195714389389343,-0.1488591055145866,-0.1129020071266997,0.0,weekly_pga_core,False,0.0247547013827484,0.0290374501704605,-0.1033547369822739,-0.0098897223920326,0.0,-0.0,0.7692451894777519,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,USA,29197,67.0,58.0,"brennan, michael",61522,291,105.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-06-01,-6.5,24,2.582734026068334,0.6355459083184518,1.9684523809523813,0.6355459083184518,0.3733999999999999,pga,2026-08-02,576,0.6355459083184518,0.39,0.65,-0.52,0.0,6.0,67.0,2.436619718309859,-2.7112676056338025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-06,-0.4710423092311854,-0.0007293961072422,0.001920992919555,-0.3116799445399724,-0.1673051423512063,0.0067511808476806,0.2994057363004481,,0.0853407900211557,-0.0037585057356694,0.0691656363178824,0.050100044608326,0.0764393957509644,,0.57244280379998,-0.04150508084274,-0.0146750478089703,95,0.326109573137248,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,0.936683168208708,1.0,-1.2518843228147607,-0.0153940855164621,0.0519298351885829,0.0,weekly_pga_core,False,0.0247547013827484,-0.0539266931737124,-0.2897988457099082,0.0,-0.0,-0.0,0.2534719662991079,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,USA,32152,73.0,94.0,"brown, blades",66417,464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-05-21,-6.5,19,2.562334693896543,0.5002153772044429,0.0,0.5002153772044429,0.3362,kft,2026-08-02,361,0.5002153772044429,0.14,0.0,0.0,0.0,7.0,69.0,3.436619718309859,-2.7112676056338025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-06,0.0907183854342885,0.0009181295519744,0.002714391472577,-0.016777535580133,0.1018568575754189,0.002006542414451,0.2354705836500091,-0.0095648451635883,0.1461134971074586,-0.0118494194892835,0.0242652829331789,,,0.1020698197359184,0.4804897749014591,-0.0011718724697977,0.0124077708986357,151,0.3965584808701241,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,1.1046000878799132,1.0,0.0,0.0,-0.017251042301072,0.0,weekly_pga_core,False,0.0247547013827484,-0.0539266931737124,0.0558125732408897,0.0,0.0,0.0,0.5071303563513849,2026-08-03 10:00,2026-08-03 10:00
Sedgefield Country Club,1,2026-08-09,2026-08-06,13,Wyndham Championship,2026-08-03 19:01:12 UTC,no,pga,-14400,0,USA,18628,354.0,149.0,"campbell, brian",46443,199,161.0,0.0,0.0,0.0,0.0,0.0,0.0,1993-05-23,-2.5,33,3.043004720224694,-0.881791335393136,0.2184523809523813,0.5143258615925563,0.2095999999999999,pga,2026-08-02,1089,-0.881791335393136,-0.02,-0.4399999999999999,0.17,0.0,3.0,58.0,-0.563380281690141,-2.7112676056338025,-0.6320794711525979,1.5423976924741938,2.0,1.0,0.4317492024083358,1.5423976924741938,2.0,1.1559762484442722,1.5423976924741938,2.0,-0.851002665788782,1.5423976924741938,2.0,-0.5675515083892687,1.5423976924741938,2.0,0.0107937300602083,0.0,-0.0,-0.0,2026-08-06,0.6396016663680689,-0.000240507494689,-0.0013424113666255,0.4074189456441752,0.2317853892381161,0.001980250347092,-0.4275378533483114,-0.0100343955381445,-0.135460580320314,0.0241844606113351,-0.0357426159131723,,,-0.2594160565942378,-0.9076035685790922,0.0015325491884381,-0.0180245360119309,561,-1.0718005286327967,pga_ridge_v2,-2.950153167083164,698,-2.950153167083164,-0.925421166963776,1.0,1.2339334853342256,-0.04527021264423,-0.0471045406527544,0.0,weekly_pga_core,False,0.0307109173098214,-0.0089262544285607,0.2179378013056452,-0.0063207947115259,0.0,-0.0,-0.6742018991037123,2026-08-03 10:00,2026-08-03 10:00
