player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"bauchou, zach",0.25,0.0,,0.0,0.35,0.05,0.0,-0.01,,-0.0,0.07,,0.01,0.06,0.11,0.0,0.02,-0.0,0.0,0.0,-0.02,0.04,-0.01,-0.02,0.0,0.3,2.3,57.0
"bezuidenhout, christiaan",0.64,0.0,,0.0,0.67,0.01,0.0,,0.15,-0.03,,0.15,-0.01,0.34,-0.04,0.0,-0.06,-0.0,0.0,0.0,-0.01,0.03,0.12,-0.0,0.0,0.65,2.3,63.0
"blair, zac",0.29,0.0,,0.0,0.39,0.05,0.0,-0.01,,-0.0,0.03,,0.01,0.14,0.16,-0.0,-0.06,0.0,0.0,0.0,-0.07,-0.04,0.08,0.01,0.05,0.34,2.48,61.0
"blanchet, chandler",-0.68,0.0,,0.0,-0.48,0.1,0.0,-0.01,,0.0,-0.06,,-0.01,-0.25,-0.37,0.02,-0.01,0.0,0.0,0.0,-0.03,0.01,0.04,-0.02,0.0,-0.58,3.1,54.0
"brehm, ryan",-2.18,0.0,,0.0,-2.33,-0.08,0.0,-0.0,,0.0,-0.52,,-0.04,-0.99,-0.51,0.06,-0.03,-0.0,0.0,0.0,-0.13,0.01,-0.05,0.03,-0.02,-2.25,2.63,34.0
"brennan, michael",0.34,0.0,,0.0,0.43,0.04,0.0,-0.01,,-0.0,0.09,,0.01,0.17,0.06,0.02,0.08,0.0,-0.0,0.0,0.02,0.04,-0.11,-0.02,0.0,0.38,2.3,64.0
"campbell, brian",-0.97,0.0,,0.0,-0.82,0.08,0.0,-0.01,,0.0,-0.23,,-0.02,-0.41,-0.26,0.01,-0.07,0.0,-0.0,0.0,-0.05,-0.07,0.14,-0.02,0.0,-0.89,3.11,55.0
"campbell, thomas",-2.0,0.0,-2.0,0.0,-3.31,-1.31,0.0,,,,,,,,,,,0.0,0.0,-3.29,,0.0,0.0,0.0,0.0,-3.31,2.3,0.0
"campos, rafael",-1.43,0.0,,0.0,-1.34,0.04,0.0,0.01,,0.0,-0.42,,-0.03,-0.7,-0.13,0.03,-0.06,0.0,0.0,0.0,-0.1,0.01,0.02,-0.0,-0.07,-1.39,2.51,37.0
"castillo, ricky",0.14,0.0,,0.0,0.31,0.09,0.0,-0.01,,-0.0,0.06,,0.01,0.12,0.04,-0.0,-0.01,-0.0,0.0,0.0,0.01,-0.04,-0.01,-0.02,-0.01,0.23,2.31,55.0
"champ, cameron",-0.8,0.0,,0.0,-1.02,-0.11,0.0,-0.02,,0.0,-0.21,,-0.02,-0.42,-0.23,-0.0,0.02,0.0,0.0,0.0,-0.03,0.04,-0.06,0.04,0.1,-0.91,2.77,31.0
"chatfield, davis",-0.22,0.0,,0.0,-0.14,0.04,0.0,-0.0,,0.0,-0.15,,-0.01,-0.15,0.05,-0.01,-0.07,0.0,0.0,0.0,0.0,0.04,0.11,-0.02,0.0,-0.18,2.3,43.0
"clanton, luke",-0.62,0.0,,0.0,-0.55,0.04,0.0,-0.03,,0.0,-0.14,,-0.02,-0.24,-0.15,0.01,-0.03,0.0,0.0,0.0,-0.02,0.01,0.03,-0.0,-0.05,-0.58,2.79,42.0
"conners, corey",0.79,0.0,,0.0,0.88,0.02,0.0,,0.22,-0.05,,0.16,-0.01,0.38,0.1,0.01,-0.02,0.0,0.0,0.0,-0.04,0.03,0.03,-0.02,0.0,0.82,2.52,65.0
"coody, pierceson",0.69,0.0,,0.0,0.58,-0.03,0.0,,0.19,-0.02,,0.13,-0.02,0.28,0.04,-0.01,0.02,0.0,-0.0,0.0,0.04,0.04,-0.05,0.01,0.03,0.66,2.71,68.0
"cowan, ryder",-2.0,0.0,-2.0,0.0,-0.65,1.35,0.0,,,,,,,,,,,0.0,0.0,-2.08,,0.0,0.0,0.0,0.0,-0.65,2.46,0.0
"crowe, trace",-0.33,0.0,,0.0,-0.43,-0.05,0.0,-0.0,,0.0,-0.11,,-0.01,-0.2,-0.05,0.01,0.01,0.0,0.0,0.0,-0.02,0.04,-0.03,-0.01,0.04,-0.38,2.3,29.0
"dahmen, joel",-0.19,0.0,,0.0,-0.01,0.09,0.0,-0.02,,0.0,-0.09,,-0.0,-0.08,0.01,0.04,-0.0,-0.0,-0.0,0.0,-0.11,0.04,0.04,0.02,-0.03,-0.1,2.54,51.0
"davis, cameron",-1.12,0.0,,0.0,-0.79,0.16,0.0,-0.02,,0.0,-0.4,,-0.04,-0.65,-0.02,-0.0,-0.05,-0.0,0.0,0.0,-0.03,-0.04,0.03,0.06,0.04,-0.95,3.2,32.0
"donohue, muzzy",-2.96,0.0,,0.0,-6.22,-1.63,0.0,,,,,,,,,,,0.0,0.0,-2.96,,0.0,0.0,0.0,0.0,-4.59,3.0,0.0
"dou, zecheng",-0.11,0.0,,0.0,0.02,0.07,0.0,-0.01,,-0.0,0.01,,0.0,0.02,-0.06,0.01,-0.01,0.0,0.0,0.0,-0.01,0.01,-0.03,-0.02,-0.03,-0.04,2.65,49.0
"dumont de chassart, adrien",-0.16,0.0,,0.0,-0.29,-0.07,0.0,-0.02,,-0.0,0.02,,0.0,0.04,-0.03,-0.02,-0.08,0.0,0.0,0.0,0.01,-0.04,-0.01,-0.02,-0.01,-0.22,2.3,51.0
"duncan, tyler",-0.55,0.0,,0.0,-0.55,-0.0,0.0,-0.01,,0.0,-0.18,,-0.01,-0.23,-0.19,0.04,0.01,-0.0,0.0,0.0,-0.09,0.01,0.02,0.04,0.03,-0.55,3.06,47.0
