player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"bauchou, zach",0.16,0.0,,0.0,0.25,0.04,0.0,-0.01,,0.0,0.05,,0.01,0.12,0.13,-0.02,-0.0,-0.0,0.0,0.0,-0.02,-0.07,-0.0,-0.02,0.0,0.2,2.3,43.0
"bertagnole, carson",-2.97,0.0,,0.0,-0.65,2.33,0.0,,,,,,,,,,,0.0,0.0,-2.97,,0.0,0.0,0.0,0.0,-0.65,3.2,0.0
"bezuidenhout, christiaan",0.36,0.0,,0.0,0.35,-0.0,0.0,,0.15,-0.04,,0.14,-0.02,0.28,0.04,-0.01,-0.08,-0.0,0.0,0.0,-0.01,-0.05,0.0,-0.05,0.0,0.36,2.3,55.0
"blair, zac",0.37,0.0,,0.0,0.1,-0.14,0.0,-0.01,,0.0,0.12,,0.01,0.2,-0.02,-0.03,-0.06,0.0,0.0,0.0,-0.07,0.24,0.02,-0.02,0.0,0.24,2.48,67.0
"blanchet, chandler",-0.43,0.0,,0.0,-0.46,-0.01,0.0,-0.01,,-0.0,-0.11,,-0.01,-0.13,-0.1,0.02,0.02,0.0,0.0,0.0,-0.03,-0.07,-0.0,-0.02,0.0,-0.45,3.09,51.0
"brehm, ryan",-2.67,0.0,,0.0,-2.62,0.03,0.0,-0.0,,-0.0,-0.6,,-0.04,-1.13,-0.61,0.04,-0.04,-0.0,0.0,0.0,-0.13,-0.07,-0.05,-0.02,0.0,-2.64,2.88,35.0
"bridgeman, jacob",1.07,0.0,,0.0,1.05,0.0,0.0,,0.14,-0.06,,0.22,-0.04,0.53,0.18,-0.03,0.02,-0.0,-0.0,0.0,0.04,0.08,0.02,-0.05,0.0,1.07,2.72,63.0
"brown, blades",0.44,0.0,,0.0,0.38,-0.03,0.0,-0.01,,0.0,0.11,,0.01,0.14,-0.06,0.0,0.02,0.0,0.0,0.0,-0.02,0.26,0.01,-0.02,0.0,0.41,2.53,69.0
"byrd, jonathan",-1.04,0.0,,0.0,-1.3,-0.13,0.0,-0.0,,-0.0,-0.21,,-0.02,-0.31,-0.08,-0.02,-0.09,0.0,0.0,0.0,-0.25,-0.07,0.03,-0.02,0.0,-1.17,2.31,21.0
"campos, rafael",-1.31,0.0,,0.0,-1.19,0.06,0.0,0.01,,-0.0,-0.39,,-0.02,-0.62,-0.04,0.02,-0.03,0.0,0.0,0.0,-0.1,-0.07,-0.03,-0.02,0.0,-1.25,2.5,31.0
"castillo, ricky",0.18,0.0,,0.0,0.36,0.09,0.0,-0.02,,0.0,0.1,,0.01,0.18,-0.03,-0.01,0.02,-0.0,0.0,0.0,0.02,-0.06,0.0,-0.02,0.0,0.27,2.3,51.0
"champ, cameron",-0.84,0.0,,0.0,-1.14,-0.15,0.0,-0.03,,-0.0,-0.22,,-0.03,-0.36,-0.4,0.0,0.02,0.0,0.0,0.0,-0.03,0.24,-0.03,-0.02,0.0,-0.99,2.8,40.0
"chatfield, davis",-0.09,0.0,,0.0,-0.34,-0.12,0.0,-0.0,,-0.0,-0.04,,-0.0,-0.04,0.14,-0.02,-0.06,0.0,0.0,0.0,0.0,-0.07,0.02,-0.02,0.0,-0.22,2.3,39.0
"clanton, luke",-0.46,0.0,,0.0,-0.34,0.06,0.0,-0.04,,-0.0,-0.11,,-0.01,-0.17,0.01,0.01,-0.03,0.0,0.0,0.0,-0.02,-0.07,-0.0,-0.02,0.0,-0.4,2.88,41.0
