player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"aberg, ludvig",1.44,0.0,,0.0,1.9,0.0,0.0,,0.25,-0.14,,0.38,-0.08,0.74,0.16,-0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.03,-0.05,0.0,1.44,2.67,59.0
"bhatia, akshay",0.55,0.0,,0.0,0.46,-0.02,0.0,,0.17,-0.07,,0.28,-0.04,0.44,-0.1,-0.0,-0.1,-0.0,0.0,0.0,0.05,0.0,-0.01,-0.05,0.0,0.53,2.87,53.0
"brennan, michael",0.83,0.0,,0.0,0.92,0.02,0.0,,0.07,-0.06,,0.1,-0.02,0.47,0.15,-0.03,0.1,-0.0,-0.0,0.0,0.05,0.0,0.04,-0.05,0.0,0.85,2.66,71.0
"bridgeman, jacob",0.87,0.0,,0.0,0.79,-0.02,0.0,,0.14,-0.05,,0.23,-0.04,0.48,0.11,-0.02,0.04,-0.0,-0.0,0.0,0.04,0.0,-0.01,-0.05,0.0,0.85,2.89,67.0
"burns, sam",1.5,0.0,,0.0,1.66,0.0,0.0,,0.21,-0.16,,0.35,-0.08,0.93,0.24,-0.02,0.06,0.0,-0.0,0.0,0.01,0.0,0.01,-0.05,0.0,1.5,3.03,57.0
"cantlay, patrick",1.35,0.0,,0.0,1.46,0.0,0.0,,0.3,-0.12,,0.35,-0.06,0.77,0.16,-0.01,0.05,-0.0,-0.0,0.0,-0.03,0.0,0.01,-0.05,0.0,1.35,2.73,55.0
"cauley, bud",0.56,0.0,,0.0,0.86,0.08,0.0,,0.1,-0.08,,0.16,-0.03,0.36,0.11,0.0,0.07,-0.0,-0.0,0.0,-0.06,0.0,-0.0,-0.05,0.0,0.64,2.71,65.0
"clark, wyndham",0.91,0.0,,0.0,1.23,0.08,0.0,,0.18,-0.13,,0.25,-0.07,0.6,0.12,-0.03,0.04,-0.0,0.0,0.0,-0.02,0.0,0.02,-0.05,0.0,0.99,3.03,55.0
"cole, eric",0.13,0.0,,0.0,0.48,0.18,0.0,-0.03,,0.0,0.13,,0.01,0.22,-0.01,-0.01,-0.03,0.0,-0.0,0.0,-0.1,0.0,-0.0,-0.05,0.0,0.31,3.19,65.0
"echavarria, nicolas",0.47,0.0,,0.0,0.36,-0.05,0.0,-0.01,,0.0,0.1,,0.01,0.21,0.23,-0.02,0.01,-0.0,0.0,0.0,-0.03,0.0,-0.01,-0.02,0.0,0.42,2.97,67.0
"fitzpatrick, alex",0.4,0.0,,0.0,0.85,0.22,0.0,-0.02,,0.0,0.2,,0.02,0.22,-0.06,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.01,-0.05,0.0,0.62,2.74,59.0
"fitzpatrick, matt",1.42,0.0,,0.0,1.74,0.0,0.0,,0.24,-0.16,,0.41,-0.08,0.9,0.17,-0.02,0.04,0.0,0.0,0.0,-0.01,0.0,-0.01,-0.05,0.0,1.42,2.3,59.0
"fleetwood, tommy",1.66,0.0,,0.0,1.8,0.0,0.0,,0.28,-0.14,,0.43,-0.07,1.0,0.2,-0.01,0.09,0.0,0.0,0.0,-0.05,0.0,-0.01,-0.05,0.0,1.66,2.51,63.0
"fowler, rickie",1.02,0.0,,0.0,0.85,0.0,0.0,,0.27,-0.06,,0.25,-0.04,0.56,0.11,-0.02,0.08,0.0,0.0,0.0,-0.08,0.0,-0.01,-0.05,0.0,1.02,2.96,59.0
"fox, ryan",0.52,0.0,,0.0,0.64,0.03,0.0,,0.1,-0.04,,0.16,-0.03,0.37,0.09,-0.02,0.02,0.0,0.0,0.0,-0.1,0.0,0.02,-0.05,0.0,0.55,2.59,57.0
"gerard, ryan",1.04,0.0,,0.0,1.21,0.0,0.0,,0.14,-0.08,,0.23,-0.04,0.56,0.13,-0.02,0.13,0.0,-0.0,0.0,0.04,0.0,0.01,-0.05,0.0,1.04,2.64,69.0
