player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"adler, patrick",-3.85,0.0,,0.0,-3.85,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,-0.04,0.0,-3.85,0.0,3.0,0.0
"bauchou, zach",0.21,0.0,,0.0,0.24,0.02,0.0,0.01,,-0.02,0.02,,0.03,0.15,0.08,0.0,0.03,-0.0,0.0,0.02,-0.07,0.0,-0.04,0.0,0.23,0.0,3.0,51.0
"berger, daniel",0.6,0.0,,0.0,0.61,0.0,0.0,0.04,,-0.01,0.09,,0.03,0.19,0.08,0.0,0.0,-0.0,0.0,-0.0,0.13,0.01,0.05,-0.02,0.6,0.0,2.91,57.0
"bezuidenhout, christiaan",0.63,0.0,,0.0,0.53,-0.03,0.0,,0.2,-0.02,,0.07,-0.01,0.35,0.02,-0.0,-0.06,0.0,0.0,0.01,-0.05,0.1,0.01,0.01,0.61,0.0,2.3,51.0
"blair, zac",0.19,0.0,,0.0,0.16,-0.02,0.0,0.0,,-0.01,-0.02,,0.01,-0.01,0.02,0.01,-0.08,0.0,0.0,-0.04,0.12,0.07,0.04,0.07,0.17,0.0,2.39,57.0
"blanchet, chandler",-0.25,0.0,,0.0,-0.07,0.09,0.0,0.01,,0.01,-0.02,,-0.02,-0.04,-0.11,0.01,0.02,0.0,0.0,0.01,-0.04,-0.03,-0.04,0.0,-0.16,0.0,3.02,50.0
"bradley, keegan",1.04,0.0,,0.0,1.11,0.0,0.0,,0.25,-0.03,,0.11,-0.01,0.57,0.14,0.0,0.0,0.0,-0.0,-0.11,0.13,0.03,-0.04,0.0,1.04,0.0,2.88,57.0
"brehm, ryan",-1.41,0.0,,0.0,-1.89,-0.24,0.0,0.0,,0.05,-0.3,,-0.1,-0.8,-0.23,0.02,0.08,-0.0,0.0,-0.09,0.1,-0.1,0.02,-0.05,-1.65,0.0,2.76,33.0
"brennan, michael",0.31,0.0,,0.0,0.56,0.13,0.0,0.01,,-0.01,0.05,,0.01,0.11,0.06,0.0,0.13,0.0,0.0,0.07,0.04,-0.13,-0.04,0.0,0.43,0.0,2.52,54.0
"bridgeman, jacob",1.01,0.0,,0.0,0.96,0.0,0.0,,0.19,-0.04,,0.1,-0.02,0.42,0.09,0.0,0.05,-0.0,0.0,0.06,0.13,0.0,-0.0,0.02,1.01,0.0,2.98,67.0
"brown, blades",0.24,0.0,,0.0,0.32,0.04,0.0,0.01,,-0.02,0.06,,0.03,0.14,-0.06,-0.01,-0.01,0.0,0.0,0.03,0.12,-0.01,-0.04,0.0,0.28,0.0,2.73,59.0
"byrd, jonathan",-1.32,0.0,,0.0,-1.31,0.0,0.0,0.0,,0.02,-0.12,,-0.08,-0.4,-0.15,-0.02,-0.23,0.0,0.0,-0.24,-0.22,0.12,0.05,-0.04,-1.31,0.0,2.7,17.0
"campbell, brian",-0.47,0.0,,0.0,-0.63,-0.08,0.0,0.01,,0.03,-0.15,,-0.06,-0.43,-0.09,-0.0,-0.11,0.0,-0.0,-0.01,0.12,0.09,0.01,0.13,-0.55,0.0,3.2,53.0
"campos, rafael",-1.75,0.0,,0.0,-1.71,0.02,0.0,-0.01,,0.05,-0.25,,-0.1,-0.73,-0.41,0.02,-0.1,0.0,0.0,-0.07,-0.07,-0.02,-0.0,-0.06,-1.73,0.0,2.36,29.0
"champ, cameron",-0.82,0.0,,0.0,-1.04,-0.11,0.0,0.03,,0.02,-0.09,,-0.08,-0.29,-0.42,0.01,-0.11,0.0,0.0,0.02,0.1,-0.08,0.06,0.03,-0.93,0.0,2.88,26.0
"chatfield, davis",-0.77,0.0,,0.0,-0.77,0.0,0.0,0.0,,0.02,-0.11,,-0.06,-0.35,-0.19,0.0,-0.06,0.0,0.0,0.05,-0.07,0.02,-0.04,0.0,-0.77,0.0,2.3,33.0
"clanton, luke",-0.53,0.0,,0.0,-0.38,0.08,0.0,0.02,,0.02,-0.13,,-0.05,-0.21,-0.04,-0.0,-0.09,0.0,0.0,0.03,-0.04,-0.01,-0.0,-0.02,-0.45,0.0,2.89,38.0
"cole, eric",0.97,0.0,,0.0,0.76,-0.05,0.0,,0.19,-0.04,,0.05,-0.01,0.54,0.06,-0.03,-0.02,0.0,-0.0,-0.08,0.13,0.1,0.05,0.01,0.92,0.0,2.97,55.0
"coody, pierceson",0.47,0.0,,0.0,0.7,0.11,0.0,,0.12,-0.02,,0.06,-0.01,0.28,0.09,-0.03,0.07,0.0,0.0,0.06,0.04,-0.11,-0.0,-0.06,0.58,0.0,2.75,62.0
"crowe, trace",-0.57,0.0,,0.0,-0.63,-0.03,0.0,-0.0,,0.01,-0.06,,-0.04,-0.22,-0.2,0.01,-0.05,0.0,0.0,0.03,-0.07,0.02,-0.0,0.01,-0.6,0.0,2.7,19.0
"dahmen, joel",-0.6,0.0,,0.0,-0.33,0.13,0.0,0.03,,0.01,-0.07,,-0.02,-0.24,-0.12,0.02,-0.03,-0.0,-0.0,-0.07,-0.07,-0.02,0.06,-0.09,-0.46,0.0,2.72,39.0
"dou, zecheng",-0.25,0.0,,0.0,-0.14,0.05,0.0,0.01,,-0.01,-0.01,,-0.0,-0.03,-0.07,0.01,-0.03,0.0,0.0,0.03,-0.07,0.02,-0.0,-0.09,-0.19,0.0,2.69,45.0
"dumont de chassart, adrien",0.11,0.0,,0.0,0.01,-0.05,0.0,0.01,,-0.01,0.03,,0.01,-0.0,0.01,-0.01,-0.06,0.0,0.0,0.05,0.04,0.03,-0.01,0.03,0.06,0.0,2.32,47.0
"duncan, tyler",-0.52,0.0,,0.0,-0.58,-0.03,0.0,0.01,,0.02,-0.15,,-0.05,-0.38,-0.07,0.02,0.02,-0.0,0.0,-0.05,0.12,-0.05,0.06,-0.02,-0.55,0.0,3.03,43.0
"dunlap, nick",-0.76,0.0,,0.0,-0.82,-0.03,0.0,0.02,,0.03,-0.19,,-0.07,-0.42,-0.16,0.01,-0.14,-0.0,0.0,0.07,-0.07,0.08,-0.0,0.09,-0.79,0.0,2.9,29.0
"eckroat, austin",-0.04,0.0,,0.0,-0.2,-0.08,0.0,0.02,,-0.0,0.04,,0.0,0.05,-0.2,-0.0,-0.03,-0.0,-0.0,0.05,-0.04,0.02,-0.01,0.07,-0.12,0.0,2.86,46.0
"ewart, a.j.",0.35,0.0,,0.0,-0.17,-0.26,0.0,0.01,,-0.02,0.04,,0.03,0.16,0.18,-0.02,-0.05,0.0,0.0,0.05,-0.04,0.04,-0.04,0.0,0.09,0.0,2.45,49.0
"feagles, michael",-1.23,0.0,,0.0,-1.57,-0.17,0.0,-0.02,,0.04,-0.24,,-0.07,-0.66,-0.26,0.04,-0.21,0.0,0.0,0.04,0.1,0.04,-0.02,0.0,-1.4,0.0,2.3,41.0
"finau, tony",0.39,0.0,,0.0,0.49,0.05,0.0,0.05,,-0.01,0.04,,0.02,0.14,0.03,0.0,0.06,0.0,0.0,-0.05,0.12,0.03,-0.04,0.0,0.44,0.0,2.84,62.0
"fishburn, patrick",-0.04,0.0,,0.0,-0.27,-0.11,0.0,0.02,,0.02,-0.04,,-0.04,-0.08,0.09,-0.0,0.02,-0.0,0.0,-0.01,-0.04,-0.01,-0.0,0.05,-0.15,0.0,2.51,36.0
"fisher, darin",-4.57,0.0,,0.0,-4.57,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,-0.02,-0.01,0.0,-4.57,0.0,2.3,0.0
"fisk, steven",0.04,0.0,,0.0,0.16,0.06,0.0,0.01,,-0.01,0.02,,0.01,0.1,0.02,-0.02,0.04,-0.0,0.0,0.03,-0.07,-0.05,-0.02,-0.04,0.1,0.0,2.3,50.0
"fowler, rickie",0.89,0.0,,0.0,0.74,-0.04,0.0,,0.38,-0.03,,0.13,-0.02,0.29,-0.01,0.01,0.03,0.0,-0.0,-0.07,0.12,0.01,-0.01,0.05,0.85,0.0,2.98,55.0
"frittelli, dylan",-0.49,0.0,,0.0,-0.59,-0.05,0.0,0.02,,0.01,-0.16,,-0.03,-0.43,-0.03,0.04,-0.21,0.0,0.0,-0.04,0.12,-0.0,0.06,0.16,-0.54,0.0,2.51,45.0
"garnett, brice",-0.42,0.0,,0.0,-0.23,0.1,0.0,0.01,,0.02,-0.14,,-0.03,-0.24,0.16,0.0,-0.01,0.0,0.0,-0.14,-0.04,0.03,0.06,-0.09,-0.32,0.0,2.93,40.0
"ghim, doug",0.64,0.0,,0.0,0.76,0.03,0.0,0.02,,-0.02,0.06,,0.02,0.2,0.17,0.01,0.11,-0.0,0.0,0.03,-0.04,-0.02,0.07,0.04,0.67,0.0,2.3,44.0
"glover, lucas",0.18,0.0,,0.0,-0.0,-0.09,0.0,0.03,,0.02,0.01,,-0.04,-0.1,-0.16,0.02,0.03,0.0,-0.0,-0.2,0.12,0.04,0.11,0.31,0.09,0.0,2.55,46.0
"gomez, fabian",-0.7,0.0,,0.0,-0.48,0.11,0.0,0.0,,0.02,-0.16,,-0.04,-0.34,0.04,0.0,-0.04,0.0,0.0,-0.23,-0.04,-0.0,0.02,0.07,-0.59,0.0,2.3,33.0
"goodwin, noah",-0.52,0.0,,0.0,-0.64,-0.06,0.0,-0.0,,0.02,-0.1,,-0.06,-0.29,-0.18,0.03,0.0,0.0,0.0,0.06,0.1,-0.01,-0.02,-0.07,-0.58,0.0,2.41,37.0
"gotterup, chris",1.21,0.0,,0.0,1.3,0.0,0.0,,0.22,-0.05,,0.12,-0.02,0.63,0.12,-0.02,0.07,0.0,0.0,0.06,0.13,-0.08,0.02,0.01,1.21,0.0,2.72,63.0
"greyserman, max",0.42,0.0,,0.0,0.48,0.03,0.0,0.03,,-0.0,0.06,,0.0,0.15,0.06,0.01,0.07,0.0,0.0,0.02,0.04,-0.04,-0.01,0.05,0.45,0.0,2.97,51.0
"griffin, ben",1.49,0.0,,0.0,1.48,0.0,0.0,,0.29,-0.04,,0.14,-0.02,0.71,0.17,-0.02,0.04,0.0,-0.0,0.03,0.13,0.01,-0.0,0.04,1.49,0.0,2.37,65.0
"griffin, lanto",-0.22,0.0,,0.0,-0.35,-0.07,0.0,0.02,,0.0,-0.03,,-0.01,-0.12,-0.0,-0.0,-0.02,-0.0,0.0,-0.06,-0.04,0.06,0.04,-0.03,-0.28,0.0,2.47,32.0
"grillo, emiliano",0.45,0.0,,0.0,0.34,-0.06,0.0,0.03,,0.01,-0.03,,-0.02,0.03,0.17,0.0,0.05,-0.0,0.0,-0.01,0.04,0.0,0.02,0.16,0.39,0.0,3.14,52.0
"gutschewski, luke",-1.32,0.0,,0.0,-1.45,-0.07,0.0,-0.01,,0.05,-0.24,,-0.11,-0.67,-0.28,0.04,-0.21,0.0,0.0,0.03,0.12,0.0,-0.04,0.0,-1.38,0.0,2.3,31.0
"hadwin, adam",-0.52,0.0,,0.0,-0.35,0.09,0.0,0.03,,0.01,-0.09,,-0.03,-0.17,-0.08,0.0,0.01,-0.0,-0.0,-0.07,0.1,-0.06,-0.0,-0.15,-0.44,0.0,2.53,45.0
"hardy, nick",-0.73,0.0,,0.0,-0.97,-0.12,0.0,0.01,,0.03,-0.15,,-0.07,-0.41,-0.23,0.02,-0.02,0.0,0.0,0.02,0.01,-0.01,0.07,-0.02,-0.85,0.0,2.3,35.0
"higgo, garrick",0.01,0.0,,0.0,-0.13,-0.07,0.0,0.02,,0.01,-0.04,,-0.05,-0.03,0.04,-0.01,0.02,-0.0,-0.0,0.05,-0.07,-0.05,0.02,0.09,-0.06,0.0,2.7,45.0
"higgs, harry",-0.64,0.0,,0.0,-0.7,-0.03,0.0,0.02,,0.03,-0.17,,-0.05,-0.37,0.02,0.01,-0.0,0.0,0.0,-0.02,0.04,-0.08,0.03,-0.11,-0.67,0.0,2.3,42.0
"highsmith, joe",-1.15,0.0,,0.0,-1.03,0.06,0.0,0.01,,0.03,-0.17,,-0.07,-0.57,-0.27,0.01,-0.08,0.0,0.0,0.06,-0.04,-0.02,-0.01,-0.03,-1.09,0.0,2.82,52.0
"hirata, kensei",-0.68,0.0,,0.0,-0.56,0.06,0.0,-0.0,,0.04,-0.14,,-0.04,-0.31,-0.18,0.01,-0.03,0.0,0.0,0.06,-0.04,-0.01,-0.04,0.0,-0.62,0.0,2.54,42.0
"hisatsune, ryo",0.34,0.0,,0.0,0.83,0.25,0.0,0.01,,-0.02,0.04,,0.04,0.04,0.04,0.01,0.06,0.0,-0.0,0.07,0.12,-0.02,0.01,-0.07,0.58,0.0,2.91,75.0
"hodges, lee",-0.14,0.0,,0.0,0.0,0.07,0.0,0.02,,-0.0,0.01,,-0.01,-0.03,-0.08,0.01,0.0,-0.0,0.0,0.02,-0.07,-0.01,0.03,-0.03,-0.07,0.0,2.64,40.0
"hoey, rico",0.33,0.0,,0.0,0.48,0.08,0.0,0.02,,-0.0,0.04,,-0.0,0.14,0.05,0.0,0.08,-0.0,0.0,0.02,-0.07,-0.08,0.01,0.13,0.4,0.0,2.6,56.0
"hoge, tom",-0.2,0.0,,0.0,-0.26,-0.03,0.0,0.03,,0.01,-0.06,,-0.02,-0.19,0.0,-0.0,-0.03,0.0,-0.0,-0.05,0.12,0.06,-0.01,-0.05,-0.23,0.0,2.87,65.0
"homa, max",0.33,0.0,,0.0,0.34,0.01,0.0,0.04,,-0.01,0.04,,0.02,0.1,0.13,-0.02,0.03,-0.0,0.0,-0.03,-0.04,-0.02,-0.0,0.09,0.33,0.0,2.62,53.0
"hossler, beau",0.24,0.0,,0.0,0.12,-0.06,0.0,0.02,,-0.0,0.02,,0.01,0.08,0.04,-0.02,-0.0,0.0,0.0,0.01,-0.04,-0.01,0.06,0.07,0.18,0.0,2.43,38.0
"howell, mason",-1.54,0.0,,0.0,-1.54,0.0,0.0,-0.07,,,-0.52,,-0.09,-1.35,0.3,-0.08,-0.01,0.0,0.0,-0.01,0.0,0.0,-0.04,0.0,-1.54,0.0,2.65,0.0
"hubbard, mark",0.08,0.0,,0.0,-0.18,-0.13,0.0,0.02,,0.01,-0.02,,-0.04,-0.09,-0.18,0.02,-0.02,-0.0,0.0,-0.05,0.12,0.08,0.09,0.15,-0.05,0.0,2.69,50.0
"hughes, mackenzie",-0.15,0.0,,0.0,-0.15,-0.0,0.0,0.02,,-0.0,0.0,,0.0,0.03,-0.01,-0.01,-0.08,-0.0,0.0,-0.03,-0.07,0.02,-0.0,-0.02,-0.15,0.0,2.62,44.0
"im, sungjae",0.65,0.0,,0.0,0.65,-0.0,0.0,0.04,,-0.02,0.09,,0.03,0.22,0.11,-0.02,0.05,-0.0,-0.0,0.04,0.12,0.01,0.04,-0.07,0.65,0.0,2.97,49.0
"jaeger, stephan",-0.11,0.0,,0.0,-0.23,-0.06,0.0,0.02,,-0.01,0.06,,0.02,0.12,-0.27,0.01,-0.04,-0.0,-0.0,-0.05,-0.07,0.05,0.02,0.03,-0.17,0.0,3.2,47.0
"johnson, zach",-0.39,0.0,,0.0,-0.01,0.19,0.0,0.03,,-0.0,-0.03,,-0.01,-0.08,-0.07,-0.02,-0.04,0.0,-0.0,-0.28,-0.22,0.06,0.14,0.13,-0.2,0.0,2.7,11.0
"kanaya, takumi",-0.15,0.0,,0.0,-0.2,-0.03,0.0,0.01,,0.01,-0.04,,-0.03,-0.14,0.08,-0.01,-0.04,-0.0,-0.0,0.04,-0.04,0.04,-0.02,-0.0,-0.17,0.0,2.71,50.0
"kang, jeffrey",-0.97,0.0,,0.0,-0.94,0.01,0.0,-0.01,,0.02,-0.19,,-0.08,-0.4,-0.04,0.01,-0.04,0.0,0.0,-0.02,-0.21,0.03,-0.04,0.0,-0.96,0.0,2.56,34.0
"keefer, johnny",0.37,0.0,,0.0,0.42,0.02,0.0,0.02,,-0.0,0.03,,-0.0,0.12,0.12,0.01,0.1,-0.0,0.0,0.06,0.04,-0.09,-0.04,0.0,0.39,0.0,2.67,59.0
"kim, chan",-0.1,0.0,,0.0,0.03,0.06,0.0,0.01,,0.01,-0.05,,-0.02,-0.1,-0.03,0.0,-0.05,0.0,0.0,-0.04,0.12,0.03,-0.0,0.03,-0.03,0.0,2.83,54.0
"kim, michael",0.72,0.0,,0.0,0.69,-0.01,0.0,,0.15,-0.01,,0.05,-0.01,0.28,0.08,-0.01,-0.01,-0.0,0.0,-0.01,0.13,0.06,0.07,-0.06,0.71,0.0,3.07,66.0
"kim, tom",0.74,0.0,,0.0,0.77,0.01,0.0,0.04,,-0.02,0.06,,0.03,0.18,0.3,-0.0,-0.0,0.0,0.0,0.07,0.04,0.09,-0.02,-0.0,0.75,0.0,2.35,55.0
"kizzire, patton",-1.1,0.0,,0.0,-1.49,-0.2,0.0,0.02,,0.02,-0.13,,-0.07,-0.47,-0.45,0.02,-0.15,-0.0,0.0,-0.09,-0.07,0.11,0.1,0.07,-1.3,0.0,2.88,32.0
"kohles, ben",0.4,0.0,,0.0,0.53,0.07,0.0,0.01,,-0.0,-0.0,,0.0,0.06,0.14,0.01,-0.0,0.0,0.0,-0.04,0.12,0.08,0.02,0.02,0.46,0.0,2.56,52.0
"koivun, jackson",1.03,0.0,,0.0,1.03,0.0,0.0,,0.38,-0.04,,0.18,-0.01,0.87,0.2,-0.01,0.05,0.0,0.0,0.03,0.04,-0.04,-0.02,0.0,1.03,0.0,2.7,5.0
"kuchar, matt",-0.16,0.0,,0.0,-0.19,-0.02,0.0,0.04,,-0.01,-0.02,,-0.02,0.04,0.16,-0.02,-0.08,-0.0,-0.0,-0.23,-0.13,0.08,0.02,-0.0,-0.18,0.0,2.3,31.0
"laird, martin",-0.85,0.0,,0.0,-0.94,-0.04,0.0,0.01,,0.04,-0.17,,-0.11,-0.47,-0.15,0.0,-0.03,0.0,0.0,-0.15,0.1,0.01,0.06,-0.01,-0.89,0.0,3.2,32.0
"lamprecht, christo",-1.16,0.0,,0.0,-1.21,-0.03,0.0,-0.0,,0.02,-0.16,,-0.09,-0.46,-0.29,-0.0,-0.03,0.0,0.0,0.06,-0.07,-0.1,-0.04,0.0,-1.18,0.0,3.02,34.0
"lebioda, hank",-0.57,0.0,,0.0,-0.55,0.01,0.0,0.01,,0.01,-0.06,,-0.04,-0.26,-0.2,0.01,-0.07,-0.0,0.0,0.0,-0.07,0.03,0.03,0.02,-0.56,0.0,2.51,42.0
