player_name,boost,override,peak,lt_form,int_form,med_form,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"aberg, ludvig",0.0,,0.36,0.09,,0.2,0.55,0.1,-0.03,0.13,0.0,0.0,0.06,0.02,0.11,0.02,0.02,1.63,2.431364159352649,27.0
"bauchou, zach",0.0,,,,,,,,,,,,,-0.0,0.0,-0.04,0.0,-0.42,3.0,0.0
"bezuidenhout, christiaan",0.0,,0.21,0.06,,0.1,0.33,0.09,-0.01,-0.04,-0.0,0.0,0.01,0.04,-0.26,0.01,-0.0,0.52,2.3571155773871784,32.0
"bhatia, akshay",0.0,,0.18,0.05,,0.13,0.22,-0.1,-0.0,-0.01,-0.0,-0.0,0.07,0.03,0.15,0.0,0.07,0.81,3.107317740431448,27.0
"blanchet, chandler",0.0,,0.03,0.04,0.02,0.02,0.04,-0.09,0.08,-0.05,-0.0,,0.02,0.03,0.06,-0.04,0.0,0.19,2.7986674208473423,30.0
"bradley, keegan",0.0,,0.26,0.09,,0.17,0.51,0.04,-0.01,0.05,0.0,-0.0,-0.1,-0.08,-0.04,0.14,0.05,1.07,2.6898295954635456,21.0
"brennan, michael",0.0,,,,,,,,,,,,,-0.0,-0.03,-0.04,0.0,0.54,2.4723092658216017,0.0
"brown, dan",0.0,,,,,,,,,,,,,-0.0,0.06,-0.04,0.0,-0.07,2.3,0.0
"byrd, marcus",0.0,,-0.03,-0.04,-0.21,-0.21,-0.47,-0.08,0.03,0.01,0.0,,0.05,-0.3,0.0,-0.03,0.0,-1.18,3.2,0.0
"campos, rafael",0.0,,-0.0,-0.07,-0.26,-0.26,-0.43,-0.07,-0.01,-0.01,0.0,,-0.06,0.04,0.06,-0.01,0.08,-0.82,2.6348734304913006,29.0
"cantlay, patrick",0.0,,0.43,0.08,,0.19,0.58,0.11,-0.02,0.05,-0.0,-0.0,-0.02,0.04,0.18,0.03,-0.02,1.65,2.3,21.0
"castillo, ricky",0.0,,0.02,0.01,0.02,0.02,0.07,0.12,-0.02,0.02,0.0,,0.07,0.04,0.07,-0.02,0.02,0.44,2.3,29.0
"chatfield, davis",0.0,,0.01,-0.01,-0.06,-0.06,-0.05,-0.04,0.04,0.06,0.0,,0.06,0.04,-0.25,-0.04,0.0,-0.25,2.706192809082076,25.0
"clanton, luke",0.0,,0.05,-0.02,-0.03,-0.03,-0.11,-0.21,0.02,0.02,0.0,0.0,0.04,0.0,0.11,-0.02,0.0,-0.18,2.4036968631672337,26.0
"clark, wyndham",0.0,,0.24,0.04,,0.09,0.38,0.07,-0.02,-0.05,-0.0,0.0,0.01,0.04,0.18,0.07,-0.01,1.04,2.6454524331984857,21.0
"cole, eric",0.0,,0.07,0.01,0.06,0.06,0.16,0.04,-0.01,-0.11,0.0,0.0,-0.06,0.04,0.08,0.0,-0.1,0.22,3.161592039111655,33.0
"coody, pierceson",0.0,,0.06,0.02,,0.03,0.23,0.09,0.02,0.12,0.0,,0.06,0.04,0.18,-0.02,0.03,0.86,2.6185395531296347,47.0
"dahmen, joel",0.0,,0.06,-0.02,-0.05,-0.05,-0.04,0.03,-0.0,0.06,-0.0,-0.0,-0.06,0.04,-0.18,0.04,-0.1,-0.24,3.0117193401872577,25.0
"davis, cameron",0.0,,0.06,-0.05,-0.1,-0.1,-0.34,-0.43,0.0,-0.01,-0.0,-0.0,0.02,0.03,0.12,0.06,-0.11,-0.82,2.806927308336593,22.0
"day, jason",0.0,,0.38,0.07,,0.12,0.43,0.16,-0.03,0.05,-0.0,0.0,-0.08,0.04,-0.1,0.12,-0.01,1.15,2.7,17.0
"dou, zecheng",0.0,,0.02,0.02,-0.01,-0.01,0.0,-0.12,0.02,-0.07,0.0,,0.04,0.04,0.18,-0.01,-0.0,0.14,3.038116276921733,33.0
"dumont de chassart, adrien",0.0,,0.03,0.03,0.01,0.01,0.05,0.04,0.02,0.05,0.0,,0.07,0.04,0.11,-0.02,-0.02,0.44,3.06816351960982,33.0
"eckroat, austin",0.0,,0.05,-0.0,0.03,0.03,-0.01,-0.03,-0.01,-0.0,-0.0,-0.0,0.06,0.03,0.06,0.01,0.01,0.19,2.5016633675902686,24.0
"english, harris",0.0,,0.29,0.08,,0.15,0.45,0.09,-0.02,0.07,0.0,0.0,-0.05,0.04,-0.05,0.1,-0.05,1.09,2.3,29.0
"ewart, a.j.",0.0,,,,,,,,,,,,,-0.0,0.13,-0.04,0.0,-0.74,2.3,0.0
"finau, tony",0.0,,0.11,-0.02,-0.03,-0.03,-0.22,-0.2,0.01,-0.05,0.0,0.0,-0.04,0.03,0.04,0.11,0.14,-0.23,2.7,17.0
"fishburn, patrick",0.0,,0.04,0.02,0.02,0.02,0.03,-0.15,-0.01,0.0,-0.0,,-0.0,0.03,0.13,-0.02,-0.03,0.05,2.431628054554998,32.0
"fisk, steven",0.0,,0.02,0.0,0.03,0.03,-0.04,-0.05,0.01,0.02,0.0,,0.04,0.03,0.05,-0.02,-0.03,0.07,2.512165906518103,30.0
"ford, david",0.0,,-0.0,-0.04,-0.06,-0.06,-0.06,0.18,0.0,0.09,0.0,,0.04,0.04,-0.09,-0.04,0.0,0.09,2.561772454725119,29.0
"garnett, brice",0.0,,0.03,-0.02,-0.07,-0.07,-0.08,0.06,-0.0,-0.03,0.0,0.0,-0.13,0.03,-0.22,-0.0,-0.03,-0.51,2.4484191080310227,22.0
"geddes, mark",0.0,,,,,,,,,,,,,-0.0,0.02,-0.04,0.0,-5.85,2.354057826392546,0.0
