player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"aberg, ludvig",2.02,0.0,,0.0,2.29,0.0,0.0,,0.35,-0.04,,0.16,-0.02,1.02,0.15,-0.01,0.12,0.0,0.0,0.06,0.08,0.11,0.01,0.03,2.02,0.0,2.91,45.0
"berger, daniel",0.56,0.0,,0.0,0.61,0.01,0.0,,0.32,-0.01,,0.06,-0.01,0.32,0.09,-0.01,-0.02,-0.0,0.0,-0.01,-0.1,-0.06,0.01,-0.03,0.57,0.0,2.86,49.0
"bhatia, akshay",0.9,0.0,,0.0,1.03,0.03,0.0,,0.21,-0.03,,0.11,-0.01,0.56,0.04,-0.03,-0.1,-0.0,-0.0,0.07,0.08,-0.04,0.02,0.02,0.93,0.0,3.04,52.0
"bradley, keegan",0.95,0.0,,0.0,1.07,0.03,0.0,,0.25,-0.02,,0.1,-0.01,0.52,0.03,-0.02,-0.0,0.0,-0.0,-0.11,0.08,0.05,0.15,-0.08,0.98,0.0,2.92,49.0
"bridgeman, jacob",0.52,0.0,,0.0,0.84,0.08,0.0,,0.18,-0.03,,0.09,-0.01,0.42,-0.05,0.0,-0.01,-0.0,0.0,0.06,-0.13,0.01,-0.02,0.01,0.6,0.0,3.07,51.0
"burns, sam",1.08,0.0,,0.0,1.2,0.0,0.0,,0.29,-0.03,,0.13,-0.01,0.66,0.11,-0.03,0.03,-0.0,-0.0,0.03,-0.1,-0.07,0.09,-0.0,1.08,0.0,3.01,47.0
"campbell, brian",-0.88,0.0,,0.0,-0.8,0.04,0.0,0.01,,0.03,-0.12,,-0.06,-0.36,-0.25,-0.01,-0.12,0.0,-0.0,-0.0,0.05,0.03,-0.03,-0.04,-0.84,0.0,3.2,45.0
"cantlay, patrick",1.78,0.0,,0.0,1.78,0.0,0.0,,0.42,-0.03,,0.15,-0.01,0.85,0.13,-0.0,0.05,-0.0,-0.0,-0.02,-0.1,0.08,0.18,0.09,1.78,0.0,2.59,41.0
"cauley, bud",0.65,0.0,,0.0,0.92,0.07,0.0,,0.12,-0.01,,0.04,-0.0,0.34,0.08,0.0,0.06,-0.0,-0.0,-0.05,-0.1,0.06,0.07,0.03,0.72,0.0,2.53,50.0
"clark, wyndham",0.95,0.0,,0.0,1.0,0.01,0.0,,0.24,-0.01,,0.06,-0.01,0.34,0.23,-0.02,0.03,-0.0,0.0,0.0,-0.01,0.07,0.07,-0.04,0.96,0.0,2.8,47.0
"cole, eric",0.66,0.0,,0.0,0.86,0.05,0.0,,0.2,-0.02,,0.03,-0.01,0.32,0.17,-0.03,-0.1,0.0,-0.0,-0.07,0.08,0.03,0.04,0.01,0.71,0.0,2.68,45.0
