player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"anderson, matthew",-1.33,0.0,,0.0,,0.0,0.0,-0.02,,0.04,-0.21,,-0.09,-0.7,-0.31,0.04,-0.2,0.0,0.0,0.06,0.06,-0.03,-0.01,0.04,-1.33,0.0,3.2,31.0
"bauchou, zach",0.35,0.0,,0.0,,0.0,0.0,0.01,,-0.01,0.01,,0.03,0.12,0.21,0.0,0.0,-0.0,0.0,0.02,0.01,0.0,-0.04,0.0,0.35,0.0,3.0,49.0
"benson, yohann",-2.5,0.0,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,,-0.0,0.0,-0.04,0.0,-2.5,0.0,3.0,0.0
"bezuidenhout, christiaan",0.66,0.0,,0.0,,0.0,0.0,,0.21,-0.01,,0.07,-0.02,0.36,0.06,-0.01,-0.05,0.0,0.0,0.01,0.01,0.07,-0.04,0.0,0.66,0.0,2.3,50.0
"blanchet, chandler",-0.04,0.0,,0.0,,0.0,0.0,0.01,,-0.0,-0.02,,-0.02,-0.02,-0.04,0.0,0.02,0.0,0.0,0.01,0.01,0.04,-0.04,0.0,-0.04,0.0,2.9,46.0
"brennan, michael",0.4,0.0,,0.0,,0.0,0.0,0.01,,-0.01,0.05,,0.01,0.07,0.16,-0.0,0.14,-0.0,0.0,0.07,0.01,-0.06,-0.04,0.0,0.4,0.0,2.57,48.0
"bridgeman, jacob",0.69,0.0,,0.0,0.84,0.04,0.0,,0.19,-0.02,,0.09,-0.03,0.33,0.0,0.0,-0.01,-0.0,0.0,0.06,0.1,0.01,-0.04,0.0,0.73,0.0,3.14,55.0
"brown, dan",-0.5,0.0,,0.0,,0.0,0.0,0.01,,0.02,-0.07,,-0.05,-0.22,-0.18,0.02,0.01,-0.0,0.0,0.01,-0.02,0.01,-0.04,0.0,-0.5,0.0,2.32,41.0
"burns, sam",1.44,0.0,,0.0,1.2,0.0,0.0,,0.3,-0.03,,0.13,-0.04,0.74,0.23,-0.03,0.03,-0.0,-0.0,0.03,0.1,-0.04,-0.02,0.03,1.44,0.0,3.04,47.0
"campbell, brian",-0.73,0.0,,0.0,-0.8,-0.03,0.0,0.01,,0.03,-0.13,,-0.06,-0.42,-0.19,-0.0,-0.11,0.0,-0.0,-0.0,0.06,0.11,-0.04,0.0,-0.77,0.0,3.2,47.0
"campos, rafael",-1.59,0.0,,0.0,,0.0,0.0,-0.01,,0.05,-0.24,,-0.1,-0.69,-0.34,0.01,-0.07,0.0,0.0,-0.06,-0.1,-0.01,-0.02,0.0,-1.59,0.0,2.34,27.0
"castillo, ricky",0.13,0.0,,0.0,,0.0,0.0,0.02,,-0.02,0.04,,0.03,0.08,-0.03,0.0,0.0,-0.0,0.0,0.06,0.01,-0.02,-0.02,-0.01,0.13,0.0,2.33,51.0
"cauley, bud",0.74,0.0,,0.0,0.92,0.04,0.0,,0.13,-0.01,,0.04,-0.01,0.35,0.13,-0.0,0.09,-0.0,-0.0,-0.05,0.1,0.02,-0.04,0.0,0.79,0.0,2.46,54.0
