player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"azallion, daniel",-2.68,0.0,,0.0,-3.62,-0.94,0.0,,,,,,,,,,,0.0,0.0,-2.68,,0.0,0.0,0.0,0.0,-3.62,2.3,0.0
"bauchou, zach",0.2,0.0,,0.0,0.23,0.02,0.0,-0.01,,-0.0,0.07,,0.01,0.1,0.05,-0.0,0.0,-0.0,0.0,0.0,-0.02,0.03,-0.01,-0.02,0.0,0.22,2.3,57.0
"bezuidenhout, christiaan",0.46,0.0,,0.0,0.47,0.01,0.0,,0.15,-0.03,,0.15,-0.02,0.27,0.03,-0.0,-0.08,-0.0,0.0,0.0,-0.01,0.03,-0.01,-0.0,-0.02,0.47,2.3,63.0
"bhatia, akshay",0.91,0.0,,0.0,0.88,-0.01,0.0,,0.17,-0.09,,0.24,-0.04,0.57,0.07,-0.01,-0.01,-0.0,0.0,0.0,0.05,-0.06,-0.02,0.03,0.02,0.9,2.8,57.0
"blair, zac",0.29,0.0,,0.0,0.14,-0.07,0.0,-0.01,,-0.0,0.07,,0.01,0.19,0.21,-0.03,-0.05,0.0,0.0,0.0,-0.07,0.03,-0.0,0.01,-0.06,0.22,2.47,65.0
"blanchet, chandler",-0.48,0.0,,0.0,-0.32,0.08,0.0,-0.01,,0.0,-0.1,,-0.01,-0.3,-0.11,0.03,0.01,0.0,0.0,0.0,-0.03,0.03,0.04,-0.02,0.0,-0.4,3.1,55.0
"bradley, keegan",0.8,0.0,,0.0,0.86,0.02,0.0,,0.18,-0.06,,0.22,-0.02,0.53,0.01,0.01,0.04,0.0,-0.0,0.0,-0.11,-0.04,-0.04,0.11,-0.02,0.82,2.84,63.0
"brennan, michael",0.51,0.0,,0.0,0.67,0.04,0.0,-0.01,,-0.0,0.11,,0.01,0.23,0.06,0.02,0.07,0.0,-0.0,0.0,0.02,0.03,0.0,-0.02,0.0,0.55,2.51,64.0
"bridgeman, jacob",0.85,0.0,,0.0,0.85,-0.0,0.0,,0.14,-0.05,,0.21,-0.04,0.44,0.09,-0.01,0.04,-0.0,-0.0,0.0,0.04,-0.04,0.01,0.01,0.02,0.85,2.93,67.0
"campbell, brian",-0.97,0.0,,0.0,-0.93,0.02,0.0,-0.01,,0.0,-0.24,,-0.02,-0.42,-0.2,0.02,-0.06,0.0,-0.0,0.0,-0.05,0.01,0.03,-0.02,0.0,-0.95,3.13,54.0
"campos, rafael",-1.44,0.0,,0.0,-1.27,0.08,0.0,0.01,,0.0,-0.42,,-0.03,-0.67,-0.22,0.03,-0.04,0.0,0.0,0.0,-0.1,0.01,0.06,-0.0,-0.07,-1.35,2.49,35.0
"cantlay, patrick",1.23,0.0,,0.0,1.35,0.0,0.0,,0.3,-0.1,,0.33,-0.04,0.72,0.1,-0.01,0.06,-0.0,-0.0,0.0,-0.03,-0.04,-0.07,0.01,0.01,1.23,2.74,53.0
"castillo, ricky",0.19,0.0,,0.0,0.33,0.07,0.0,-0.01,,-0.0,0.06,,0.01,0.14,0.02,-0.01,0.01,-0.0,0.0,0.0,0.01,0.03,-0.01,-0.02,-0.04,0.26,2.3,55.0
"celano, ryan",-2.99,0.0,,0.0,-6.81,-3.82,0.0,,,,,,,,,,,0.0,0.0,-2.99,,0.0,0.0,0.0,0.0,-6.81,3.16,0.0
"chatfield, davis",-0.13,0.0,,0.0,-0.34,-0.1,0.0,-0.0,,0.0,-0.11,,-0.01,-0.08,0.15,-0.03,-0.06,0.0,0.0,0.0,0.0,0.03,0.0,-0.02,0.0,-0.23,2.3,43.0
"clanton, luke",-0.6,0.0,,0.0,-0.4,0.1,0.0,-0.03,,0.0,-0.13,,-0.02,-0.29,-0.11,0.0,-0.02,0.0,0.0,0.0,-0.02,0.01,0.03,0.01,-0.04,-0.5,2.78,43.0
"clark, wyndham",1.05,0.0,,0.0,1.28,0.0,0.0,,0.18,-0.11,,0.21,-0.05,0.79,0.12,-0.03,0.06,-0.0,0.0,0.0,-0.01,-0.06,-0.09,0.03,0.0,1.05,2.95,61.0
"cole, eric",0.29,0.0,,0.0,0.58,0.15,0.0,,0.14,-0.06,,0.11,-0.02,0.25,0.01,-0.01,-0.03,0.0,-0.0,0.0,-0.08,-0.05,-0.02,-0.01,0.05,0.44,3.2,61.0
"conners, corey",0.76,0.0,,0.0,0.78,0.0,0.0,,0.21,-0.03,,0.17,-0.01,0.39,0.06,-0.0,0.05,0.0,0.0,0.0,-0.04,0.03,-0.02,-0.04,0.0,0.77,2.45,69.0
"coody, pierceson",0.55,0.0,,0.0,0.34,-0.05,0.0,,0.19,-0.01,,0.14,-0.02,0.27,-0.08,-0.0,-0.02,0.0,-0.0,0.0,0.04,0.01,0.05,-0.02,0.0,0.5,2.96,66.0
"crowe, trace",-0.45,0.0,,0.0,-0.43,0.01,0.0,-0.0,,0.0,-0.12,,-0.01,-0.15,-0.18,0.01,0.01,0.0,0.0,0.0,-0.01,0.03,0.02,-0.02,-0.03,-0.44,2.3,33.0
"dahmen, joel",-0.13,0.0,,0.0,-0.14,-0.0,0.0,-0.02,,0.0,-0.06,,-0.0,-0.05,0.05,0.05,0.01,-0.0,-0.0,0.0,-0.11,0.03,-0.01,0.03,-0.05,-0.13,2.5,51.0
"dalke, brad",-1.92,0.0,,0.0,-2.71,-0.79,0.0,,,,,,,,,,,0.0,0.0,-1.92,,0.0,0.0,0.0,0.0,-2.71,2.45,0.0
"davis, cameron",-1.03,0.0,,0.0,-0.67,0.18,0.0,-0.02,,0.0,-0.39,,-0.04,-0.56,-0.12,0.0,-0.05,-0.0,0.0,0.0,-0.03,0.01,0.04,0.06,0.08,-0.85,3.2,31.0
"dou, zecheng",0.17,0.0,,0.0,0.4,0.12,0.0,-0.01,,-0.0,0.01,,0.0,0.02,0.09,-0.0,0.03,0.0,0.0,0.0,-0.01,0.03,-0.02,-0.01,0.04,0.29,2.36,49.0
"dumont de chassart, adrien",-0.11,0.0,,0.0,-0.06,0.03,0.0,-0.02,,-0.0,0.01,,0.0,0.04,-0.04,-0.01,-0.07,0.0,0.0,0.0,0.01,0.01,0.0,-0.02,-0.03,-0.08,2.3,49.0
"dunlap, nick",-0.69,0.0,,0.0,-0.51,0.09,0.0,-0.01,,0.0,-0.21,,-0.02,-0.36,-0.09,0.0,-0.06,-0.0,0.0,0.0,0.03,0.01,0.02,-0.0,0.0,-0.6,2.4,37.0
"echavarria, nicolas",0.3,0.0,,0.0,0.19,-0.05,0.0,-0.01,,0.0,0.1,,0.0,0.2,0.01,-0.02,0.0,-0.0,0.0,0.0,-0.03,-0.05,0.02,0.01,0.06,0.24,2.98,63.0
"eckroat, austin",-0.2,0.0,,0.0,-0.19,0.01,0.0,-0.02,,0.0,-0.01,,-0.0,0.01,-0.14,-0.01,-0.07,-0.0,-0.0,0.0,0.0,0.03,0.03,0.01,-0.04,-0.19,2.85,55.0
"english, harris",0.86,0.0,,0.0,0.9,0.01,0.0,,0.2,-0.07,,0.26,-0.04,0.56,0.05,-0.01,0.07,0.0,0.0,0.0,-0.07,-0.06,-0.04,-0.0,-0.0,0.87,2.3,61.0
"ewart, a.j.",0.12,0.0,,0.0,-0.12,-0.12,0.0,-0.01,,-0.0,0.09,,0.01,0.11,-0.03,-0.01,-0.06,0.0,0.0,0.0,0.01,0.03,0.02,-0.02,0.0,0.0,2.41,54.0
"finau, tony",0.03,0.0,,0.0,0.43,0.2,0.0,-0.04,,-0.0,0.09,,0.01,0.1,-0.09,-0.0,0.05,-0.0,0.0,0.0,-0.08,0.01,-0.03,0.01,0.01,0.23,2.76,63.0
"fishburn, patrick",-0.06,0.0,,0.0,-0.05,0.01,0.0,-0.01,,0.0,-0.04,,-0.01,-0.13,0.08,0.01,0.05,-0.0,0.0,0.0,-0.05,0.03,-0.0,-0.0,0.01,-0.05,2.64,47.0
"fisk, steven",0.16,0.0,,0.0,0.3,0.07,0.0,-0.01,,-0.0,0.05,,0.0,0.1,0.02,-0.01,0.06,-0.0,0.0,0.0,-0.01,0.01,-0.01,-0.02,-0.02,0.23,2.37,55.0
"fowler, rickie",1.01,0.0,,0.0,0.79,0.0,0.0,,0.27,-0.06,,0.25,-0.03,0.39,0.11,0.0,0.08,0.0,0.0,0.0,-0.08,-0.04,-0.02,0.15,-0.01,1.01,2.96,59.0
"garnett, brice",-0.71,0.0,,0.0,-0.6,0.05,0.0,-0.01,,0.0,-0.13,,-0.02,-0.22,-0.19,-0.01,-0.0,0.0,0.0,0.0,-0.16,0.01,0.02,0.03,-0.03,-0.66,2.84,41.0
"gerard, ryan",0.98,0.0,,0.0,1.16,0.04,0.0,,0.13,-0.07,,0.22,-0.04,0.57,0.12,-0.03,0.09,0.0,-0.0,0.0,0.04,-0.04,-0.02,0.01,-0.0,1.03,2.64,67.0
"ghim, doug",0.67,0.0,,0.0,0.72,0.01,0.0,,0.07,-0.03,,0.09,-0.02,0.34,0.04,0.0,0.13,-0.0,-0.0,0.0,0.01,0.01,-0.07,0.1,0.0,0.68,2.3,45.0
"glover, lucas",0.04,0.0,,0.0,0.01,-0.01,0.0,-0.02,,0.0,0.03,,-0.01,0.18,-0.07,0.04,0.01,-0.0,-0.0,0.0,-0.22,0.03,-0.01,0.03,0.06,0.03,2.88,58.0
"gotterup, chris",1.38,0.0,,0.0,1.55,0.0,0.0,,0.17,-0.1,,0.27,-0.05,0.75,0.15,-0.01,0.19,0.0,0.0,0.0,0.04,-0.04,-0.03,0.05,-0.01,1.38,2.66,71.0
"greyserman, max",0.38,0.0,,0.0,0.53,0.08,0.0,-0.02,,-0.0,0.08,,0.0,0.12,0.08,-0.02,0.05,0.0,0.0,0.0,-0.03,0.03,-0.0,0.01,0.08,0.45,2.89,59.0
