player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"aberg, ludvig",1.69,0.0,,0.0,1.84,0.0,0.0,,0.37,-0.02,,0.15,-0.03,0.96,0.23,-0.01,0.11,0.0,0.0,0.06,-0.05,-0.03,-0.04,0.0,1.69,0.0,3.03,41.0
"bauchou, zach",0.29,0.0,,0.0,0.35,0.03,0.0,0.0,,-0.01,-0.0,,0.02,0.03,0.21,-0.0,0.01,-0.0,0.0,0.03,0.04,0.0,-0.04,0.0,0.32,0.0,3.0,45.0
"bezuidenhout, christiaan",0.71,0.0,,0.0,0.73,0.0,0.0,,0.22,-0.01,,0.06,-0.01,0.35,0.07,-0.02,-0.08,0.0,0.0,0.01,0.01,-0.04,0.07,0.08,0.72,0.0,2.3,50.0
"bhatia, akshay",0.84,0.0,,0.0,0.79,-0.01,0.0,,0.22,-0.01,,0.1,-0.02,0.6,0.03,-0.03,-0.05,-0.0,-0.0,0.07,-0.08,-0.0,0.02,-0.01,0.83,0.0,3.08,48.0
"blair, zac",-0.17,0.0,,0.0,0.14,0.16,0.0,0.0,,-0.01,-0.01,,0.01,0.0,-0.09,0.01,-0.06,0.0,0.0,-0.03,0.04,0.04,0.03,-0.11,-0.01,0.0,2.38,43.0
"blanchet, chandler",-0.07,0.0,,0.0,-0.09,-0.01,0.0,0.01,,-0.0,-0.02,,-0.02,-0.02,-0.11,0.0,0.02,0.0,0.0,0.02,0.01,0.08,-0.04,0.0,-0.08,0.0,2.95,42.0
"bradley, keegan",0.81,0.0,,0.0,0.8,-0.0,0.0,,0.26,-0.01,,0.09,-0.01,0.51,0.05,-0.01,0.05,0.0,-0.0,-0.11,-0.08,-0.03,0.01,0.07,0.81,0.0,2.99,45.0
"brennan, michael",0.33,0.0,,0.0,0.16,-0.09,0.0,0.01,,-0.0,0.04,,0.0,0.12,-0.07,0.0,0.14,-0.0,0.0,0.07,0.01,0.05,-0.04,0.0,0.25,0.0,2.58,44.0
"brown, dan",-0.3,0.0,,0.0,-0.06,0.12,0.0,0.01,,0.02,-0.07,,-0.06,-0.23,-0.05,0.01,0.01,-0.0,0.0,0.01,0.04,0.03,-0.04,0.0,-0.18,0.0,2.3,39.0
"campbell, brian",-0.88,0.0,,0.0,-0.84,0.02,0.0,0.01,,0.03,-0.12,,-0.06,-0.3,-0.24,-0.01,-0.13,0.0,-0.0,-0.0,-0.05,0.03,-0.02,-0.01,-0.86,0.0,3.2,43.0
"castillo, ricky",0.06,0.0,,0.0,0.25,0.09,0.0,0.02,,-0.02,0.04,,0.03,0.11,-0.08,-0.0,0.01,-0.0,0.0,0.06,-0.07,-0.01,-0.01,-0.01,0.15,0.0,2.38,47.0
"cauley, bud",0.6,0.0,,0.0,0.87,0.07,0.0,,0.13,-0.01,,0.04,-0.01,0.33,0.09,0.0,0.06,-0.0,-0.0,-0.05,-0.05,-0.05,0.05,0.05,0.67,0.0,2.53,50.0
