player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"aberg, ludvig",1.33,0.0,,0.0,,0.0,0.0,,0.34,-0.09,,0.19,-0.01,0.81,0.07,-0.0,0.09,0.0,0.02,0.06,-0.03,-0.16,0.02,0.04,1.33,0.0,2.94,57.0
"armitage, marcus",-0.34,0.0,,0.0,,0.0,0.0,0.0,,0.01,-0.03,,-0.01,-0.09,-0.1,0.04,-0.21,0.0,0.02,-0.08,0.06,0.0,0.01,0.03,-0.34,0.0,2.89,53.0
"ayora fanegas, angel",0.6,0.0,,0.0,,0.0,0.0,0.01,,-0.01,0.07,,0.02,0.23,-0.0,0.04,0.17,-0.0,0.0,0.08,0.03,0.0,-0.04,0.0,0.6,0.0,3.0,57.0
"bauchou, zach",0.2,0.0,,0.0,,0.0,0.0,0.01,,-0.01,0.03,,0.02,0.11,-0.03,0.01,0.02,-0.0,0.0,0.02,0.06,0.0,-0.04,0.0,0.2,0.0,3.0,55.0
"bradbury, dan",-0.84,0.0,,0.0,,0.0,0.0,0.0,,-0.0,-0.05,,-0.01,-0.14,-0.17,0.04,-0.21,-0.0,-0.26,0.05,0.03,0.01,0.01,-0.15,-0.84,0.0,3.11,47.0
"brennan, michael",0.51,0.0,,0.0,,0.0,0.0,0.01,,-0.01,0.04,,0.01,0.11,0.07,0.01,0.13,0.0,0.0,0.06,0.06,0.06,-0.04,0.0,0.51,0.0,2.52,58.0
"brown, dan",0.17,0.0,,0.0,,0.0,0.0,0.01,,-0.01,0.01,,0.02,0.06,-0.04,0.04,-0.21,-0.0,0.23,0.01,0.03,0.06,-0.04,0.0,0.17,0.0,2.3,41.0
"campbell, brian",-0.82,0.0,,0.0,,0.0,0.0,0.01,,0.03,-0.15,,-0.06,-0.4,-0.14,0.0,-0.1,0.0,-0.05,-0.01,0.03,0.09,-0.02,-0.05,-0.82,0.0,3.19,55.0
"canter, laurie",0.01,0.0,,0.0,,0.0,0.0,0.01,,0.01,-0.05,,-0.04,-0.12,0.06,0.02,0.04,0.0,0.16,-0.04,-0.11,0.03,-0.0,0.03,0.01,0.0,2.76,49.0
"cantlay, patrick",1.2,0.0,,0.0,,0.0,0.0,,0.4,-0.07,,0.17,-0.01,0.85,0.12,-0.0,0.07,-0.0,-0.1,-0.02,-0.03,-0.18,-0.0,0.0,1.2,0.0,2.63,51.0
