player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"aberg, ludvig",1.23,0.0,,0.0,,0.0,0.0,,0.25,-0.14,,0.36,-0.06,0.7,0.13,-0.0,0.1,0.0,0.0,0.0,0.04,-0.13,-0.03,0.01,0.01,1.23,2.71,59.0
"bhatia, akshay",0.88,0.0,,0.0,,0.0,0.0,,0.17,-0.09,,0.26,-0.06,0.56,0.04,-0.02,-0.07,-0.0,0.0,0.0,0.05,-0.02,-0.02,0.01,0.04,0.88,2.8,53.0
"brennan, michael",0.74,0.0,,0.0,,0.0,0.0,,0.06,-0.06,,0.08,-0.02,0.37,0.24,-0.02,0.09,-0.0,-0.0,0.0,0.05,0.07,-0.07,-0.05,0.0,0.74,2.73,67.0
"bridgeman, jacob",0.93,0.0,,0.0,,0.0,0.0,,0.14,-0.05,,0.23,-0.05,0.47,0.11,-0.02,0.03,-0.0,-0.0,0.0,0.04,0.0,0.02,-0.02,0.02,0.93,2.94,67.0
"burns, sam",1.59,0.0,,0.0,,0.0,0.0,,0.21,-0.14,,0.33,-0.07,0.89,0.24,-0.02,0.1,0.0,-0.0,0.0,0.01,-0.13,-0.0,0.11,0.05,1.59,2.96,57.0
"cantlay, patrick",1.56,0.0,,0.0,,0.0,0.0,,0.3,-0.11,,0.34,-0.06,0.73,0.14,-0.01,0.05,-0.0,-0.0,0.0,-0.03,0.0,0.02,0.18,0.02,1.56,2.75,55.0
"castillo, ricky",0.48,0.0,,0.0,,0.0,0.0,-0.02,,-0.0,0.09,,0.01,0.21,0.09,-0.01,0.03,-0.0,0.0,0.0,0.02,0.08,-0.0,-0.02,0.0,0.48,2.3,59.0
"cauley, bud",0.6,0.0,,0.0,,0.0,0.0,,0.1,-0.06,,0.15,-0.03,0.35,0.02,0.0,0.04,-0.0,-0.0,0.0,-0.06,0.07,0.02,-0.02,0.02,0.6,2.75,65.0
"clark, wyndham",0.96,0.0,,0.0,,0.0,0.0,,0.18,-0.12,,0.23,-0.05,0.75,0.0,-0.03,0.03,-0.0,0.0,0.0,-0.01,-0.02,-0.06,0.08,-0.02,0.96,3.02,55.0
"cole, eric",0.44,0.0,,0.0,,0.0,0.0,,0.14,-0.06,,0.12,-0.03,0.27,0.02,-0.0,-0.04,0.0,-0.0,0.0,-0.08,0.08,-0.0,0.01,0.03,0.44,3.2,61.0
"conners, corey",1.07,0.0,,0.0,,0.0,0.0,,0.21,-0.04,,0.18,-0.02,0.41,0.11,-0.01,0.06,0.0,0.0,0.0,-0.04,0.0,0.04,0.21,-0.04,1.07,2.44,71.0
"coody, pierceson",-0.09,0.0,,0.0,,0.0,0.0,-0.03,,0.0,0.14,,0.0,0.18,-0.37,0.01,-0.01,0.0,-0.0,0.0,0.01,0.05,-0.04,-0.02,0.0,-0.09,3.07,61.0
"echavarria, nicolas",0.44,0.0,,0.0,,0.0,0.0,-0.01,,0.0,0.09,,0.01,0.14,0.18,-0.01,0.0,-0.0,0.0,0.0,-0.03,0.08,0.01,-0.01,0.0,0.44,3.0,67.0
"english, harris",0.88,0.0,,0.0,,0.0,0.0,,0.2,-0.05,,0.26,-0.03,0.43,-0.06,-0.0,0.05,0.0,0.0,0.0,-0.07,0.05,0.01,0.13,-0.02,0.88,2.44,59.0
"fitzpatrick, alex",0.6,0.0,,0.0,,0.0,0.0,,0.09,-0.1,,0.14,-0.05,0.36,-0.01,0.02,0.1,0.0,0.0,0.0,0.03,0.07,0.0,-0.05,0.0,0.6,2.75,55.0
"fitzpatrick, matt",1.6,0.0,,0.0,,0.0,0.0,,0.24,-0.15,,0.39,-0.07,0.96,0.14,-0.01,0.03,0.0,0.0,0.0,-0.01,-0.14,0.08,0.18,-0.03,1.6,2.31,59.0
"fleetwood, tommy",1.85,0.0,,0.0,,0.0,0.0,,0.28,-0.14,,0.42,-0.07,0.95,0.23,-0.02,0.1,0.0,0.0,0.0,-0.05,-0.13,0.09,0.15,0.03,1.85,2.5,63.0
"fowler, rickie",1.19,0.0,,0.0,,0.0,0.0,,0.27,-0.07,,0.25,-0.04,0.51,0.13,-0.01,0.08,0.0,0.0,0.0,-0.08,0.0,0.03,0.1,0.01,1.19,3.01,59.0
"fox, ryan",0.38,0.0,,0.0,,0.0,0.0,,0.1,-0.06,,0.13,-0.03,0.32,0.19,-0.02,0.02,0.0,0.0,0.0,-0.1,-0.13,-0.03,-0.02,-0.01,0.38,2.55,57.0
"gerard, ryan",1.15,0.0,,0.0,,0.0,0.0,,0.13,-0.08,,0.22,-0.04,0.61,0.1,-0.01,0.13,0.0,-0.0,0.0,0.04,0.05,0.03,-0.02,-0.01,1.15,2.7,69.0
"gotterup, chris",1.2,0.0,,0.0,,0.0,0.0,,0.17,-0.11,,0.28,-0.06,0.75,0.08,-0.01,0.19,0.0,0.0,0.0,0.04,-0.02,-0.07,-0.02,-0.03,1.2,2.7,65.0
"griffin, ben",1.11,0.0,,0.0,,0.0,0.0,,0.21,-0.08,,0.28,-0.04,0.61,0.03,-0.01,-0.0,0.0,-0.0,0.0,0.01,0.05,-0.01,0.05,0.02,1.11,2.33,65.0
"hall, harry",0.47,0.0,,0.0,,0.0,0.0,-0.03,,-0.0,0.14,,0.01,0.2,0.18,-0.02,-0.06,-0.0,0.0,0.0,-0.01,0.08,-0.01,-0.01,0.01,0.47,2.5,59.0
"harman, brian",0.62,0.0,,0.0,,0.0,0.0,,0.17,-0.06,,0.11,-0.02,0.3,0.07,-0.01,-0.05,0.0,0.0,0.0,-0.11,0.05,0.05,0.11,0.0,0.62,2.95,67.0
"henley, russell",1.55,0.0,,0.0,,0.0,0.0,,0.24,-0.11,,0.38,-0.06,0.8,0.15,-0.03,0.07,0.0,0.0,0.0,-0.07,0.0,0.11,0.08,-0.01,1.55,2.31,55.0
