player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"aberg, ludvig",1.48,0.0,,0.0,1.52,0.0,0.0,,0.34,-0.05,,0.18,-0.03,0.77,0.06,-0.0,0.09,0.02,0.03,0.06,0.06,-0.01,-0.04,0.0,1.48,0.0,2.91,59.0
"ayora fanegas, angel",0.54,0.0,,0.0,0.25,-0.07,0.0,0.02,,-0.01,0.06,,0.02,0.21,-0.02,0.04,0.12,-0.0,0.0,0.08,0.06,0.0,-0.04,0.0,0.46,0.0,3.0,59.0
"bairstow, sam",-0.52,0.0,,0.0,-0.72,-0.1,0.0,0.01,,0.03,-0.17,,-0.06,-0.43,-0.05,-0.02,0.09,-0.01,0.0,0.05,0.08,0.01,-0.04,0.0,-0.62,0.0,2.3,51.0
"baldwin, matthew",-1.74,0.0,,0.0,-1.16,0.29,0.0,-0.01,,0.04,-0.3,,-0.08,-0.82,-0.27,0.04,-0.21,0.0,0.02,-0.1,-0.02,-0.01,-0.04,0.0,-1.45,0.0,2.51,43.0
"ballester, jose luis",-0.09,0.0,,0.0,-0.57,-0.24,0.0,0.02,,-0.0,0.06,,-0.0,-0.09,-0.2,0.01,0.15,0.0,0.0,0.03,-0.02,-0.01,-0.04,0.0,-0.33,0.0,2.92,43.0
"berger, daniel",0.34,0.0,,0.0,0.21,-0.06,0.0,0.05,,-0.01,0.09,,0.03,0.19,0.02,0.0,0.02,-0.05,0.04,-0.0,-0.02,-0.01,-0.01,0.0,0.28,0.0,2.9,59.0
"bhatia, akshay",0.87,0.0,,0.0,0.76,-0.03,0.0,,0.22,-0.04,,0.12,-0.02,0.55,0.17,-0.02,-0.01,-0.0,-0.02,0.07,-0.09,0.0,-0.04,0.0,0.85,0.0,2.96,58.0
"bradbury, dan",-0.68,0.0,,0.0,-0.39,0.15,0.0,0.0,,0.01,-0.07,,-0.02,-0.19,-0.1,0.01,-0.1,-0.02,-0.3,0.05,0.06,0.01,-0.04,0.0,-0.53,0.0,3.06,49.0
"bradley, keegan",0.71,0.0,,0.0,0.84,0.03,0.0,,0.25,-0.02,,0.11,-0.01,0.56,0.13,-0.0,0.02,0.03,-0.2,-0.11,-0.0,-0.0,-0.04,0.0,0.74,0.0,2.83,61.0
"brennan, michael",0.44,0.0,,0.0,0.04,-0.2,0.0,0.01,,-0.01,0.04,,0.01,0.13,0.03,0.01,0.11,0.0,0.0,0.07,0.08,-0.01,-0.04,0.0,0.24,0.0,2.48,62.0
