player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"aberg, ludvig",1.54,0.0,,0.0,1.78,0.0,0.0,,0.25,-0.12,,0.39,-0.07,0.77,0.14,-0.0,0.1,0.0,0.0,0.0,0.04,-0.0,0.07,-0.02,-0.01,1.54,2.68,59.0
"bhatia, akshay",0.51,0.0,,0.0,0.61,0.02,0.0,,0.17,-0.05,,0.25,-0.03,0.3,0.02,-0.01,-0.11,-0.0,0.0,0.0,0.05,-0.0,-0.07,-0.02,0.01,0.54,2.8,53.0
"bridgeman, jacob",0.94,0.0,,0.0,0.92,-0.01,0.0,,0.14,-0.05,,0.22,-0.04,0.49,0.16,-0.02,0.03,-0.0,-0.0,0.0,0.04,-0.0,0.01,-0.02,-0.02,0.93,2.78,67.0
"burns, sam",1.57,0.0,,0.0,1.7,0.0,0.0,,0.23,-0.14,,0.35,-0.07,0.9,0.14,-0.02,0.05,0.0,-0.0,0.0,0.01,-0.0,0.04,0.08,0.01,1.57,2.98,59.0
"cantlay, patrick",1.77,0.0,,0.0,1.82,0.0,0.0,,0.3,-0.13,,0.35,-0.06,0.8,0.22,-0.01,0.04,-0.0,-0.0,0.0,-0.03,-0.0,0.08,0.18,0.02,1.77,2.66,55.0
"clark, wyndham",1.17,0.0,,0.0,1.64,0.0,0.0,,0.18,-0.14,,0.25,-0.07,0.65,0.22,-0.03,0.04,-0.0,0.0,0.0,-0.01,-0.0,0.07,-0.02,0.02,1.17,3.06,55.0
"fitzpatrick, alex",0.35,0.0,,0.0,0.78,0.21,0.0,-0.02,,0.0,0.16,,0.02,0.18,-0.08,0.03,0.04,0.0,0.0,0.0,0.0,-0.0,0.04,-0.02,0.0,0.57,2.77,59.0
"fitzpatrick, matt",1.46,0.0,,0.0,1.68,0.0,0.0,,0.25,-0.13,,0.4,-0.07,0.84,0.1,-0.02,0.02,0.0,0.0,0.0,-0.01,-0.0,0.06,0.01,0.0,1.46,2.36,59.0
"fleetwood, tommy",1.7,0.0,,0.0,1.78,0.0,0.0,,0.29,-0.12,,0.42,-0.06,0.94,0.07,-0.01,0.05,0.0,0.0,0.0,-0.05,-0.0,0.07,0.08,0.03,1.7,2.57,63.0
"fox, ryan",0.38,0.0,,0.0,0.41,0.02,0.0,,0.1,-0.04,,0.15,-0.02,0.35,0.02,-0.01,0.0,0.0,0.0,0.0,-0.1,-0.0,-0.02,-0.05,0.0,0.39,2.56,57.0
"gerard, ryan",1.08,0.0,,0.0,1.28,0.0,0.0,,0.14,-0.09,,0.22,-0.04,0.55,0.13,-0.01,0.13,0.0,-0.0,0.0,0.04,-0.0,0.07,-0.05,0.0,1.08,2.63,69.0
"gotterup, chris",1.42,0.0,,0.0,1.59,0.0,0.0,,0.18,-0.1,,0.28,-0.06,0.66,0.15,-0.01,0.18,0.0,0.0,0.0,0.04,-0.0,0.11,-0.02,0.01,1.42,2.57,67.0
