player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"aberg, ludvig",1.59,0.0,,0.0,1.9,0.0,0.0,,0.35,-0.06,,0.16,-0.02,0.87,0.14,-0.01,0.13,0.0,0.0,0.06,0.03,-0.06,0.04,-0.05,1.59,0.0,3.0,53.0
"berger, daniel",0.75,0.0,,0.0,0.57,-0.04,0.0,,0.32,-0.02,,0.06,-0.01,0.32,-0.05,-0.0,-0.0,-0.0,0.0,-0.01,0.0,0.11,0.05,-0.04,0.7,0.0,2.97,53.0
"bhatia, akshay",0.77,0.0,,0.0,0.88,0.03,0.0,,0.21,-0.04,,0.1,-0.01,0.46,0.08,-0.02,-0.07,-0.0,-0.0,0.07,0.03,-0.07,0.01,0.01,0.79,0.0,2.99,54.0
"bradley, keegan",1.15,0.0,,0.0,1.29,0.0,0.0,,0.26,-0.03,,0.1,-0.01,0.55,0.09,-0.0,0.04,0.0,-0.0,-0.11,0.03,-0.06,0.16,0.12,1.15,0.0,2.91,53.0
"bridgeman, jacob",0.87,0.0,,0.0,0.9,0.01,0.0,,0.19,-0.04,,0.09,-0.02,0.42,0.11,-0.01,0.01,-0.0,0.0,0.06,0.03,0.04,-0.02,-0.01,0.87,0.0,3.02,63.0
"burns, sam",1.64,0.0,,0.0,1.62,0.0,0.0,,0.29,-0.05,,0.14,-0.02,0.87,0.24,-0.03,0.05,0.0,-0.0,0.03,0.03,-0.0,0.1,-0.0,1.64,0.0,2.96,55.0
"campbell, brian",-0.92,0.0,,0.0,-0.87,0.03,0.0,0.01,,0.03,-0.14,,-0.07,-0.46,-0.21,0.0,-0.1,0.0,-0.0,-0.0,-0.08,0.11,-0.02,0.0,-0.9,0.0,3.2,49.0
"cantlay, patrick",1.66,0.0,,0.0,1.7,0.0,0.0,,0.42,-0.04,,0.15,-0.02,0.85,0.1,-0.0,0.07,-0.0,-0.0,-0.02,0.0,-0.08,0.16,0.06,1.66,0.0,2.61,47.0
"cauley, bud",0.78,0.0,,0.0,1.21,0.11,0.0,,0.13,-0.03,,0.05,-0.01,0.54,0.12,-0.01,0.07,-0.0,-0.0,-0.05,0.03,-0.06,0.03,-0.02,0.89,0.0,2.52,62.0
"clark, wyndham",1.36,0.0,,0.0,1.34,0.0,0.0,,0.24,-0.04,,0.08,-0.02,0.77,0.25,-0.04,0.04,-0.0,0.0,0.0,0.03,-0.14,0.12,0.07,1.36,0.0,3.13,55.0
"cole, eric",0.56,0.0,,0.0,0.53,-0.01,0.0,,0.2,-0.03,,0.04,-0.01,0.53,0.12,-0.03,-0.04,0.0,-0.0,-0.07,-0.09,-0.13,0.03,0.05,0.56,0.0,2.88,51.0
"conners, corey",0.4,0.0,,0.0,0.85,0.23,0.0,0.04,,-0.01,0.09,,0.02,0.1,0.01,0.01,-0.0,0.0,0.0,-0.02,0.03,0.09,0.03,-0.0,0.63,0.0,2.63,57.0
