player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"aberg, ludvig",1.74,0.0,,0.0,1.95,0.0,0.0,,0.36,-0.03,,0.16,-0.04,0.94,0.08,-0.01,0.11,0.02,0.0,0.06,-0.01,0.14,-0.04,0.0,1.74,0.0,2.99,49.0
"arni sveinsson, gunnlaugur",-2.4,0.0,,0.0,-2.4,0.0,0.0,,,,,,,,,,,0.0,0.0,,-0.0,0.0,-0.04,0.0,-2.4,0.0,3.0,0.0
"berger, daniel",0.61,0.0,,0.0,0.61,-0.0,0.0,,0.33,-0.01,,0.06,-0.01,0.33,0.01,-0.0,0.01,-0.04,0.0,-0.01,-0.04,0.0,-0.02,0.0,0.61,0.0,2.96,51.0
"bhatia, akshay",0.6,0.0,,0.0,0.71,0.03,0.0,,0.21,-0.01,,0.11,-0.02,0.53,-0.02,-0.02,-0.08,-0.02,-0.0,0.07,-0.04,-0.06,-0.04,0.0,0.63,0.0,3.09,50.0
"blair, zac",-0.31,0.0,,0.0,-0.11,0.1,0.0,0.0,,-0.0,-0.01,,-0.01,-0.1,-0.07,0.02,-0.07,0.01,0.0,-0.03,-0.01,-0.0,-0.04,0.0,-0.21,0.0,2.36,49.0
"bradley, keegan",0.83,0.0,,0.0,0.89,0.01,0.0,,0.26,-0.01,,0.1,-0.01,0.51,0.1,-0.01,-0.0,0.04,-0.0,-0.11,-0.01,0.01,-0.03,0.0,0.84,0.0,2.95,49.0
"brennan, michael",0.44,0.0,,0.0,0.37,-0.04,0.0,0.01,,-0.01,0.06,,0.01,0.09,-0.02,0.0,0.13,-0.0,0.0,0.07,0.05,0.08,-0.04,0.0,0.41,0.0,2.61,50.0
"bridgeman, jacob",0.76,0.0,,0.0,1.02,0.07,0.0,,0.19,-0.02,,0.09,-0.02,0.33,0.1,-0.0,-0.01,-0.03,0.0,0.06,0.08,0.03,-0.04,0.0,0.83,0.0,3.11,59.0
"burns, sam",1.55,0.0,,0.0,1.67,0.0,0.0,,0.3,-0.02,,0.14,-0.03,0.83,0.15,-0.02,0.05,-0.01,-0.0,0.03,0.08,0.07,-0.02,0.0,1.55,0.0,3.02,51.0
"canter, laurie",-0.27,0.0,,0.0,-0.37,-0.05,0.0,0.02,,0.02,-0.06,,-0.05,-0.17,-0.02,0.02,0.04,0.0,0.0,-0.04,-0.01,0.02,-0.04,0.0,-0.32,0.0,2.82,45.0
"cantlay, patrick",1.53,0.0,,0.0,1.64,0.0,0.0,,0.43,-0.02,,0.15,-0.03,0.82,0.17,-0.0,0.05,-0.04,-0.0,-0.02,-0.01,0.05,-0.02,0.0,1.53,0.0,2.64,45.0
"cauley, bud",0.85,0.0,,0.0,1.23,0.09,0.0,,0.13,-0.01,,0.05,-0.01,0.41,0.23,-0.01,0.09,-0.0,-0.0,-0.05,0.08,-0.01,-0.04,0.0,0.94,0.0,2.56,58.0
"celli, filippo",-1.43,0.0,,0.0,-1.47,-0.02,0.0,-0.02,,0.05,-0.35,,-0.11,-0.82,-0.07,0.04,-0.21,0.0,0.0,0.06,-0.05,0.09,-0.04,0.0,-1.45,0.0,2.3,28.0
"clark, wyndham",1.27,0.0,,0.0,1.3,0.0,0.0,,0.25,-0.02,,0.07,-0.02,0.73,0.24,-0.04,0.02,-0.02,0.0,0.0,0.08,0.03,-0.04,0.0,1.27,0.0,2.99,51.0
