player_name,boost,override,peak,lt_form,int_form,med_form,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"avant, thomas",0.0,,,,,,,,,,,,,-0.0,0.0,-0.04,0.0,-4.97,3.0,0.0
"bauchou, zach",0.0,,,,,,,,,,,,,-0.0,0.0,-0.04,0.0,-0.41,3.0,0.0
"berger, daniel",0.0,,0.32,0.04,,0.06,0.28,0.06,-0.01,0.05,-0.0,0.0,-0.0,-0.06,-0.02,0.12,0.06,0.91,2.7,20.0
"bezuidenhout, christiaan",0.0,,0.21,0.06,,0.09,0.32,0.1,-0.02,-0.07,-0.0,0.0,0.01,0.03,-0.1,0.02,0.03,0.71,2.3407935170182177,32.0
"bhatia, akshay",0.0,,0.07,0.03,0.16,0.16,0.04,-0.21,0.0,-0.01,-0.0,-0.0,0.08,0.01,0.01,-0.0,-0.05,0.15,3.145004998206909,28.0
"blanchet, chandler",0.0,,0.03,0.04,0.02,0.02,-0.06,-0.05,0.08,-0.03,-0.0,,0.02,0.01,0.0,-0.04,0.0,0.05,2.708284028401494,32.0
"brennan, michael",0.0,,0.0,-0.12,-0.05,-0.05,-0.02,-0.29,0.05,0.08,,,0.08,-0.0,0.03,-0.04,0.0,0.32,2.4337234549008646,0.0
"bridgeman, jacob",0.0,,0.12,0.03,,0.04,0.26,0.09,-0.01,0.01,-0.0,0.0,0.06,-0.05,0.0,-0.02,-0.03,0.5,2.5636579901851952,29.0
"brown, dan",0.0,,,,,,,,,,,,,-0.0,0.0,-0.04,0.0,0.15,2.3,0.0
"burns, sam",0.0,,0.29,0.1,,0.18,0.62,0.1,-0.05,0.07,-0.0,-0.0,0.03,-0.06,0.05,0.1,0.02,1.47,2.3,25.0
"campbell, brian",0.0,,0.03,-0.03,-0.12,-0.12,-0.31,-0.23,0.0,-0.1,0.0,-0.0,0.0,-0.06,-0.12,-0.04,0.0,-1.06,2.7,20.0
"campos, rafael",0.0,,-0.0,-0.08,-0.27,-0.27,-0.39,-0.16,0.0,-0.02,0.0,,-0.06,0.01,0.01,-0.02,-0.0,-1.07,2.686387760740843,29.0
"cauley, bud",0.0,,0.05,0.02,0.06,0.06,0.09,0.02,0.02,0.01,-0.0,-0.0,-0.03,-0.06,-0.01,0.09,0.09,0.33,2.9539981195789875,22.0
"chatfield, davis",0.0,,0.01,-0.01,-0.06,-0.06,-0.11,-0.17,0.04,0.03,0.0,,0.06,0.01,-0.0,-0.04,0.0,-0.28,2.6856425628487157,27.0
"clark, wyndham",0.0,,0.24,0.04,,0.09,0.32,-0.02,-0.01,0.0,-0.0,0.0,0.01,0.03,0.06,0.11,0.06,0.93,2.767055930359762,25.0
"cole, eric",0.0,,0.07,0.01,0.07,0.07,0.16,0.12,-0.01,-0.11,0.0,0.0,-0.06,0.03,-0.0,-0.0,-0.1,0.2,2.8107368847381062,33.0
"conners, corey",0.0,,0.29,0.07,,0.15,0.49,0.08,0.01,0.03,0.0,0.0,-0.02,-0.15,-0.01,0.11,-0.06,0.98,3.2,27.0
"coody, pierceson",0.0,,0.06,0.03,,0.03,0.3,0.19,0.01,0.13,0.0,,0.06,0.03,0.07,-0.04,0.0,0.88,2.563154829322258,49.0
"dahmen, joel",0.0,,0.06,-0.01,-0.04,-0.04,0.13,0.22,0.0,0.05,-0.0,-0.0,-0.06,0.03,-0.03,0.08,-0.16,0.26,2.967101222854837,25.0
"davis, cameron",0.0,,0.06,-0.05,-0.12,-0.12,-0.31,-0.37,0.0,-0.03,-0.0,-0.0,0.02,0.03,0.01,-0.02,-0.04,-0.88,3.2,22.0
"dou, zecheng",0.0,,0.02,0.01,-0.0,-0.0,-0.09,-0.01,0.01,-0.03,0.0,,0.04,0.03,0.02,-0.04,0.0,-0.01,2.9655312637260067,33.0
"dumont de chassart, adrien",0.0,,0.03,0.01,0.01,0.01,-0.02,-0.1,0.03,0.05,0.0,,0.07,0.01,0.02,-0.01,0.01,0.11,2.868864516303136,31.0
"echavarria, nicolas",0.0,,0.03,0.04,0.07,0.07,0.07,-0.18,-0.02,-0.03,0.0,0.0,0.02,-0.06,-0.03,-0.01,-0.07,-0.13,3.2,28.0
"eckroat, austin",0.0,,0.05,0.01,0.02,0.02,0.03,0.0,-0.01,-0.04,-0.0,-0.0,0.06,0.03,-0.0,0.01,-0.13,0.01,2.535543421044096,26.0
"english, harris",0.0,,0.29,0.08,,0.14,0.47,0.12,-0.01,0.09,0.0,0.0,-0.05,0.03,0.0,0.09,-0.03,1.23,2.3,33.0
"ewart, a.j.",0.0,,,,,,,,,,,,,-0.0,0.0,-0.04,0.0,-0.33,2.3,0.0
"finau, tony",0.0,,0.11,-0.01,-0.05,-0.05,-0.05,0.11,0.02,-0.02,0.0,0.0,-0.04,0.03,-0.0,0.05,0.06,0.15,2.7,17.0
"fitzpatrick, matt",0.0,,0.33,0.12,,0.17,0.6,0.06,-0.04,-0.03,0.0,0.0,0.01,-0.06,0.0,0.05,0.02,1.26,2.3,36.0
"fowler, rickie",0.0,,0.39,0.08,,0.12,0.56,0.16,-0.02,0.09,0.0,-0.0,-0.06,-0.06,0.0,0.13,-0.05,1.35,2.7,13.0
"fox, ryan",0.0,,0.05,0.02,0.04,0.04,0.07,-0.06,-0.0,-0.04,0.0,0.0,-0.08,-0.05,0.04,0.01,-0.01,-0.03,2.4337599079026915,33.0
"garnett, brice",0.0,,0.03,-0.01,-0.07,-0.07,-0.07,-0.14,-0.0,-0.03,0.0,0.0,-0.13,0.01,-0.06,0.05,0.02,-0.42,2.7009967481160237,22.0
"gonzalez, emilio",0.0,,0.02,-0.0,-0.07,-0.07,-0.12,-0.11,-0.01,-0.05,-0.0,,0.05,0.03,0.0,-0.04,0.0,-0.33,2.530165408201041,36.0
"gotterup, chris",0.0,,0.15,0.09,,0.1,0.43,0.14,-0.02,0.11,0.0,0.0,0.06,0.03,0.1,-0.02,-0.02,1.17,2.8057824331493197,29.0
"greyserman, max",0.0,,0.18,0.06,,0.08,0.23,-0.01,0.01,-0.06,0.0,0.0,0.02,0.01,0.06,-0.01,-0.02,0.54,3.139556554339281,21.0
"griffin, ben",0.0,,0.3,0.11,,0.2,0.66,0.1,-0.03,0.03,0.0,-0.0,0.03,-0.06,0.03,0.01,0.01,1.4,2.5154914462007403,33.0
"grillo, emiliano",0.0,,0.06,0.02,0.06,0.06,0.01,0.05,-0.0,0.02,-0.0,0.0,-0.0,0.03,-0.03,0.13,-0.13,0.22,2.584447301110385,29.0
"hall, harry",0.0,,0.23,0.09,,0.15,0.43,0.12,-0.05,0.02,0.0,0.0,0.04,-0.06,0.02,-0.0,0.0,0.99,2.563763542138783,30.0
"harman, brian",0.0,,0.08,0.03,0.13,0.13,0.1,-0.04,-0.0,-0.03,0.0,0.0,-0.08,-0.06,-0.02,0.14,0.1,0.39,2.564325230289541,30.0
