player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"akina, kihei",-1.47,0.0,,0.0,,0.0,0.0,0.02,,0.0,-0.3,,-0.01,-0.53,-0.08,-0.0,0.0,0.0,0.0,-0.56,-0.02,0.0,0.0,0.0,0.0,-1.47,2.7,2.0
"bauchou, zach",0.15,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.07,,0.01,0.11,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.02,0.01,0.01,-0.02,0.0,0.15,2.3,55.0
"berger, daniel",0.12,0.0,,0.0,,0.0,0.0,-0.03,,-0.0,0.14,,0.01,0.2,-0.07,0.02,0.02,-0.0,0.0,0.0,-0.05,-0.15,0.03,0.01,0.0,0.12,3.06,53.0
"bezuidenhout, christiaan",0.69,0.0,,0.0,,0.0,0.0,,0.15,-0.04,,0.15,-0.02,0.26,0.04,-0.01,-0.07,-0.0,0.0,0.0,-0.01,0.02,0.15,0.11,-0.04,0.69,2.3,63.0
"blair, zac",0.45,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.11,,0.01,0.23,0.11,-0.04,-0.06,0.0,0.0,0.0,-0.07,0.03,0.17,0.03,-0.05,0.45,2.48,65.0
"blanchet, chandler",-0.1,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.11,,-0.01,-0.2,0.12,0.01,0.01,0.0,0.0,0.0,-0.03,0.03,0.11,-0.02,0.0,-0.1,3.19,57.0
"bradley, keegan",0.77,0.0,,0.0,,0.0,0.0,,0.18,-0.07,,0.23,-0.03,0.49,0.08,0.01,0.06,0.0,-0.0,0.0,-0.11,0.02,-0.1,0.03,-0.01,0.77,2.83,63.0
"brennan, michael",0.25,0.0,,0.0,,0.0,0.0,,0.05,-0.04,,0.08,-0.01,0.3,0.09,-0.0,0.07,-0.0,-0.0,0.0,0.05,0.02,-0.29,-0.05,0.0,0.25,2.58,67.0
"brown, blades",0.51,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.1,,0.01,0.24,0.15,-0.01,0.02,0.0,0.0,0.0,-0.02,0.02,0.06,-0.05,0.0,0.51,2.56,69.0
"campbell, brian",-0.67,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.26,,-0.02,-0.43,-0.14,0.02,-0.04,0.0,-0.0,0.0,-0.05,0.03,0.22,-0.01,-0.01,-0.67,3.04,58.0
"campos, rafael",-1.44,0.0,,0.0,,0.0,0.0,0.01,,0.0,-0.42,,-0.03,-0.66,-0.23,0.03,-0.04,0.0,0.0,0.0,-0.1,0.01,-0.02,0.01,0.01,-1.44,2.46,35.0
"cantlay, patrick",1.31,0.0,,0.0,,0.0,0.0,,0.3,-0.11,,0.34,-0.05,0.72,0.14,-0.01,0.05,-0.0,-0.0,0.0,-0.03,0.02,-0.0,-0.05,0.0,1.31,2.75,55.0
"castillo, ricky",0.46,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.07,,0.01,0.16,0.15,-0.01,0.04,-0.0,0.0,0.0,0.02,0.03,-0.01,-0.01,0.04,0.46,2.3,55.0
"cauley, bud",0.46,0.0,,0.0,,0.0,0.0,,0.1,-0.07,,0.14,-0.03,0.37,0.05,-0.0,0.05,-0.0,-0.0,0.0,-0.06,-0.1,-0.05,0.08,-0.03,0.46,2.72,65.0
"chatfield, davis",0.04,0.0,,0.0,,0.0,0.0,-0.0,,0.0,-0.09,,-0.01,-0.06,0.05,-0.02,-0.05,0.0,0.0,0.0,0.0,0.01,0.23,-0.02,0.0,0.04,2.3,43.0
"clanton, luke",-0.29,0.0,,0.0,,0.0,0.0,-0.03,,0.0,-0.12,,-0.01,-0.23,0.07,-0.0,-0.04,0.0,0.0,0.0,-0.02,0.03,0.03,0.01,0.01,-0.29,2.82,45.0
"cole, eric",0.24,0.0,,0.0,,0.0,0.0,-0.03,,-0.0,0.18,,0.01,0.23,0.0,-0.02,-0.03,0.0,-0.0,0.0,-0.1,0.01,-0.03,0.02,-0.01,0.24,3.2,59.0
"collet, tyler",-2.5,0.0,,0.0,,0.0,0.0,0.05,,0.0,-0.68,,-0.04,-1.16,-0.39,0.01,-0.12,0.0,0.0,0.0,-0.02,-0.15,0.03,-0.02,0.0,-2.5,2.7,11.0
"coody, pierceson",-0.04,0.0,,0.0,,0.0,0.0,-0.03,,-0.0,0.15,,0.01,0.21,-0.2,-0.0,-0.01,0.0,-0.0,0.0,0.01,0.01,-0.11,-0.0,-0.06,-0.04,2.99,64.0
"crowe, trace",-0.55,0.0,,0.0,,0.0,0.0,-0.0,,0.0,-0.13,,-0.01,-0.19,-0.22,0.02,0.02,0.0,0.0,0.0,-0.01,0.01,-0.06,-0.01,0.05,-0.55,2.3,35.0
"dahmen, joel",0.06,0.0,,0.0,,0.0,0.0,-0.02,,0.0,-0.05,,-0.0,-0.03,0.02,0.04,0.01,-0.0,-0.0,0.0,-0.11,0.01,0.15,0.07,-0.03,0.06,2.3,49.0
"davis, cameron",-1.18,0.0,,0.0,,0.0,0.0,-0.02,,0.0,-0.38,,-0.04,-0.52,-0.22,-0.0,-0.05,-0.0,0.0,0.0,-0.03,0.01,-0.03,0.04,0.04,-1.18,3.2,29.0
"day, jason",0.04,0.0,,0.0,,0.0,0.0,-0.04,,-0.0,0.16,,0.01,0.2,-0.07,0.01,0.0,-0.0,0.0,0.0,-0.11,-0.15,0.03,-0.02,0.0,0.04,2.94,45.0
"dou, zecheng",0.09,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.02,,0.0,0.08,-0.03,-0.0,0.04,0.0,0.0,0.0,-0.01,0.03,-0.04,-0.0,0.01,0.09,2.49,49.0
"dumont de chassart, adrien",-0.27,0.0,,0.0,,0.0,0.0,-0.02,,-0.0,0.01,,0.0,0.03,-0.05,-0.02,-0.08,0.0,0.0,0.0,0.01,0.01,-0.14,-0.02,-0.0,-0.27,2.3,49.0
"dunlap, nick",-0.94,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.21,,-0.02,-0.37,-0.23,0.0,-0.08,-0.0,0.0,0.0,0.03,0.01,-0.04,-0.01,-0.01,-0.94,2.4,39.0
"echavarria, nicolas",0.36,0.0,,0.0,,0.0,0.0,-0.01,,0.0,0.1,,0.0,0.17,-0.01,-0.0,0.01,-0.0,0.0,0.0,-0.03,0.01,0.05,0.01,0.07,0.36,2.96,65.0
"eckroat, austin",-0.1,0.0,,0.0,,0.0,0.0,-0.02,,-0.0,-0.03,,-0.0,-0.03,-0.0,-0.01,-0.06,-0.0,-0.0,0.0,0.0,0.03,-0.01,0.02,0.0,-0.1,2.79,55.0
"english, harris",1.01,0.0,,0.0,,0.0,0.0,,0.21,-0.07,,0.27,-0.03,0.5,-0.05,-0.01,0.06,0.0,0.0,0.0,-0.07,0.02,0.05,0.13,-0.01,1.01,2.3,61.0
"ewart, a.j.",0.01,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.08,,0.01,0.1,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.01,0.01,-0.02,-0.02,0.0,0.01,2.45,56.0
"finau, tony",-0.23,0.0,,0.0,,0.0,0.0,-0.04,,0.0,0.07,,0.0,0.05,-0.19,0.01,0.02,-0.0,0.0,0.0,-0.08,0.03,-0.11,-0.01,0.02,-0.23,2.88,63.0
"fishburn, patrick",0.02,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.02,,-0.0,-0.02,0.02,0.01,0.05,-0.0,0.0,0.0,-0.05,0.03,-0.04,-0.0,0.06,0.02,2.81,49.0
"fisk, steven",-0.07,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.06,,0.0,0.08,-0.2,0.0,0.04,-0.0,0.0,0.0,-0.01,0.01,-0.04,-0.01,-0.0,-0.07,2.52,55.0
"fitzpatrick, alex",0.46,0.0,,0.0,,0.0,0.0,,0.08,-0.1,,0.11,-0.04,0.45,0.0,0.01,0.09,0.0,0.0,0.0,0.03,-0.1,-0.02,-0.05,0.0,0.46,2.77,53.0
"garnett, brice",-0.62,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.13,,-0.02,-0.27,-0.18,0.0,-0.01,0.0,0.0,0.0,-0.16,0.01,0.13,0.06,-0.05,-0.62,2.75,41.0
"gerard, ryan",1.14,0.0,,0.0,,0.0,0.0,,0.13,-0.08,,0.22,-0.04,0.6,0.17,-0.02,0.11,0.0,-0.0,0.0,0.04,0.02,0.03,-0.02,-0.02,1.14,2.7,67.0
"ghim, doug",0.84,0.0,,0.0,,0.0,0.0,,0.07,-0.05,,0.1,-0.02,0.32,0.11,-0.0,0.18,-0.0,-0.0,0.0,0.01,0.02,0.03,0.11,-0.03,0.84,2.3,45.0
