player_name,accuracy,course_x,dg_id,distance,gir,great_shots,poor_shots,position,prox_fw,prox_rgh,round,scrambling,sg_app,sg_arg,sg_bs,sg_ott,sg_putt,sg_t2g,sg_total,thru,total,course_name,event_name,last_updated,r2_teetime_x,course_y,great_shots_r1,poor_shots_r1,sg_app_r1,sg_arg_r1,sg_ott_r1,sg_putt_r1,sg_app_avg,sg_arg_avg,sg_ott_avg,sg_putt_avg,sg_app_delta,r2_teetime_y,wind_adj2,dew_adj2,updated_pred,sg_total_adj,player_wind_benefit,player_dew_benefit,residual,residual2,residual3,weather_signal,residual_w_adj,residual_adj,residual2_adj,residual3_adj,avg_ott_adj,avg_putt_adj,avg_app_adj,avg_arg_adj,delta_app_adj,tot_resid_adj,tot_sg_adj,total_adjustment,Score,updated_pred_r3
"rose, justin",0.64,SC,6093,297.8,0.72,5.0,1.0,1,20.85,50.84,-7.0,1.0,3.1,0.39,3.44,0.34,3.57,3.82,7.39,18.0,-21.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 09:32,Torrey Pines Golf Course (South Course),,,,,,,3.1,0.39,0.34,3.57,,2026-01-30 09:32,0.96,0.0016926421768707,0.9405071179908664,7.390669073843718,3.3306690738754696e-16,0.007653279999999894,6.457815235852851,41.703377620413214,269.3127073836293,0.0,6.457815235852851,1.0597274802034529,-3.373803249491429,2.0467765761155827,0.0374,-0.10709999999999999,-0.03968,-0.058499999999999996,,-0.2672991931723936,-0.16787999999999997,-0.43517919317239373,65.0,0.5053279248184727
"hisatsune, ryo",0.93,SC,22760,298.9,0.89,5.0,1.0,3,23.29,32.24,-6.0,1.0,2.66,0.55,4.54,1.88,1.3,5.09,6.39,18.0,-13.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 10:27,Torrey Pines Golf Course (South Course),,,,,,,2.66,0.55,1.88,1.3,,2026-01-30 10:27,0.96,-0.0083678911564625,-0.151526195737758,6.390669073843718,3.3306690738754696e-16,-0.0024072533333333052,6.539788016248142,42.768827297462806,279.6990642289337,0.0,6.539788016248142,1.07317921346632,-3.459998128364741,2.1257128881398963,0.20679999999999998,-0.039,-0.034048,-0.0825,,-0.26110602675852457,0.051251999999999985,-0.20985402675852471,66.0,-0.3613802224962827
"jaeger, stephan",0.21,SC,16394,311.3,0.61,3.0,5.0,6,38.64,58.02,3.0,0.5,0.75,-0.12,-0.54,-1.29,-1.95,-0.66,-2.61,18.0,-11.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 10:49,Torrey Pines Golf Course (South Course),,,,,,,0.75,-0.12,-1.29,-1.95,,2026-01-30 10:49,0.96,-0.0142785578231291,0.1064563676082239,-2.6093309261562814,3.3306690738754696e-16,-0.008317919999999906,-2.724105213764505,7.42074921565896,-20.214901628415433,0.0,-2.724105213764505,-0.007899905119917065,-0.15509365860727226,-0.07681662618797865,-0.0903,0.0195,-0.0225,0.0036,,-0.23981018991516795,-0.0897,-0.32951018991516795,75.0,-0.22305382230694404
"mcnealy, maverick",0.71,SC,18634,309.5,0.61,4.0,5.0,6,33.53,49.21,-2.0,0.6,-0.62,1.35,0.99,1.61,0.06,2.33,2.39,18.0,-11.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 10:38,Torrey Pines Golf Course (South Course),,,,,,,-0.62,1.35,1.61,0.06,,2026-01-30 10:38,0.96,-0.0111565133786847,1.37619332481298,2.3906690738437186,3.3306690738754696e-16,-0.005195875555555505,1.0092798734751833,1.018645863002082,1.0280987677267603,0.0,1.0092798734751833,0.0029269116330780313,-0.021289698536743513,0.003906775317361689,0.11270000000000002,-0.0006,0.0186,-0.0405,,-0.014456011586303791,0.09020000000000003,0.07574398841369623,70.0,1.4519373132266762
"li, haotong",0.64,SC,15310,297.2,0.78,3.0,0.0,9,30.35,45.06,-4.0,0.71,1.8,0.66,2.41,0.61,1.32,3.07,4.39,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 11:11,Torrey Pines Golf Course (South Course),,,,,,,1.8,0.66,0.61,1.32,,2026-01-30 11:11,0.96,-0.0215229133786845,0.4935489082646775,4.390669073843718,3.3306690738754696e-16,-0.015562275555555307,3.8815578900234855,15.066491653603572,58.48145955301794,0.0,3.8815578900234855,0.011256517881068108,-0.31488967556031466,0.22222954630146818,0.0427,-0.013200000000000002,-0.054,-0.0198,,-0.08140361137777835,-0.0443,-0.12570361137777833,68.0,0.36784529688689915
"knapp, jake",0.64,SC,19396,305.7,0.56,5.0,3.0,9,32.58,37.98,-2.0,0.8,-0.68,-0.15,0.85,1.53,1.7,0.7,2.39,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 10:38,Torrey Pines Golf Course (South Course),,,,,,,-0.68,-0.15,1.53,1.7,,2026-01-30 10:38,0.96,-0.0111565133786847,1.0133768913194876,2.3906690738437186,3.3306690738754696e-16,-0.005195875555555505,1.372096306968676,1.8826482755970793,2.5831747462676984,0.0,1.372096306968676,0.0039790792902091605,-0.039347348959978955,0.009816064035817253,0.10710000000000001,-0.017,0.0204,0.0045,,-0.025552205633952545,0.11500000000000002,0.08944779436604748,70.0,1.102824685685535
"matsuyama, hideki",0.43,SC,13562,291.9,0.78,4.0,3.0,9,29.06,68.31,1.0,0.57,1.31,-0.59,0.65,-0.66,-0.66,0.06,-0.61,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 09:32,Torrey Pines Golf Course (South Course),,,,,,,1.31,-0.59,-0.66,-0.66,,2026-01-30 09:32,0.96,0.0016926421768707,1.7673942806610616,-0.6093309261562817,3.3306690738754696e-16,0.007653279999999894,-2.369071926817343,5.612501794434038,-13.296420440405639,0.0,-2.369071926817343,-0.006870308587770294,-0.11730128750367137,-0.050526397673541425,-0.046200000000000005,0.006600000000000001,-0.0393,0.017699999999999997,,-0.1746979937649831,-0.061200000000000004,-0.2358979937649831,73.0,1.5314962868960786
"ventura, kristoffer",0.86,SC,15651,296.7,0.56,4.0,6.0,9,29.61,61.83,-2.0,0.64,-0.41,-0.8,0.92,1.33,2.27,0.12,2.39,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 10:05,Torrey Pines Golf Course (South Course),,,,,,,-0.41,-0.8,1.33,2.27,,2026-01-30 10:05,0.96,-0.0037909133786849,0.4467744633807899,2.3906690738437186,3.3306690738754696e-16,0.0021697244444442943,1.9460643349073732,3.7871663955984767,7.370069452833904,0.0,1.9460643349073732,0.0056435865712313816,-0.07915177766800816,0.028006263920768833,0.09310000000000002,-0.0227,0.012299999999999998,0.024,,-0.045501927176007935,0.10670000000000002,0.061198072823992075,70.0,0.507972536204782
"schenk, adam",0.93,SC,19477,297.0,0.83,2.0,2.0,14,31.0,157.84,-2.0,0.6,1.62,-0.38,3.23,1.61,-0.45,2.85,2.39,18.0,-9.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 10:38,Torrey Pines Golf Course (South Course),,,,,,,1.62,-0.38,1.61,-0.45,,2026-01-30 10:38,0.96,-0.0111565133786847,-0.7281280882587906,2.3906690738437186,3.3306690738754696e-16,-0.005195875555555505,3.113601286546954,9.694512971586846,30.184848060778936,0.0,3.113601286546954,0.009029443730986166,-0.20261532110616506,0.11470242263095996,0.11270000000000002,0.0045000000000000005,-0.048600000000000004,0.0114,,-0.07888345474421894,0.08000000000000002,0.0011165452557810943,70.0,-0.7270115430030095
"mitchell, keith",0.64,SC,17365,306.4,0.83,3.0,4.0,14,30.94,54.67,0.0,0.33,2.41,-1.46,3.63,1.21,-1.77,2.17,0.39,18.0,-9.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 09:21,Torrey Pines Golf Course (South Course),,,,,,,2.41,-1.46,1.21,-1.77,,2026-01-30 09:21,0.96,0.0035113088435374,0.6212871101680265,0.3906690738437183,3.3306690738754696e-16,0.009471946666666595,-0.2211460896576413,0.04890559297086552,-0.010815280647895139,0.0,-0.2211460896576413,-0.0006413236600071597,-0.0010221268930910893,-4.109806646200153e-05,0.08470000000000001,0.0177,-0.0723,0.0438,,-0.0017045486195602505,0.0739,0.07219545138043976,72.0,0.6934825615484663
"coody, pierceson",0.71,SC,28309,314.2,0.67,3.0,1.0,14,28.61,50.11,-2.0,0.6,0.94,0.21,2.81,1.87,-0.63,3.02,2.39,18.0,-9.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-30 10:05,Torrey Pines Golf Course (South Course),,,,,,,0.94,0.21,1.87,-0.63,,2026-01-30 10:05,0.96,-0.0037909133786849,0.8668063247898888,2.3906690738437186,3.3306690738754696e-16,0.0021697244444442943,1.5260324734982746,2.328775110171262,3.5537864415958684,0.0,1.5260324734982746,0.004425494173144996,-0.048671399802579375,0.0135043884780643,0.13090000000000002,0.0063,-0.028199999999999996,-0.006299999999999999,,-0.03074151715137008,0.10270000000000001,0.07195848284862993,70.0,0.9387648076385188
