player_name,accuracy,course_x,dg_id,distance,gir,great_shots,poor_shots,position,prox_fw,prox_rgh,round,scrambling,sg_app,sg_arg,sg_bs,sg_ott,sg_putt,sg_t2g,sg_total,thru,total,course_name,event_name,last_updated,r3_teetime_x,course_y,updated_pred_r3,sg_app_avg,sg_ott_avg,sg_arg_avg,sg_putt_avg,tot_resid_adj,tot_sg_adj,wind_adj3,dew_adj3,r3_teetime_y,sg_total_adj,player_wind_benefit,player_dew_benefit,residual,residual2,weather_signal,residual_w_adj,sg_ott_avg_adj,sg_putt_avg_adj,sg_app_avg_adj,sg_arg_avg_adj,total_adjustment,updated_pred_r4,Score
"rose, justin",0.71,SC,6093,300.2,0.78,3.0,2.0,1,17.55,96.78,-4.0,0.43,3.7,-0.05,4.83,1.14,-0.97,4.78,3.81,18.0,-21.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 10:07,Torrey Pines Golf Course (South Course),0.5053279248184727,3.1,0.34,0.39,3.57,-0.2672991931723936,-0.1678799999999999,0.9213760000000004,-0.0103352324324323,2026-01-31 10:07,4.16721461712338,0.02918904504504527,-0.010335232432432213,3.6807405049175204,13.547850664540483,0.0,3.6807405049175204,0.011900000000000003,-0.4998,-0.062000000000000006,-0.11699999999999999,-0.23172080682760654,0.2736071179908661,68.0
"dahmen, joel",0.86,SC,14509,291.3,0.56,4.0,2.0,2,22.45,52.33,-4.0,1.0,-0.7,0.92,-0.15,0.55,3.04,0.77,3.81,18.0,-15.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 10:07,Torrey Pines Golf Course (South Course),-0.2840380045329661,1.33,0.63,0.33,0.19,-0.244668952061966,-0.0029239999999999,0.9213760000000004,-0.0103352324324323,2026-01-31 10:07,4.16721461712338,0.02918904504504527,-0.010335232432432213,4.47010643426896,19.981851533692755,0.0,4.47010643426896,0.022050000000000004,-0.026600000000000002,-0.026600000000000002,-0.099,0.1174429520619659,-0.16659505247100023,68.0
"hisatsune, ryo",0.64,SC,22760,308.0,0.72,2.0,2.0,3,26.57,44.51,-4.0,0.86,1.15,0.71,2.16,1.01,0.93,2.88,3.81,18.0,-13.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 09:34,Torrey Pines Golf Course (South Course),-0.3613802224962827,2.66,1.88,0.55,1.3,-0.2611060267585245,0.0512519999999999,0.9178560000000006,-0.0048213657657659,2026-01-31 09:34,4.16721461712338,0.025669045045045413,-0.004821365765765813,4.5494425188989425,20.697427232765556,0.0,4.5494425188989425,0.0658,-0.18200000000000002,-0.053200000000000004,-0.165,-0.12454597324147543,-0.48592619573775814,68.0
"kim, si woo",0.64,SC,14609,293.0,0.61,6.0,3.0,3,23.2,65.61,-3.0,0.7,0.2,0.56,0.05,-0.15,2.2,0.61,2.81,18.0,-13.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 09:56,Torrey Pines Golf Course (South Course),1.7309278710512173,5.06,0.07,-0.63,-0.02,0.0627922308649301,0.038032,0.921493333333334,-0.0084586990990991,2026-01-31 09:56,3.1672146171233804,0.029306378378378906,-0.008458699099099014,1.457134425351443,2.1232407335442804,0.0,1.457134425351443,0.0024500000000000004,0.0028000000000000004,-0.1012,0.189,-0.0077742308649301,1.7231536401862872,69.0
"mcgreevy, max",0.43,SC,23505,296.7,0.67,2.0,3.0,5,27.08,50.05,-1.0,0.57,0.28,0.55,-0.18,-0.46,0.45,0.37,0.81,18.0,-12.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 09:56,Torrey Pines Golf Course (South Course),0.392316989867902,1.96,0.76,1.2,2.57,0.0557547567414831,-0.198588,0.921493333333334,-0.0084586990990991,2026-01-31 09:56,1.1672146171233804,0.029306378378378906,-0.008458699099099014,0.7957453065347583,0.6332105928720965,0.0,0.7957453065347583,0.026600000000000002,-0.3598,-0.0392,-0.36,-0.5895667567414831,-0.1972497668735811,71.0
"jaeger, stephan",0.5,SC,16394,319.2,0.83,7.0,1.0,6,29.73,39.22,-7.0,0.8,1.36,0.18,2.61,1.26,4.01,2.8,6.81,18.0,-11.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 08:39,Torrey Pines Golf Course (South Course),-0.223053822306944,0.75,-1.29,-0.12,-1.95,-0.2398101899151679,-0.0897,0.8861760000000002,0.0036354342342342,2026-01-31 08:39,7.1672146171233795,-0.006010954954954961,0.0036354342342342864,7.3878929187096025,54.58096177831949,0.0,7.3878929187096025,-0.11481,0.039,-0.052500000000000005,0.0156,0.21680018991516792,-0.006253632391776093,65.0
"mcnealy, maverick",0.71,SC,18634,312.3,0.67,6.0,3.0,6,29.22,41.27,-2.0,0.71,-0.04,-0.25,1.4,1.44,0.66,1.16,1.81,18.0,-11.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 09:34,Torrey Pines Golf Course (South Course),1.4519373132266762,-0.62,1.61,1.35,0.06,-0.0144560115863037,0.0902,0.9178560000000006,-0.0048213657657659,2026-01-31 09:34,2.1672146171233804,0.025669045045045413,-0.004821365765765813,0.7361249831759837,0.5418799908558424,0.0,0.7361249831759837,0.14329,-0.0012,0.0434,-0.17550000000000002,-0.06575398841369633,1.3861833248129798,70.0
"power, seamus",0.36,SC,10104,296.9,0.39,3.0,2.0,6,42.68,67.83,2.0,0.71,-2.98,0.66,-3.82,-0.85,0.97,-3.16,-2.19,18.0,-11.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 10:07,Torrey Pines Golf Course (South Course),-0.041842006595527,1.17,-0.24,0.89,5.66,-0.082968050531658,-0.1352,0.9213760000000004,-0.0103352324324323,2026-01-31 10:07,-1.8327853828766196,0.02918904504504527,-0.010335232432432213,-1.7720895636684795,3.140301421662742,0.0,-1.7720895636684795,-0.021359999999999997,-0.11320000000000001,-0.0819,-0.11570000000000001,-0.11399194946834203,-0.15583395606386902,74.0
"li, haotong",0.57,SC,15310,299.4,0.72,4.0,3.0,9,25.3,119.52,-3.0,0.71,2.29,0.32,2.77,0.48,-0.27,3.09,2.81,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 08:50,Torrey Pines Golf Course (South Course),0.3678452968868991,1.8,0.61,0.66,1.32,-0.0814036113777783,-0.0443,0.8950933333333337,0.0023017453453453,2026-01-31 08:50,3.1672146171233804,0.0029063783783785935,0.0023017453453453864,2.8045774439602056,7.86565463917036,0.0,2.8045774439602056,0.05429,-0.026400000000000003,-0.12600000000000003,-0.0858,-0.058206388622221716,0.3096389082646774,69.0
"knapp, jake",0.57,SC,19396,312.6,0.61,4.0,3.0,9,23.72,30.23,-2.0,0.78,0.57,-1.81,1.94,1.37,1.69,0.12,1.81,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 09:12,Torrey Pines Golf Course (South Course),1.102824685685535,-0.68,1.53,-0.15,1.7,-0.0255522056339525,0.115,0.9090560000000004,-0.0011840324324325,2026-01-31 09:12,2.1672146171233804,0.016869045045045272,-0.0011840324324324135,1.0800749440504582,1.1665618847656005,0.0,1.0800749440504582,0.13616999999999999,-0.034,0.04760000000000001,0.0195,0.07982220563395247,1.1826468913194874,70.0
"matsuyama, hideki",0.64,SC,13562,298.5,0.72,1.0,2.0,9,26.9,58.36,-3.0,0.8,0.74,0.84,0.79,0.05,1.18,1.63,2.81,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 09:12,Torrey Pines Golf Course (South Course),1.5314962868960786,1.31,-0.66,-0.59,-0.66,-0.1746979937649831,-0.0612,0.9090560000000004,-0.0011840324324325,2026-01-31 09:12,3.1672146171233804,0.016869045045045272,-0.0011840324324324135,1.6514033428399146,2.7271330007428447,0.0,1.6514033428399146,-0.05874,0.013200000000000002,-0.09170000000000002,0.0767,0.17535799376498307,1.7068542806610618,69.0
"lipsky, david",0.71,SC,15980,294.7,0.72,5.0,3.0,9,24.35,53.31,-2.0,0.5,2.42,0.18,1.02,-1.41,0.62,1.19,1.81,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 09:23,Torrey Pines Golf Course (South Course),-0.5101587625739531,1.67,-0.89,0.85,-0.14,-0.0312592438987487,-0.1365,0.914101333333334,-0.0030026990990991,2026-01-31 09:23,2.1672146171233804,0.02191437837837884,-0.003002699099099014,2.6962850589766134,7.26995311926052,0.0,2.6962850589766134,-0.07921,0.0028000000000000004,-0.1169,-0.1105,-0.1360507561012513,-0.6462095186752044,70.0
"ventura, kristoffer",0.5,SC,15651,304.0,0.67,3.0,1.0,9,30.51,53.37,-2.0,0.75,0.75,-0.21,1.0,0.25,1.01,0.8,1.81,18.0,-10.0,Torrey Pines Golf Course (South Course),Farmers Insurance Open,2026-02-01 00:58:47 UTC,2026-01-31 09:23,Torrey Pines Golf Course (South Course),0.507972536204782,-0.41,1.33,-0.8,2.27,-0.0455019271760079,0.1067,0.914101333333334,-0.0030026990990991,2026-01-31 09:23,2.1672146171233804,0.02191437837837884,-0.003002699099099014,1.6781537601978782,2.816200042866278,0.0,1.6781537601978782,0.11837,-0.0454,0.0287,0.10400000000000001,0.14447192717600793,0.65244446338079,70.0
