player_name,player_name_original,category,category_clean,n,mean,std,excess_kurtosis,delta_mu,sigma_ratio,tail_ratio_course,mean_adj,std_adj,df_t,distribution,sanity_flags,q01_adj,q05_adj,q10_adj,q25_adj,q50_adj,q75_adj,q90_adj,q95_adj,q99_adj
"aberg, ludvig","Aberg, Ludvig",sg_app_adj,sg_app,196,0.2454795878636937,1.6259171995796056,-0.3663530165577318,0.0,1.0,0.0,0.2454795878636937,1.6259171995796056,inf,normal,,-3.2169,-2.4764,-1.7464,-0.9815,0.1016,1.41655,2.4565,2.5696,3.8592
"aberg, ludvig","Aberg, Ludvig",sg_arg_adj,sg_arg,196,0.1211440004259211,0.9477221307305,0.1588597455718541,0.0,1.0,0.0,0.1211440004259211,0.9477221307305,41.76916536282712,student_t,,-2.2482,-1.3091999999999997,-1.1351999999999998,-0.3764,0.1984,0.7734000000000001,1.0986,1.9328000000000003,2.5606
"aberg, ludvig","Aberg, Ludvig",sg_ott_adj,sg_ott,196,0.6756089766473989,0.9054454621100811,4.0632973518445565,0.0,1.0,0.0,0.6756089766473989,0.9054454621100811,5.476633256307532,student_t,df_t<8,-3.7090000000000005,-0.7010000000000001,-0.345,0.132,0.932,1.291,1.625,1.898,2.209
"aberg, ludvig","Aberg, Ludvig",sg_putt_adj,sg_putt,196,0.4482676435444053,1.4189513259051985,-0.3530713966310461,0.0,1.0,0.0,0.4482676435444053,1.4189513259051985,inf,normal,,-2.41745,-1.5549,-1.1704,-0.6194,0.3126,1.3982,2.4304,2.6885000000000003,3.8605
"bezuidenhout, christiaan","Bezuidenhout, Christiaan",sg_app_adj,sg_app,376,0.124348424203458,1.5160136598031793,0.0576316560738621,0.0,1.0,0.0,0.124348424203458,1.5160136598031793,108.10944971475845,student_t,,-3.8714,-2.6369,-2.3337,-0.7436,0.028599999999999903,1.2872,2.0704,2.2696,3.1765
"bezuidenhout, christiaan","Bezuidenhout, Christiaan",sg_arg_adj,sg_arg,376,0.3766254732941449,0.8476091014870291,-0.7022605471303303,0.0,1.0,0.0,0.3766254732941449,0.8476091014870291,inf,normal,,-1.7111999999999998,-0.8792,-0.7562,-0.21500000000000002,0.2808,0.9890000000000001,1.6456,1.7458,1.9198
"bezuidenhout, christiaan","Bezuidenhout, Christiaan",sg_ott_adj,sg_ott,376,-0.2464977592710917,0.9224168736783314,0.1349980472594691,0.0,1.0,0.0,-0.2464977592710917,0.9224168736783314,48.445087331284675,student_t,,-2.472,-2.072,-1.654,-0.748,-0.03599999999999989,0.412,0.9139999999999999,1.022,1.103
"bezuidenhout, christiaan","Bezuidenhout, Christiaan",sg_putt_adj,sg_putt,376,0.494133402580286,1.5945407750523135,-0.2037338515856284,0.0,1.0,0.0,0.494133402580286,1.5945407750523135,inf,normal,,-3.1428,-2.5904000000000003,-1.5256,-0.8138000000000001,0.6625000000000001,1.6561,2.5871,3.1112,3.8066
"bhatia, akshay","Bhatia, Akshay",sg_app_adj,sg_app,252,0.7075794288480414,1.8102389738817408,0.4971723708186268,0.0,1.0,0.0,0.7075794288480414,1.8102389738817408,16.068249066456787,student_t,,-3.1101,-1.9415999999999998,-1.4379,-0.5835,0.6126,1.7832,2.8532,4.4252,5.1356
"bhatia, akshay","Bhatia, Akshay",sg_arg_adj,sg_arg,252,-0.1160732761193061,0.9943585580500104,-0.1228116507152243,0.0,1.0,0.0,-0.1160732761193061,0.9943585580500104,inf,normal,,-2.0262,-1.8176,-1.4532,-0.7934,-0.0313999999999999,0.6058,0.9906,1.597,2.4408
"bhatia, akshay","Bhatia, Akshay",sg_ott_adj,sg_ott,252,0.1295680025845211,1.0337737804519918,1.7363723512040083,0.0,1.0,0.0,0.1295680025845211,1.0337737804519918,7.455480039082385,student_t,df_t<8,-3.556,-1.756,-1.649,-0.312,0.294,0.8170000000000002,1.342,1.375,1.471
"bhatia, akshay","Bhatia, Akshay",sg_putt_adj,sg_putt,252,0.2017747490170529,1.41336418659478,-0.2321395371582566,0.0,1.0,0.0,0.2017747490170529,1.41336418659478,inf,normal,,-2.6775,-2.3894,-1.9547999999999999,-0.49879999999999997,0.4378,1.1346,1.6081,2.8086,2.9378
"bradley, keegan","Bradley, Keegan",sg_app_adj,sg_app,433,0.3112763003535691,1.7048321156725244,0.0739848833670713,0.0,1.0,0.0,0.3112763003535691,1.7048321156725244,85.09764761311281,student_t,,-2.7944,-2.2744000000000004,-1.4544000000000001,-0.7684000000000001,-0.13679999999999992,1.4952,2.1143,3.8602,4.4786
"bradley, keegan","Bradley, Keegan",sg_arg_adj,sg_arg,433,0.6306247037695741,0.9719668577499774,1.5807655556676456,0.0,1.0,0.0,0.6306247037695741,0.9719668577499774,7.795629262345525,student_t,df_t<8,-1.2974,-1.1502,-0.6334000000000001,-0.044199999999999906,0.727,1.2646,1.6068,1.7902,4.264
"bradley, keegan","Bradley, Keegan",sg_ott_adj,sg_ott,433,0.3900848103372737,0.8419570254657437,-0.1250845836532677,0.0,1.0,0.0,0.3900848103372737,0.8419570254657437,inf,normal,,-1.4180000000000001,-1.3850000000000002,-0.7840000000000001,-0.16800000000000004,0.345,0.993,1.4529999999999998,1.7439999999999998,2.302
"bradley, keegan","Bradley, Keegan",sg_putt_adj,sg_putt,433,0.1165968100850052,1.7420985095083934,0.097689058457183,0.0,1.0,0.0,0.1165968100850052,1.7420985095083934,65.41936563581267,student_t,,-4.432799999999999,-3.2008,-2.2174,-0.8333999999999999,0.4056,1.3296,2.3436,2.8242,3.2862
"campos, rafael","Campos, Rafael",sg_app_adj,sg_app,165,-0.549196252925311,1.5388034896128282,0.0367420974439318,0.0,1.0,0.0,-0.549196252925311,1.5388034896128282,167.30042151665293,student_t,,-4.2462,-3.0745,-2.6326,-1.4876,-0.5357,0.3524999999999999,1.2182999999999997,2.5091,2.8168
"campos, rafael","Campos, Rafael",sg_arg_adj,sg_arg,165,-0.3675518769594598,1.1355244299760223,-0.0666066286773872,0.0,1.0,0.0,-0.3675518769594598,1.1355244299760223,inf,normal,,-3.2056,-2.3052,-1.807,-1.317,-0.08460000000000001,0.30379999999999996,1.2157999999999998,1.3234,2.2916
